mode,timestamp,gps.latitude,gps.longitude.fix,gps.altitude,gps.longitude.raw,chassis_gps.gps_valid,chassis_gps.is_gps_fault,chassis_gps.gps_speed,speed_mps,fuel_range_m,throttle_percentage,brake_percentage,steering_percentage,steering_torque_nm,parking_brake,error_code,gear_location
chassis,1683792692552852009,38.008918,113.63353673333332,0.0,113.61694833333333,1.0,0.0,0.0,10.244444847106934,0,31.700618743896484,14.22598648071289,0.3829787373542785,0.0,0.0,0,1
chassis,1683792692562870769,38.008918,113.63353673333332,0.0,113.61694833333333,1.0,0.0,0.0,10.247221946716309,0,31.700618743896484,14.22598648071289,0.3829787373542785,-0.0625,0.0,0,1
chassis,1683792692572837251,38.008918,113.63353673333332,0.0,113.61694833333333,1.0,0.0,0.0,10.247221946716309,0,31.6685733795166,14.25192642211914,0.3829787373542785,-0.0625,0.0,0,1
chassis,1683792692582770624,38.008918,113.63353673333332,0.0,113.61694833333333,1.0,0.0,0.0,10.247221946716309,0,31.6685733795166,14.25192642211914,0.3829787373542785,0.1875,0.0,0,1
chassis,1683792692592855296,38.008918,113.63353673333332,0.0,113.61694833333333,1.0,0.0,0.0,10.247221946716309,0,31.5709171295166,14.27328872680664,0.3829787373542785,0.1875,0.0,0,1
chassis,1683792692602847854,38.008918,113.63353673333332,0.0,113.61694833333333,1.0,0.0,0.0,10.25,0,31.5709171295166,14.27328872680664,0.4468085169792175,0.3125,0.0,0,1
chassis,1683792692612869877,38.008918,113.63353673333332,0.0,113.61694833333333,1.0,0.0,0.0,10.25,0,31.49004364013672,14.25650405883789,0.4468085169792175,0.3125,0.0,0,1
chassis,1683792692622833436,38.008918,113.63353673333332,0.0,113.61694833333333,1.0,0.0,0.0,10.25,0,31.49004364013672,14.25650405883789,0.4468085169792175,0.3125,0.0,0,1
chassis,1683792692632843605,38.008918,113.63353673333332,0.0,113.61694833333333,1.0,0.0,0.0,10.252778053283691,0,31.39085960388184,14.297703742980955,0.5106382966041565,0.4375,0.0,0,1
chassis,1683792692642830527,38.008918,113.63353673333332,0.0,113.61694833333333,1.0,0.0,0.0,10.252778053283691,0,31.39085960388184,14.297703742980955,0.5957446694374084,0.5,0.0,0,1
chassis,1683792692652814799,38.008918,113.63353673333332,0.0,113.61694833333333,1.0,0.0,0.0,10.252778053283691,0,31.39085960388184,14.297703742980955,0.5957446694374084,0.5,0.0,0,1
chassis,1683792692662832273,38.008918,113.63353673333332,0.0,113.61694833333333,1.0,0.0,0.0,10.25,0,31.44121551513672,14.207674980163574,0.6808510422706604,0.5625,0.0,0,1
chassis,1683792692672839452,38.008918,113.63353673333332,0.0,113.61694833333333,1.0,0.0,0.0,10.25,0,31.44121551513672,14.207674980163574,0.6808510422706604,0.5625,0.0,0,1
chassis,1683792692682813136,38.008918,113.63353673333332,0.0,113.61694833333333,1.0,0.0,0.0,10.25,0,31.326772689819336,14.25345230102539,0.6808510422706604,0.5625,0.0,0,1
chassis,1683792692692863339,38.008918,113.63353673333332,0.0,113.61694833333333,1.0,0.0,0.0,10.26111125946045,0,31.326772689819336,14.25345230102539,0.7872340679168701,0.625,0.0,0,1
chassis,1683792692702806836,38.008918,113.63353673333332,0.0,113.61694833333333,1.0,0.0,0.0,10.26111125946045,0,31.244373321533203,14.27634048461914,0.7872340679168701,0.625,0.0,0,1
chassis,1683792692712865039,38.008918,113.63353673333332,0.0,113.61694833333333,1.0,0.0,0.0,10.26388931274414,0,31.244373321533203,14.27634048461914,0.8723404407501221,0.5625,0.0,0,1
chassis,1683792692722847166,38.008918,113.63353673333332,0.0,113.61694833333333,1.0,0.0,0.0,10.26388931274414,0,31.06584358215332,14.148164749145508,0.8723404407501221,0.5625,0.0,0,1
chassis,1683792692732823579,38.008918,113.63353673333332,0.0,113.61694833333333,1.0,0.0,0.0,10.26111125946045,0,31.06584358215332,14.148164749145508,0.914893627166748,0.625,0.0,0,1
chassis,1683792692742793369,38.008918,113.63353673333332,0.0,113.61694833333333,1.0,0.0,0.0,10.26111125946045,0,30.968185424804688,14.323643684387209,0.914893627166748,0.625,0.0,0,1
chassis,1683792692752844893,38.008918,113.63353673333332,0.0,113.61694833333333,1.0,0.0,0.0,10.255555152893066,0,30.968185424804688,14.323643684387209,0.957446813583374,0.625,0.0,0,1
