Recording timestamp,Computer timestamp,Sensor,Project name,Export date,Recording date,Recording date UTC,Recording start time,Recording start time UTC,Recording duration,Recording Fixation filter name,Event,Event value,Gaze point X,Gaze point Y,Gaze point 3D X,Gaze point 3D Y,Gaze point 3D Z,Gaze direction left X,Gaze direction left Y,Gaze direction left Z,Gaze direction right X,Gaze direction right Y,Gaze direction right Z,Pupil position left X,Pupil position left Y,Pupil position left Z,Pupil position right X,Pupil position right Y,Pupil position right Z,Pupil diameter left,Pupil diameter right,Pupil diameter filtered,Validity left,Validity right,Recording media width,Recording media height,Eye movement type,Gaze event duration,Eye movement type index,Fixation point X,Fixation point Y,Environment,Vehicle,Ungrouped,AOI hit [P07_normal_cali - Polygon],Gyro X,Gyro Y,Gyro Z,Accelerometer X,Accelerometer Y,Accelerometer Z,Relative time
164538645,719441788,Accelerometer,ETCheck,06/02/2024,05/22/2023,05/22/2023,15:47:49.985,07:47:49.985,1309483,Tobii I-VT (Attention),,,,,,,,,,,,,,,,,,,,,,,,,1920.0,1080.0,Fixation,1599.0,308.0,636.0,469.0,,,,,,,,-0.3923,-9.9099,-1.6279,15.002137063492029
164544359,719447502,Gyroscope,ETCheck,06/02/2024,05/22/2023,05/22/2023,15:47:49.985,07:47:49.985,1309483,Tobii I-VT (Attention),,,,,,,,,,,,,,,,,,,,,,,,,1920.0,1080.0,Fixation,1599.0,308.0,636.0,469.0,,,,,-0.21,0.3285,0.5555,,,,15.007851063492012
164545935,719449078,Eye Tracker,ETCheck,06/02/2024,05/22/2023,05/22/2023,15:47:49.985,07:47:49.985,1309483,Tobii I-VT (Attention),,,603.0,457.0,133.7325,44.0704,410.1104,0.28077,0.13021,0.9509,0.30245,0.18114,0.93579,34.4,-27.63,-23.12,-34.6,-27.49,-21.72,2.435,2.345,2.39,Valid,Valid,1920.0,1080.0,Fixation,1599.0,308.0,636.0,469.0,,,,,,,,,,,15.009427063492012
164548209,719451352,Accelerometer,ETCheck,06/02/2024,05/22/2023,05/22/2023,15:47:49.985,07:47:49.985,1309483,Tobii I-VT (Attention),,,,,,,,,,,,,,,,,,,,,,,,,1920.0,1080.0,Fixation,1599.0,308.0,636.0,469.0,,,,,,,,-0.3923,-9.9099,-1.6279,15.01170106349204
164554795,719457938,Gyroscope,ETCheck,06/02/2024,05/22/2023,05/22/2023,15:47:49.985,07:47:49.985,1309483,Tobii I-VT (Attention),,,,,,,,,,,,,,,,,,,,,,,,,1920.0,1080.0,Fixation,1599.0,308.0,636.0,469.0,,,,,0.0,0.7097,0.4095,,,,15.01828706349204
164557794,719460937,Accelerometer,ETCheck,06/02/2024,05/22/2023,05/22/2023,15:47:49.985,07:47:49.985,1309483,Tobii I-VT (Attention),,,,,,,,,,,,,,,,,,,,,,,,,1920.0,1080.0,Fixation,1599.0,308.0,636.0,469.0,,,,,,,,-0.4315,-9.9439,-1.4347,15.021286063492028
164565231,719468374,Gyroscope,ETCheck,06/02/2024,05/22/2023,05/22/2023,15:47:49.985,07:47:49.985,1309483,Tobii I-VT (Attention),,,,,,,,,,,,,,,,,,,,,,,,,1920.0,1080.0,Fixation,1599.0,308.0,636.0,469.0,,,,,0.28,0.9773,0.1012,,,,15.028723063492038
164565910,719469053,Eye Tracker,ETCheck,06/02/2024,05/22/2023,05/22/2023,15:47:49.985,07:47:49.985,1309483,Tobii I-VT (Attention),,,604.0,454.0,142.162,48.2068,437.4208,0.28053,0.13019,0.95097,0.30272,0.17971,0.93598,34.4,-27.63,-23.11,-34.6,-27.49,-21.72,2.43,2.341,2.386,Valid,Valid,1920.0,1080.0,Fixation,1599.0,308.0,636.0,469.0,,,,,,,,,,,15.029402063492029
164567379,719470522,Accelerometer,ETCheck,06/02/2024,05/22/2023,05/22/2023,15:47:49.985,07:47:49.985,1309483,Tobii I-VT (Attention),,,,,,,,,,,,,,,,,,,,,,,,,1920.0,1080.0,Fixation,1599.0,308.0,636.0,469.0,,,,,,,,-0.4315,-9.9213,-1.7892,15.030871063492016
164575652,719478795,Gyroscope,ETCheck,06/02/2024,05/22/2023,05/22/2023,15:47:49.985,07:47:49.985,1309483,Tobii I-VT (Attention),,,,,,,,,,,,,,,,,,,,,,,,,1920.0,1080.0,Fixation,1599.0,308.0,636.0,469.0,,,,,0.0,1.253,0.1499,,,,15.039144063492015
