Recording timestamp,Computer timestamp,Sensor,Project name,Export date,Recording date,Recording date UTC,Recording start time,Recording start time UTC,Recording duration,Recording Fixation filter name,Event,Event value,Gaze point X,Gaze point Y,Gaze point 3D X,Gaze point 3D Y,Gaze point 3D Z,Gaze direction left X,Gaze direction left Y,Gaze direction left Z,Gaze direction right X,Gaze direction right Y,Gaze direction right Z,Pupil position left X,Pupil position left Y,Pupil position left Z,Pupil position right X,Pupil position right Y,Pupil position right Z,Pupil diameter left,Pupil diameter right,Pupil diameter filtered,Validity left,Validity right,Recording media width,Recording media height,Eye movement type,Gaze event duration,Eye movement type index,Fixation point X,Fixation point Y,Environment,Vehicle,Ungrouped,AOI hit [P07_normal_cali - Polygon],Gyro X,Gyro Y,Gyro Z,Accelerometer X,Accelerometer Y,Accelerometer Z,Relative time
712506440,1389932487,Gyroscope,ETCheck,06/02/2024,06/08/2023,06/08/2023,15:30:56.036,07:30:56.036,1029330,Tobii I-VT (Attention),,,,,,,,,,,,,,,,,,,,,,,,,1920.0,1080.0,Fixation,280.0,1162.0,794.0,624.0,,,,,0.84,1.7201,5.5632,,,,578.550521632653
712507476,1389933523,Accelerometer,ETCheck,06/02/2024,06/08/2023,06/08/2023,15:30:56.036,07:30:56.036,1029330,Tobii I-VT (Attention),,,,,,,,,,,,,,,,,,,,,,,,,1920.0,1080.0,Fixation,280.0,1162.0,794.0,624.0,,,,,,,,-1.4514,-10.1688,-0.8371,578.551557632653
712511573,1389937620,Eye Tracker,ETCheck,06/02/2024,06/08/2023,06/08/2023,15:30:56.036,07:30:56.036,1029330,Tobii I-VT (Attention),,,780.0,641.0,68.9943,-21.5524,410.4316,0.1555,-0.0102,0.98778,0.15221,0.01745,0.98819,33.61,-23.94,-28.48,-32.12,-22.39,-27.21,3.049,3.01,3.03,Valid,Valid,1920.0,1080.0,Fixation,280.0,1162.0,794.0,624.0,,,,,,,,,,,578.555654632653
712516866,1389942913,Gyroscope,ETCheck,06/02/2024,06/08/2023,06/08/2023,15:30:56.036,07:30:56.036,1029330,Tobii I-VT (Attention),,,,,,,,,,,,,,,,,,,,,,,,,1920.0,1080.0,Fixation,280.0,1162.0,794.0,624.0,,,,,0.63,1.3674,6.354,,,,578.5609476326531
712517078,1389943125,Accelerometer,ETCheck,06/02/2024,06/08/2023,06/08/2023,15:30:56.036,07:30:56.036,1029330,Tobii I-VT (Attention),,,,,,,,,,,,,,,,,,,,,,,,,1920.0,1080.0,Fixation,280.0,1162.0,794.0,624.0,,,,,,,,-1.4514,-10.2711,-0.9348,578.561159632653
712526680,1389952727,Accelerometer,ETCheck,06/02/2024,06/08/2023,06/08/2023,15:30:56.036,07:30:56.036,1029330,Tobii I-VT (Attention),,,,,,,,,,,,,,,,,,,,,,,,,1920.0,1080.0,Fixation,280.0,1162.0,794.0,624.0,,,,,,,,-1.4906,-10.362,-0.8711,578.5707616326531
712527292,1389953339,Gyroscope,ETCheck,06/02/2024,06/08/2023,06/08/2023,15:30:56.036,07:30:56.036,1029330,Tobii I-VT (Attention),,,,,,,,,,,,,,,,,,,,,,,,,1920.0,1080.0,Fixation,280.0,1162.0,794.0,624.0,,,,,0.56,0.6741,6.6582,,,,578.571373632653
712531555,1389957602,Eye Tracker,ETCheck,06/02/2024,06/08/2023,06/08/2023,15:30:56.036,07:30:56.036,1029330,Tobii I-VT (Attention),,,784.0,641.0,67.7398,-21.63,411.8143,0.14986,-0.01005,0.98866,0.15138,0.01695,0.98833,33.63,-23.95,-28.47,-32.13,-22.38,-27.2,3.044,3.004,3.024,Valid,Valid,1920.0,1080.0,Fixation,280.0,1162.0,794.0,624.0,,,,,,,,,,,578.5756366326531
712536264,1389962311,Accelerometer,ETCheck,06/02/2024,06/08/2023,06/08/2023,15:30:56.036,07:30:56.036,1029330,Tobii I-VT (Attention),,,,,,,,,,,,,,,,,,,,,,,,,1920.0,1080.0,Fixation,280.0,1162.0,794.0,624.0,,,,,,,,-1.4906,-10.3279,-1.0643,578.580345632653
712537718,1389963765,Gyroscope,ETCheck,06/02/2024,06/08/2023,06/08/2023,15:30:56.036,07:30:56.036,1029330,Tobii I-VT (Attention),,,,,,,,,,,,,,,,,,,,,,,,,1920.0,1080.0,Fixation,280.0,1162.0,794.0,624.0,,,,,-0.28,0.2726,6.5163,,,,578.5817996326531
712545848,1389971895,Accelerometer,ETCheck,06/02/2024,06/08/2023,06/08/2023,15:30:56.036,07:30:56.036,1029330,Tobii I-VT (Attention),,,,,,,,,,,,,,,,,,,,,,,,,1920.0,1080.0,Fixation,280.0,1162.0,794.0,624.0,,,,,,,,-1.5691,-10.2711,-0.9348,578.589929632653
712548144,1389974191,Gyroscope,ETCheck,06/02/2024,06/08/2023,06/08/2023,15:30:56.036,07:30:56.036,1029330,Tobii I-VT (Attention),,,,,,,,,,,,,,,,,,,,,,,,,1920.0,1080.0,Fixation,280.0,1162.0,794.0,624.0,,,,,-1.05,0.2035,5.2958,,,,578.592225632653
712551542,1389977589,Eye Tracker,ETCheck,06/02/2024,06/08/2023,06/08/2023,15:30:56.036,07:30:56.036,1029330,Tobii I-VT (Attention),,,787.0,640.0,67.0971,-21.4636,414.5577,0.14541,-0.00969,0.98932,0.15114,0.01708,0.98836,33.64,-23.96,-28.47,-32.14,-22.38,-27.19,3.037,3.002,3.019,Valid,Valid,1920.0,1080.0,Fixation,280.0,1162.0,794.0,624.0,,,,,,,,,,,578.5956236326531
712555432,1389981479,Accelerometer,ETCheck,06/02/2024,06/08/2023,06/08/2023,15:30:56.036,07:30:56.036,1029330,Tobii I-VT (Attention),,,,,,,,,,,,,,,,,,,,,,,,,1920.0,1080.0,Fixation,280.0,1162.0,794.0,624.0,,,,,,,,-1.4906,-10.2075,-0.8439,578.599513632653
712558571,1389984618,Gyroscope,ETCheck,06/02/2024,06/08/2023,06/08/2023,15:30:56.036,07:30:56.036,1029330,Tobii I-VT (Attention),,,,,,,,,,,,,,,,,,,,,,,,,1920.0,1080.0,Fixation,280.0,1162.0,794.0,624.0,,,,,-2.52,0.333,3.7549,,,,578.6026526326531
