Recording timestamp,Computer timestamp,Sensor,Project name,Export date,Recording date,Recording date UTC,Recording start time,Recording start time UTC,Recording duration,Recording Fixation filter name,Event,Event value,Gaze point X,Gaze point Y,Gaze point 3D X,Gaze point 3D Y,Gaze point 3D Z,Gaze direction left X,Gaze direction left Y,Gaze direction left Z,Gaze direction right X,Gaze direction right Y,Gaze direction right Z,Pupil position left X,Pupil position left Y,Pupil position left Z,Pupil position right X,Pupil position right Y,Pupil position right Z,Pupil diameter left,Pupil diameter right,Pupil diameter filtered,Validity left,Validity right,Recording media width,Recording media height,Eye movement type,Gaze event duration,Eye movement type index,Fixation point X,Fixation point Y,Environment,Vehicle,Ungrouped,AOI hit [P07_normal_cali - Polygon],Gyro X,Gyro Y,Gyro Z,Accelerometer X,Accelerometer Y,Accelerometer Z,Relative time
765380679,1103199314,Gyroscope,ETCheck,06/02/2024,05/12/2023,05/12/2023,15:53:38.943,07:53:38.943,1108832,Tobii I-VT (Attention),,,,,,,,,,,,,,,,,,,,,,,,,1920.0,1080.0,Fixation,140.0,1738.0,1199.0,754.0,,,,,-2.8,-4.7804,2.9243,,,,671.0380032630385
765382435,1103201070,Accelerometer,ETCheck,06/02/2024,05/12/2023,05/12/2023,15:53:38.943,07:53:38.943,1108832,Tobii I-VT (Attention),,,,,,,,,,,,,,,,,,,,,,,,,1920.0,1080.0,Fixation,140.0,1738.0,1199.0,754.0,,,,,,,,-0.9022,-10.4504,0.3082,671.0397592630386
765386217,1103204852,Eye Tracker,ETCheck,06/02/2024,05/12/2023,05/12/2023,15:53:38.943,07:53:38.943,1108832,Tobii I-VT (Attention),,,1198.0,758.0,-75.2538,-57.402,382.727,-0.21283,-0.03065,0.97661,-0.14371,-0.11031,0.98345,31.25,-29.16,-22.26,-34.13,-27.94,-21.48,2.202,2.424,2.314,Valid,Valid,1920.0,1080.0,Fixation,140.0,1738.0,1199.0,754.0,,,,,,,,,,,671.0435412630386
765391099,1103209734,Gyroscope,ETCheck,06/02/2024,05/12/2023,05/12/2023,15:53:38.943,07:53:38.943,1108832,Tobii I-VT (Attention),,,,,,,,,,,,,,,,,,,,,,,,,1920.0,1080.0,Fixation,140.0,1738.0,1199.0,754.0,,,,,-3.08,-3.8316,2.3808,,,,671.0484232630386
765392073,1103210708,Accelerometer,ETCheck,06/02/2024,05/12/2023,05/12/2023,15:53:38.943,07:53:38.943,1108832,Tobii I-VT (Attention),,,,,,,,,,,,,,,,,,,,,,,,,1920.0,1080.0,Fixation,140.0,1738.0,1199.0,754.0,,,,,,,,-0.9414,-10.4572,0.3469,671.0493972630386
765401519,1103220154,Gyroscope,ETCheck,06/02/2024,05/12/2023,05/12/2023,15:53:38.943,07:53:38.943,1108832,Tobii I-VT (Attention),,,,,,,,,,,,,,,,,,,,,,,,,1920.0,1080.0,Fixation,140.0,1738.0,1199.0,754.0,,,,,-3.29,-2.4732,2.336,,,,671.0588432630386
765401711,1103220346,Accelerometer,ETCheck,06/02/2024,05/12/2023,05/12/2023,15:53:38.943,07:53:38.943,1108832,Tobii I-VT (Attention),,,,,,,,,,,,,,,,,,,,,,,,,1920.0,1080.0,Fixation,140.0,1738.0,1199.0,754.0,,,,,,,,-1.0199,-10.4436,0.2696,671.0590352630386
765406198,1103224833,Eye Tracker,ETCheck,06/02/2024,05/12/2023,05/12/2023,15:53:38.943,07:53:38.943,1108832,Tobii I-VT (Attention),,,1144.0,709.0,-57.9772,-42.199,387.6561,-0.2126,-0.03107,0.97664,,,,31.26,-29.16,-22.26,,,,2.205,,2.315,Valid,Invalid,1920.0,1080.0,Fixation,140.0,1738.0,1199.0,754.0,,,,,,,,,,,671.0635222630385
765411349,1103229984,Accelerometer,ETCheck,06/02/2024,05/12/2023,05/12/2023,15:53:38.943,07:53:38.943,1108832,Tobii I-VT (Attention),,,,,,,,,,,,,,,,,,,,,,,,,1920.0,1080.0,Fixation,140.0,1738.0,1199.0,754.0,,,,,,,,-1.0591,-10.4618,0.1469,671.0686732630386
765411939,1103230574,Gyroscope,ETCheck,06/02/2024,05/12/2023,05/12/2023,15:53:38.943,07:53:38.943,1108832,Tobii I-VT (Attention),,,,,,,,,,,,,,,,,,,,,,,,,1920.0,1080.0,Fixation,140.0,1738.0,1199.0,754.0,,,,,-3.22,-0.7255,2.502,,,,671.0692632630385
765420987,1103239622,Accelerometer,ETCheck,06/02/2024,05/12/2023,05/12/2023,15:53:38.943,07:53:38.943,1108832,Tobii I-VT (Attention),,,,,,,,,,,,,,,,,,,,,,,,,1920.0,1080.0,Fixation,140.0,1738.0,1199.0,754.0,,,,,,,,-1.1768,-10.4504,0.3082,671.0783112630386
765422359,1103240994,Gyroscope,ETCheck,06/02/2024,05/12/2023,05/12/2023,15:53:38.943,07:53:38.943,1108832,Tobii I-VT (Attention),,,,,,,,,,,,,,,,,,,,,,,,,1920.0,1080.0,Fixation,140.0,1738.0,1199.0,754.0,,,,,-3.01,1.0952,2.2544,,,,671.0796832630385
765426186,1103244821,Eye Tracker,ETCheck,06/02/2024,05/12/2023,05/12/2023,15:53:38.943,07:53:38.943,1108832,Tobii I-VT (Attention),,,1198.0,758.0,-75.5071,-57.7672,384.2565,-0.21259,-0.03142,0.97664,-0.14383,-0.11076,0.98338,31.25,-29.16,-22.26,-34.13,-27.94,-21.48,2.208,2.426,2.315,Valid,Valid,1920.0,1080.0,Fixation,140.0,1738.0,1199.0,754.0,,,,,,,,,,,671.0835102630385
765430625,1103249260,Accelerometer,ETCheck,06/02/2024,05/12/2023,05/12/2023,15:53:38.943,07:53:38.943,1108832,Tobii I-VT (Attention),,,,,,,,,,,,,,,,,,,,,,,,,1920.0,1080.0,Fixation,140.0,1738.0,1199.0,754.0,,,,,,,,-1.2553,-10.38,0.3605,671.0879492630386
765432779,1103251414,Gyroscope,ETCheck,06/02/2024,05/12/2023,05/12/2023,15:53:38.943,07:53:38.943,1108832,Tobii I-VT (Attention),,,,,,,,,,,,,,,,,,,,,,,,,1920.0,1080.0,Fixation,140.0,1738.0,1199.0,754.0,,,,,-2.59,3.0212,1.8122,,,,671.0901032630386
765440272,1103258907,Accelerometer,ETCheck,06/02/2024,05/12/2023,05/12/2023,15:53:38.943,07:53:38.943,1108832,Tobii I-VT (Attention),,,,,,,,,,,,,,,,,,,,,,,,,1920.0,1080.0,Fixation,140.0,1738.0,1199.0,754.0,,,,,,,,-1.3337,-10.3368,0.5673,671.0975962630387
765443199,1103261834,Gyroscope,ETCheck,06/02/2024,05/12/2023,05/12/2023,15:53:38.943,07:53:38.943,1108832,Tobii I-VT (Attention),,,,,,,,,,,,,,,,,,,,,,,,,1920.0,1080.0,Fixation,140.0,1738.0,1199.0,754.0,,,,,-2.17,5.8638,1.8158,,,,671.1005232630387
765446167,1103264802,Eye Tracker,ETCheck,06/02/2024,05/12/2023,05/12/2023,15:53:38.943,07:53:38.943,1108832,Tobii I-VT (Attention),,,1199.0,759.0,-75.7569,-57.9729,383.7971,-0.21204,-0.03213,0.97673,-0.14596,-0.11121,0.98302,31.26,-29.16,-22.26,-34.14,-27.93,-21.48,2.209,2.429,2.315,Valid,Valid,1920.0,1080.0,Fixation,140.0,1738.0,1199.0,754.0,,,,,,,,,,,671.1034912630384
765449919,1103268554,Accelerometer,ETCheck,06/02/2024,05/12/2023,05/12/2023,15:53:38.943,07:53:38.943,1108832,Tobii I-VT (Attention),,,,,,,,,,,,,,,,,,,,,,,,,1920.0,1080.0,Fixation,140.0,1738.0,1199.0,754.0,,,,,,,,-1.3337,-10.2209,0.5877,671.1072432630385
765453619,1103272254,Gyroscope,ETCheck,06/02/2024,05/12/2023,05/12/2023,15:53:38.943,07:53:38.943,1108832,Tobii I-VT (Attention),,,,,,,,,,,,,,,,,,,,,,,,,1920.0,1080.0,Fixation,140.0,1738.0,1199.0,754.0,,,,,-1.54,9.2861,1.3531,,,,671.1109432630385
765459566,1103278201,Accelerometer,ETCheck,06/02/2024,05/12/2023,05/12/2023,15:53:38.943,07:53:38.943,1108832,Tobii I-VT (Attention),,,,,,,,,,,,,,,,,,,,,,,,,1920.0,1080.0,Fixation,140.0,1738.0,1199.0,754.0,,,,,,,,-1.2945,-10.1959,0.6718,671.1168902630386
765464039,1103282674,Gyroscope,ETCheck,06/02/2024,05/12/2023,05/12/2023,15:53:38.943,07:53:38.943,1108832,Tobii I-VT (Attention),,,,,,,,,,,,,,,,,,,,,,,,,1920.0,1080.0,Fixation,140.0,1738.0,1199.0,754.0,,,,,-1.26,13.2072,0.4807,,,,671.1213632630386
765466151,1103284786,Eye Tracker,ETCheck,06/02/2024,05/12/2023,05/12/2023,15:53:38.943,07:53:38.943,1108832,Tobii I-VT (Attention),,,1208.0,729.0,-78.8652,-48.2331,384.8343,-0.17538,-0.01291,0.98442,-0.20024,-0.08223,0.97629,31.45,-28.98,-22.45,-33.4,-28.03,-21.03,2.134,2.261,2.276,Valid,Valid,1920.0,1080.0,Fixation,140.0,1738.0,1199.0,754.0,,,,,,,,,,,671.1234752630385
765469213,1103287848,Accelerometer,ETCheck,06/02/2024,05/12/2023,05/12/2023,15:53:38.943,07:53:38.943,1108832,Tobii I-VT (Attention),,,,,,,,,,,,,,,,,,,,,,,,,1920.0,1080.0,Fixation,140.0,1738.0,1199.0,754.0,,,,,,,,-1.216,-10.1118,0.6468,671.1265372630385
765474426,1103293061,Gyroscope,ETCheck,06/02/2024,05/12/2023,05/12/2023,15:53:38.943,07:53:38.943,1108832,Tobii I-VT (Attention),,,,,,,,,,,,,,,,,,,,,,,,,1920.0,1080.0,Fixation,140.0,1738.0,1199.0,754.0,,,,,-1.19,16.7795,-0.0267,,,,671.1317502630386
765478860,1103297495,Accelerometer,ETCheck,06/02/2024,05/12/2023,05/12/2023,15:53:38.943,07:53:38.943,1108832,Tobii I-VT (Attention),,,,,,,,,,,,,,,,,,,,,,,,,1920.0,1080.0,Saccade,20.0,2762.0,,,,,,,,,,-1.1376,-10.1118,0.6468,671.1361842630386
765484813,1103303448,Gyroscope,ETCheck,06/02/2024,05/12/2023,05/12/2023,15:53:38.943,07:53:38.943,1108832,Tobii I-VT (Attention),,,,,,,,,,,,,,,,,,,,,,,,,1920.0,1080.0,Saccade,20.0,2762.0,,,,,,,-1.4,20.279,-0.1204,,,,671.1421372630386
765486132,1103304767,Eye Tracker,ETCheck,06/02/2024,05/12/2023,05/12/2023,15:53:38.943,07:53:38.943,1108832,Tobii I-VT (Attention),,,991.0,630.0,-6.5597,-16.4915,397.751,-0.09079,0.02851,0.99546,,,,31.79,-28.54,-22.75,,,,2.002,,2.223,Valid,Invalid,1920.0,1080.0,Saccade,20.0,2762.0,,,,,,,,,,,,,671.1434562630386
765488507,1103307142,Accelerometer,ETCheck,06/02/2024,05/12/2023,05/12/2023,15:53:38.943,07:53:38.943,1108832,Tobii I-VT (Attention),,,,,,,,,,,,,,,,,,,,,,,,,1920.0,1080.0,Saccade,20.0,2762.0,,,,,,,,,,-1.0591,-10.0596,0.5763,671.1458312630386
765495200,1103313835,Gyroscope,ETCheck,06/02/2024,05/12/2023,05/12/2023,15:53:38.943,07:53:38.943,1108832,Tobii I-VT (Attention),,,,,,,,,,,,,,,,,,,,,,,,,1920.0,1080.0,Saccade,20.0,2762.0,,,,,,,-1.96,23.0648,-0.1979,,,,671.1525242630385
765498154,1103316789,Accelerometer,ETCheck,06/02/2024,05/12/2023,05/12/2023,15:53:38.943,07:53:38.943,1108832,Tobii I-VT (Attention),,,,,,,,,,,,,,,,,,,,,,,,,1920.0,1080.0,Unclassified,20.0,944.0,,,,,,,,,,-0.9807,-10.0391,0.4604,671.1554782630385
765505587,1103324222,Gyroscope,ETCheck,06/02/2024,05/12/2023,05/12/2023,15:53:38.943,07:53:38.943,1108832,Tobii I-VT (Attention),,,,,,,,,,,,,,,,,,,,,,,,,1920.0,1080.0,Unclassified,20.0,944.0,,,,,,,-2.73,24.8814,-0.0197,,,,671.1629112630385
