Recording timestamp,Computer timestamp,Sensor,Project name,Export date,Recording date,Recording date UTC,Recording start time,Recording start time UTC,Recording duration,Recording Fixation filter name,Event,Event value,Gaze point X,Gaze point Y,Gaze point 3D X,Gaze point 3D Y,Gaze point 3D Z,Gaze direction left X,Gaze direction left Y,Gaze direction left Z,Gaze direction right X,Gaze direction right Y,Gaze direction right Z,Pupil position left X,Pupil position left Y,Pupil position left Z,Pupil position right X,Pupil position right Y,Pupil position right Z,Pupil diameter left,Pupil diameter right,Pupil diameter filtered,Validity left,Validity right,Recording media width,Recording media height,Eye movement type,Gaze event duration,Eye movement type index,Fixation point X,Fixation point Y,Environment,Vehicle,Ungrouped,AOI hit [P07_normal_cali - Polygon],Gyro X,Gyro Y,Gyro Z,Accelerometer X,Accelerometer Y,Accelerometer Z,Relative time
762675846,1935698327,Accelerometer,ETCheck,06/02/2024,06/20/2023,06/20/2023,15:32:27.552,07:32:27.552,961955,Tobii I-VT (Attention),,,,,,,,,,,,,,,,,,,,,,,,,1920.0,1080.0,Saccade,40.0,2434.0,,,,,,,,,,-0.2746,-10.2186,1.0262,682.6366623265305
762680962,1935703443,Eye Tracker,ETCheck,06/02/2024,06/20/2023,06/20/2023,15:32:27.552,07:32:27.552,961955,Tobii I-VT (Attention),,,473.0,388.0,91.9239,34.756,208.2046,0.34922,0.18928,0.91772,0.36005,0.23736,0.90223,32.55,-20.75,-26.85,-30.89,-19.73,-23.79,2.658,2.501,2.581,Valid,Valid,1920.0,1080.0,Saccade,40.0,2434.0,,,,,,,,,,,,,682.6417783265306
762681079,1935703560,Gyroscope,ETCheck,06/02/2024,06/20/2023,06/20/2023,15:32:27.552,07:32:27.552,961955,Tobii I-VT (Attention),,,,,,,,,,,,,,,,,,,,,,,,,1920.0,1080.0,Saccade,40.0,2434.0,,,,,,,12.25,64.1193,12.8697,,,,682.6418953265306
762685395,1935707876,Accelerometer,ETCheck,06/02/2024,06/20/2023,06/20/2023,15:32:27.552,07:32:27.552,961955,Tobii I-VT (Attention),,,,,,,,,,,,,,,,,,,,,,,,,1920.0,1080.0,Saccade,40.0,2434.0,,,,,,,,,,-0.3138,-10.2254,1.0649,682.6462113265306
762691495,1935713976,Gyroscope,ETCheck,06/02/2024,06/20/2023,06/20/2023,15:32:27.552,07:32:27.552,961955,Tobii I-VT (Attention),,,,,,,,,,,,,,,,,,,,,,,,,1920.0,1080.0,Unclassified,20.0,1056.0,,,,,,,10.78,59.3992,11.8242,,,,682.6523113265307
762694944,1935717425,Accelerometer,ETCheck,06/02/2024,06/20/2023,06/20/2023,15:32:27.552,07:32:27.552,961955,Tobii I-VT (Attention),,,,,,,,,,,,,,,,,,,,,,,,,1920.0,1080.0,Unclassified,20.0,1056.0,,,,,,,,,,-0.2354,-10.1731,0.9944,682.6557603265305
762700951,1935723432,Eye Tracker,ETCheck,06/02/2024,06/20/2023,06/20/2023,15:32:27.552,07:32:27.552,961955,Tobii I-VT (Attention),,,501.0,392.0,88.1539,34.7143,211.5803,0.33909,0.19231,0.92089,0.33749,0.23287,0.91207,32.4,-20.77,-26.72,-30.94,-19.68,-23.81,2.617,2.508,2.564,Valid,Valid,1920.0,1080.0,Unclassified,20.0,1056.0,,,,,,,,,,,,,682.6617673265307
762701911,1935724392,Gyroscope,ETCheck,06/02/2024,06/20/2023,06/20/2023,15:32:27.552,07:32:27.552,961955,Tobii I-VT (Attention),,,,,,,,,,,,,,,,,,,,,,,,,1920.0,1080.0,Unclassified,20.0,1056.0,,,,,,,9.17,54.4072,10.3043,,,,682.6627273265306
762704493,1935726974,Accelerometer,ETCheck,06/02/2024,06/20/2023,06/20/2023,15:32:27.552,07:32:27.552,961955,Tobii I-VT (Attention),,,,,,,,,,,,,,,,,,,,,,,,,1920.0,1080.0,Unclassified,20.0,1056.0,,,,,,,,,,-0.353,-10.1413,1.0399,682.6653093265306
762712327,1935734808,Gyroscope,ETCheck,06/02/2024,06/20/2023,06/20/2023,15:32:27.552,07:32:27.552,961955,Tobii I-VT (Attention),,,,,,,,,,,,,,,,,,,,,,,,,1920.0,1080.0,Saccade,20.0,2435.0,,,,,,,7.77,49.7439,9.3398,,,,682.6731433265306
