Recording timestamp,Computer timestamp,Sensor,Project name,Export date,Recording date,Recording date UTC,Recording start time,Recording start time UTC,Recording duration,Recording Fixation filter name,Event,Event value,Gaze point X,Gaze point Y,Gaze point 3D X,Gaze point 3D Y,Gaze point 3D Z,Gaze direction left X,Gaze direction left Y,Gaze direction left Z,Gaze direction right X,Gaze direction right Y,Gaze direction right Z,Pupil position left X,Pupil position left Y,Pupil position left Z,Pupil position right X,Pupil position right Y,Pupil position right Z,Pupil diameter left,Pupil diameter right,Pupil diameter filtered,Validity left,Validity right,Recording media width,Recording media height,Eye movement type,Gaze event duration,Eye movement type index,Fixation point X,Fixation point Y,Environment,Vehicle,Ungrouped,AOI hit [P07_normal_cali - Polygon],Gyro X,Gyro Y,Gyro Z,Accelerometer X,Accelerometer Y,Accelerometer Z,Relative time
292764320,961206880,Accelerometer,ETCheck,06/02/2024,06/21/2023,06/21/2023,15:29:18.899,07:29:18.899,1104114,Tobii I-VT (Attention),,,,,,,,,,,,,,,,,,,,,,,,,1920.0,1080.0,Fixation,1239.0,469.0,1172.0,401.0,,,,,,,,-0.0785,-10.0597,-0.778,200.09348099773248
292766456,961209016,Gyroscope,ETCheck,06/02/2024,06/21/2023,06/21/2023,15:29:18.899,07:29:18.899,1104114,Tobii I-VT (Attention),,,,,,,,,,,,,,,,,,,,,,,,,1920.0,1080.0,Fixation,1239.0,469.0,1172.0,401.0,,,,,1.12,0.3369,2.1207,,,,200.0956169977325
292773187,961215747,Eye Tracker,ETCheck,06/02/2024,06/21/2023,06/21/2023,15:29:18.899,07:29:18.899,1104114,Tobii I-VT (Attention),,,1182.0,365.0,-348.9394,369.9571,1922.8354,-0.16764,0.168,0.97143,-0.17547,0.21668,0.96034,29.09,-19.58,-31.3,-33.16,-18.37,-29.34,2.592,2.821,2.706,Valid,Valid,1920.0,1080.0,Fixation,1239.0,469.0,1172.0,401.0,,,,,,,,,,,200.1023479977325
292773926,961216486,Accelerometer,ETCheck,06/02/2024,06/21/2023,06/21/2023,15:29:18.899,07:29:18.899,1104114,Tobii I-VT (Attention),,,,,,,,,,,,,,,,,,,,,,,,,1920.0,1080.0,Fixation,1239.0,469.0,1172.0,401.0,,,,,,,,-0.0785,-10.0734,-0.7007,200.10308699773248
292776834,961219394,Gyroscope,ETCheck,06/02/2024,06/21/2023,06/21/2023,15:29:18.899,07:29:18.899,1104114,Tobii I-VT (Attention),,,,,,,,,,,,,,,,,,,,,,,,,1920.0,1080.0,Fixation,1239.0,469.0,1172.0,401.0,,,,,1.89,0.6977,1.6868,,,,200.10599499773247
292783532,961226092,Accelerometer,ETCheck,06/02/2024,06/21/2023,06/21/2023,15:29:18.899,07:29:18.899,1104114,Tobii I-VT (Attention),,,,,,,,,,,,,,,,,,,,,,,,,1920.0,1080.0,Fixation,1239.0,469.0,1172.0,401.0,,,,,,,,-0.0785,-9.9825,-0.7644,200.11269299773244
292787212,961229772,Gyroscope,ETCheck,06/02/2024,06/21/2023,06/21/2023,15:29:18.899,07:29:18.899,1104114,Tobii I-VT (Attention),,,,,,,,,,,,,,,,,,,,,,,,,1920.0,1080.0,Fixation,1239.0,469.0,1172.0,401.0,,,,,3.15,1.0747,0.7581,,,,200.11637299773247
292793138,961235698,Accelerometer,ETCheck,06/02/2024,06/21/2023,06/21/2023,15:29:18.899,07:29:18.899,1104114,Tobii I-VT (Attention),,,,,,,,,,,,,,,,,,,,,,,,,1920.0,1080.0,Fixation,1239.0,469.0,1172.0,401.0,,,,,,,,-0.0785,-9.9507,-0.7189,200.12229899773249
292793168,961235728,Eye Tracker,ETCheck,06/02/2024,06/21/2023,06/21/2023,15:29:18.899,07:29:18.899,1104114,Tobii I-VT (Attention),,,1175.0,372.0,-338.6385,358.6462,1926.2677,-0.16315,0.15931,0.97366,-0.16988,0.21435,0.96187,29.11,-19.65,-31.28,-33.09,-18.49,-29.29,2.609,2.825,2.714,Valid,Valid,1920.0,1080.0,Fixation,1239.0,469.0,1172.0,401.0,,,,,,,,,,,200.12232899773244
292797590,961240150,Gyroscope,ETCheck,06/02/2024,06/21/2023,06/21/2023,15:29:18.899,07:29:18.899,1104114,Tobii I-VT (Attention),,,,,,,,,,,,,,,,,,,,,,,,,1920.0,1080.0,Fixation,1239.0,469.0,1172.0,401.0,,,,,4.76,0.8312,-0.2799,,,,200.12675099773247
