Recording timestamp,Computer timestamp,Sensor,Project name,Export date,Recording date,Recording date UTC,Recording start time,Recording start time UTC,Recording duration,Recording Fixation filter name,Event,Event value,Gaze point X,Gaze point Y,Gaze point 3D X,Gaze point 3D Y,Gaze point 3D Z,Gaze direction left X,Gaze direction left Y,Gaze direction left Z,Gaze direction right X,Gaze direction right Y,Gaze direction right Z,Pupil position left X,Pupil position left Y,Pupil position left Z,Pupil position right X,Pupil position right Y,Pupil position right Z,Pupil diameter left,Pupil diameter right,Pupil diameter filtered,Validity left,Validity right,Recording media width,Recording media height,Eye movement type,Gaze event duration,Eye movement type index,Fixation point X,Fixation point Y,Environment,Vehicle,Ungrouped,AOI hit [P07_normal_cali - Polygon],Gyro X,Gyro Y,Gyro Z,Accelerometer X,Accelerometer Y,Accelerometer Z,Relative time
454306862,855632885,Accelerometer,ETCheck,06/02/2024,06/07/2023,06/07/2023,15:20:18.981,07:20:18.981,1083789,Tobii I-VT (Attention),,,,,,,,,,,,,,,,,,,,,,,,,1920.0,1080.0,Fixation,640.0,890.0,1068.0,443.0,,,,,,,,-0.2354,-9.7123,-2.071,210.1258189160997
454309984,855636007,Gyroscope,ETCheck,06/02/2024,06/07/2023,06/07/2023,15:20:18.981,07:20:18.981,1083789,Tobii I-VT (Attention),,,,,,,,,,,,,,,,,,,,,,,,,1920.0,1080.0,Fixation,640.0,890.0,1068.0,443.0,,,,,-3.5,0.9205,0.0201,,,,210.1289409160997
454316378,855642401,Accelerometer,ETCheck,06/02/2024,06/07/2023,06/07/2023,15:20:18.981,07:20:18.981,1083789,Tobii I-VT (Attention),,,,,,,,,,,,,,,,,,,,,,,,,1920.0,1080.0,Fixation,640.0,890.0,1068.0,443.0,,,,,,,,-0.2354,-9.7441,-2.1165,210.1353349160997
454320178,855646201,Eye Tracker,ETCheck,06/02/2024,06/07/2023,06/07/2023,15:20:18.981,07:20:18.981,1083789,Tobii I-VT (Attention),,,1055.0,442.0,-65.1611,114.2762,918.6303,-0.09846,0.13723,0.98563,-0.03375,0.15045,0.98804,30.38,-23.38,-24.45,-34.22,-22.94,-24.31,2.479,2.361,2.42,Valid,Valid,1920.0,1080.0,Fixation,640.0,890.0,1068.0,443.0,,,,,,,,,,,210.1391349160997
454320526,855646549,Gyroscope,ETCheck,06/02/2024,06/07/2023,06/07/2023,15:20:18.981,07:20:18.981,1083789,Tobii I-VT (Attention),,,,,,,,,,,,,,,,,,,,,,,,,1920.0,1080.0,Fixation,640.0,890.0,1068.0,443.0,,,,,-2.45,1.8003,-0.5355,,,,210.13948291609967
454325894,855651917,Accelerometer,ETCheck,06/02/2024,06/07/2023,06/07/2023,15:20:18.981,07:20:18.981,1083789,Tobii I-VT (Attention),,,,,,,,,,,,,,,,,,,,,,,,,1920.0,1080.0,Fixation,640.0,890.0,1068.0,443.0,,,,,,,,-0.3138,-9.8236,-1.8915,210.14485091609976
454331068,855657091,Gyroscope,ETCheck,06/02/2024,06/07/2023,06/07/2023,15:20:18.981,07:20:18.981,1083789,Tobii I-VT (Attention),,,,,,,,,,,,,,,,,,,,,,,,,1920.0,1080.0,Fixation,640.0,890.0,1068.0,443.0,,,,,-1.68,2.4734,-1.1276,,,,210.15002491609977
454335410,855661433,Accelerometer,ETCheck,06/02/2024,06/07/2023,06/07/2023,15:20:18.981,07:20:18.981,1083789,Tobii I-VT (Attention),,,,,,,,,,,,,,,,,,,,,,,,,1920.0,1080.0,Fixation,640.0,890.0,1068.0,443.0,,,,,,,,-0.2746,-9.7963,-2.046,210.1543669160997
454340167,855666190,Eye Tracker,ETCheck,06/02/2024,06/07/2023,06/07/2023,15:20:18.981,07:20:18.981,1083789,Tobii I-VT (Attention),,,1055.0,442.0,-67.0255,116.5866,941.1414,-0.09812,0.13649,0.98577,-0.03484,0.14925,0.98819,30.38,-23.38,-24.45,-34.22,-22.94,-24.32,2.475,2.362,2.417,Valid,Valid,1920.0,1080.0,Fixation,640.0,890.0,1068.0,443.0,,,,,,,,,,,210.15912391609976
454341610,855667633,Gyroscope,ETCheck,06/02/2024,06/07/2023,06/07/2023,15:20:18.981,07:20:18.981,1083789,Tobii I-VT (Attention),,,,,,,,,,,,,,,,,,,,,,,,,1920.0,1080.0,Fixation,640.0,890.0,1068.0,443.0,,,,,-0.63,3.2114,-1.2818,,,,210.16056691609973
454344926,855670949,Accelerometer,ETCheck,06/02/2024,06/07/2023,06/07/2023,15:20:18.981,07:20:18.981,1083789,Tobii I-VT (Attention),,,,,,,,,,,,,,,,,,,,,,,,,1920.0,1080.0,Fixation,640.0,890.0,1068.0,443.0,,,,,,,,-0.2746,-9.8213,-2.1301,210.1638829160997
454352152,855678175,Gyroscope,ETCheck,06/02/2024,06/07/2023,06/07/2023,15:20:18.981,07:20:18.981,1083789,Tobii I-VT (Attention),,,,,,,,,,,,,,,,,,,,,,,,,1920.0,1080.0,Fixation,640.0,890.0,1068.0,443.0,,,,,0.14,4.213,-1.3185,,,,210.1711089160997
454354442,855680465,Accelerometer,ETCheck,06/02/2024,06/07/2023,06/07/2023,15:20:18.981,07:20:18.981,1083789,Tobii I-VT (Attention),,,,,,,,,,,,,,,,,,,,,,,,,1920.0,1080.0,Fixation,640.0,890.0,1068.0,443.0,,,,,,,,-0.2354,-9.835,-2.0528,210.17339891609976
