Recording timestamp,Computer timestamp,Sensor,Project name,Export date,Recording date,Recording date UTC,Recording start time,Recording start time UTC,Recording duration,Recording Fixation filter name,Event,Event value,Gaze point X,Gaze point Y,Gaze point 3D X,Gaze point 3D Y,Gaze point 3D Z,Gaze direction left X,Gaze direction left Y,Gaze direction left Z,Gaze direction right X,Gaze direction right Y,Gaze direction right Z,Pupil position left X,Pupil position left Y,Pupil position left Z,Pupil position right X,Pupil position right Y,Pupil position right Z,Pupil diameter left,Pupil diameter right,Pupil diameter filtered,Validity left,Validity right,Recording media width,Recording media height,Eye movement type,Gaze event duration,Eye movement type index,Fixation point X,Fixation point Y,Environment,Vehicle,Ungrouped,AOI hit [P07_normal_cali - Polygon],Gyro X,Gyro Y,Gyro Z,Accelerometer X,Accelerometer Y,Accelerometer Z,Relative time
323083976,804428568,Accelerometer,ETCheck,06/02/2024,05/23/2023,05/23/2023,15:22:27.241,07:22:27.241,1079142,Tobii I-VT (Attention),,,,,,,,,,,,,,,,,,,,,,,,,1920.0,1080.0,Fixation,100.0,746.0,784.0,533.0,,,,,,,,-0.5099,-9.7873,-2.3232,308.4786245260771
323085485,804430077,Gyroscope,ETCheck,06/02/2024,05/23/2023,05/23/2023,15:22:27.241,07:22:27.241,1079142,Tobii I-VT (Attention),,,,,,,,,,,,,,,,,,,,,,,,,1920.0,1080.0,Fixation,100.0,746.0,784.0,533.0,,,,,-8.82,-19.2502,20.4885,,,,308.4801335260771
323093529,804438121,Accelerometer,ETCheck,06/02/2024,05/23/2023,05/23/2023,15:22:27.241,07:22:27.241,1079142,Tobii I-VT (Attention),,,,,,,,,,,,,,,,,,,,,,,,,1920.0,1080.0,Fixation,100.0,746.0,784.0,533.0,,,,,,,,-0.5884,-9.7555,-2.2778,308.4881775260771
323093851,804438443,Eye Tracker,ETCheck,06/02/2024,05/23/2023,05/23/2023,15:22:27.241,07:22:27.241,1079142,Tobii I-VT (Attention),,,788.0,530.0,106.2969,29.1254,654.2136,0.18034,0.05969,0.98179,0.12664,0.10349,0.98654,34.91,-27.43,-25.27,-34.1,-26.9,-24.31,2.178,2.2,2.192,Valid,Valid,1920.0,1080.0,Fixation,100.0,746.0,784.0,533.0,,,,,,,,,,,308.4884995260771
323095880,804440472,Gyroscope,ETCheck,06/02/2024,05/23/2023,05/23/2023,15:22:27.241,07:22:27.241,1079142,Tobii I-VT (Attention),,,,,,,,,,,,,,,,,,,,,,,,,1920.0,1080.0,Fixation,100.0,746.0,784.0,533.0,,,,,-9.03,-20.5316,20.9023,,,,308.4905285260771
323103082,804447674,Accelerometer,ETCheck,06/02/2024,05/23/2023,05/23/2023,15:22:27.241,07:22:27.241,1079142,Tobii I-VT (Attention),,,,,,,,,,,,,,,,,,,,,,,,,1920.0,1080.0,Fixation,100.0,746.0,784.0,533.0,,,,,,,,-0.7453,-9.7236,-2.2324,308.4977305260771
323106275,804450867,Gyroscope,ETCheck,06/02/2024,05/23/2023,05/23/2023,15:22:27.241,07:22:27.241,1079142,Tobii I-VT (Attention),,,,,,,,,,,,,,,,,,,,,,,,,1920.0,1080.0,Fixation,100.0,746.0,784.0,533.0,,,,,-8.82,-21.2128,21.1376,,,,308.5009235260771
323112635,804457227,Accelerometer,ETCheck,06/02/2024,05/23/2023,05/23/2023,15:22:27.241,07:22:27.241,1079142,Tobii I-VT (Attention),,,,,,,,,,,,,,,,,,,,,,,,,1920.0,1080.0,Fixation,100.0,746.0,784.0,533.0,,,,,,,,-0.8238,-9.6782,-2.2642,308.5072835260771
323113829,804458421,Eye Tracker,ETCheck,06/02/2024,05/23/2023,05/23/2023,15:22:27.241,07:22:27.241,1079142,Tobii I-VT (Attention),,,786.0,535.0,107.6707,26.4824,654.6625,0.18229,0.0541,0.98176,0.12846,0.10137,0.98652,34.89,-27.45,-25.23,-34.08,-26.91,-24.29,2.185,2.201,2.192,Valid,Valid,1920.0,1080.0,Fixation,100.0,746.0,784.0,533.0,,,,,,,,,,,308.5084775260771
323116670,804461262,Gyroscope,ETCheck,06/02/2024,05/23/2023,05/23/2023,15:22:27.241,07:22:27.241,1079142,Tobii I-VT (Attention),,,,,,,,,,,,,,,,,,,,,,,,,1920.0,1080.0,Fixation,100.0,746.0,784.0,533.0,,,,,-8.61,-21.9346,20.7971,,,,308.5113185260771
