Recording timestamp,Computer timestamp,Sensor,Project name,Export date,Recording date,Recording date UTC,Recording start time,Recording start time UTC,Recording duration,Recording Fixation filter name,Event,Event value,Gaze point X,Gaze point Y,Gaze point 3D X,Gaze point 3D Y,Gaze point 3D Z,Gaze direction left X,Gaze direction left Y,Gaze direction left Z,Gaze direction right X,Gaze direction right Y,Gaze direction right Z,Pupil position left X,Pupil position left Y,Pupil position left Z,Pupil position right X,Pupil position right Y,Pupil position right Z,Pupil diameter left,Pupil diameter right,Pupil diameter filtered,Validity left,Validity right,Recording media width,Recording media height,Eye movement type,Gaze event duration,Eye movement type index,Fixation point X,Fixation point Y,Environment,Vehicle,Ungrouped,AOI hit [P07_normal_cali - Polygon],Gyro X,Gyro Y,Gyro Z,Accelerometer X,Accelerometer Y,Accelerometer Z,Relative time
477548568,690076551,Gyroscope,ETCheck,06/02/2024,05/08/2023,05/08/2023,15:48:09.881,07:48:09.881,1209138,Tobii I-VT (Attention),,,,,,,,,,,,,,,,,,,,,,,,,1920.0,1080.0,EyesNotFound,60.0,501.0,,,,,,-1.0,-2.03,-1.3664,0.8963,,,,354.64534804535145
477548621,690076604,Eye Tracker,ETCheck,06/02/2024,05/08/2023,05/08/2023,15:48:09.881,07:48:09.881,1209138,Tobii I-VT (Attention),,,,,,,,,,,,,,,,,,,,,,2.424,Invalid,Invalid,1920.0,1080.0,EyesNotFound,60.0,501.0,,,,,,-1.0,,,,,,,354.6454010453515
477550860,690078843,Accelerometer,ETCheck,06/02/2024,05/08/2023,05/08/2023,15:48:09.881,07:48:09.881,1209138,Tobii I-VT (Attention),,,,,,,,,,,,,,,,,,,,,,,,,1920.0,1080.0,EyesNotFound,60.0,501.0,,,,,,-1.0,,,,0.1177,-10.3324,-0.5871,354.64764004535147
477559000,690086983,Gyroscope,ETCheck,06/02/2024,05/08/2023,05/08/2023,15:48:09.881,07:48:09.881,1209138,Tobii I-VT (Attention),,,,,,,,,,,,,,,,,,,,,,,,,1920.0,1080.0,EyesNotFound,60.0,501.0,,,,,,-1.0,-2.24,-1.8247,0.6734,,,,354.6557800453515
477560483,690088466,Accelerometer,ETCheck,06/02/2024,05/08/2023,05/08/2023,15:48:09.881,07:48:09.881,1209138,Tobii I-VT (Attention),,,,,,,,,,,,,,,,,,,,,,,,,1920.0,1080.0,EyesNotFound,60.0,501.0,,,,,,-1.0,,,,0.0392,-10.3642,-0.6325,354.65726304535144
477568609,690096592,Eye Tracker,ETCheck,06/02/2024,05/08/2023,05/08/2023,15:48:09.881,07:48:09.881,1209138,Tobii I-VT (Attention),,,,,,,,,,,,,,,,,,,,,,2.424,Invalid,Invalid,1920.0,1080.0,EyesNotFound,60.0,501.0,,,,,,-1.0,,,,,,,354.66538904535145
477569432,690097415,Gyroscope,ETCheck,06/02/2024,05/08/2023,05/08/2023,15:48:09.881,07:48:09.881,1209138,Tobii I-VT (Attention),,,,,,,,,,,,,,,,,,,,,,,,,1920.0,1080.0,EyesNotFound,60.0,501.0,,,,,,-1.0,-2.38,-1.999,0.8559,,,,354.6662120453515
477570106,690098089,Accelerometer,ETCheck,06/02/2024,05/08/2023,05/08/2023,15:48:09.881,07:48:09.881,1209138,Tobii I-VT (Attention),,,,,,,,,,,,,,,,,,,,,,,,,1920.0,1080.0,EyesNotFound,60.0,501.0,,,,,,-1.0,,,,0.0392,-10.4165,-0.5621,354.6668860453515
477579729,690107712,Accelerometer,ETCheck,06/02/2024,05/08/2023,05/08/2023,15:48:09.881,07:48:09.881,1209138,Tobii I-VT (Attention),,,,,,,,,,,,,,,,,,,,,,,,,1920.0,1080.0,Saccade,60.0,1404.0,,,,,,-1.0,,,,0.0392,-10.4551,-0.5689,354.67650904535145
477579864,690107847,Gyroscope,ETCheck,06/02/2024,05/08/2023,05/08/2023,15:48:09.881,07:48:09.881,1209138,Tobii I-VT (Attention),,,,,,,,,,,,,,,,,,,,,,,,,1920.0,1080.0,Saccade,60.0,1404.0,,,,,,-1.0,-2.1,-2.1693,0.6126,,,,354.67664404535145
477588590,690116573,Eye Tracker,ETCheck,06/02/2024,05/08/2023,05/08/2023,15:48:09.881,07:48:09.881,1209138,Tobii I-VT (Attention),,,1432.0,509.0,-181.8576,30.8372,457.1509,-0.39997,0.10564,0.91042,,,,31.7,-25.57,-28.97,,,,2.879,,2.424,Valid,Invalid,1920.0,1080.0,Saccade,60.0,1404.0,,,,,,-1.0,,,,,,,354.6853700453515
477589339,690117322,Accelerometer,ETCheck,06/02/2024,05/08/2023,05/08/2023,15:48:09.881,07:48:09.881,1209138,Tobii I-VT (Attention),,,,,,,,,,,,,,,,,,,,,,,,,1920.0,1080.0,Saccade,60.0,1404.0,,,,,,-1.0,,,,0.0392,-10.4755,-0.453,354.68611904535146
477590296,690118279,Gyroscope,ETCheck,06/02/2024,05/08/2023,05/08/2023,15:48:09.881,07:48:09.881,1209138,Tobii I-VT (Attention),,,,,,,,,,,,,,,,,,,,,,,,,1920.0,1080.0,Saccade,60.0,1404.0,,,,,,-1.0,-1.47,-2.3518,0.4383,,,,354.6870760453515
477598949,690126932,Accelerometer,ETCheck,06/02/2024,05/08/2023,05/08/2023,15:48:09.881,07:48:09.881,1209138,Tobii I-VT (Attention),,,,,,,,,,,,,,,,,,,,,,,,,1920.0,1080.0,Saccade,60.0,1404.0,,,,,,-1.0,,,,0.0,-10.4301,-0.4848,354.69572904535147
477600728,690128711,Gyroscope,ETCheck,06/02/2024,05/08/2023,05/08/2023,15:48:09.881,07:48:09.881,1209138,Tobii I-VT (Attention),,,,,,,,,,,,,,,,,,,,,,,,,1920.0,1080.0,Saccade,60.0,1404.0,,,,,,-1.0,-0.35,-1.776,0.3976,,,,354.69750804535147
477608559,690136542,Accelerometer,ETCheck,06/02/2024,05/08/2023,05/08/2023,15:48:09.881,07:48:09.881,1209138,Tobii I-VT (Attention),,,,,,,,,,,,,,,,,,,,,,,,,1920.0,1080.0,Saccade,60.0,1404.0,,,,,,-1.0,,,,0.0,-10.3324,-0.5871,354.7053390453515
477608578,690136561,Eye Tracker,ETCheck,06/02/2024,05/08/2023,05/08/2023,15:48:09.881,07:48:09.881,1209138,Tobii I-VT (Attention),,,1178.0,465.0,-86.9705,50.7416,486.0781,-0.22205,0.1431,0.96448,,,,31.59,-25.67,-28.9,,,,2.358,,2.367,Valid,Invalid,1920.0,1080.0,Saccade,60.0,1404.0,,,,,,-1.0,,,,,,,354.7053580453515
477611124,690139107,Gyroscope,ETCheck,06/02/2024,05/08/2023,05/08/2023,15:48:09.881,07:48:09.881,1209138,Tobii I-VT (Attention),,,,,,,,,,,,,,,,,,,,,,,,,1920.0,1080.0,Saccade,60.0,1404.0,,,,,,-1.0,0.42,-1.7113,-0.3728,,,,354.7079040453515
477618169,690146152,Accelerometer,ETCheck,06/02/2024,05/08/2023,05/08/2023,15:48:09.881,07:48:09.881,1209138,Tobii I-VT (Attention),,,,,,,,,,,,,,,,,,,,,,,,,1920.0,1080.0,Saccade,60.0,1404.0,,,,,,-1.0,,,,-0.0392,-10.2938,-0.5803,354.7149490453515
477621520,690149503,Gyroscope,ETCheck,06/02/2024,05/08/2023,05/08/2023,15:48:09.881,07:48:09.881,1209138,Tobii I-VT (Attention),,,,,,,,,,,,,,,,,,,,,,,,,1920.0,1080.0,Saccade,60.0,1404.0,,,,,,-1.0,1.26,-1.5288,-0.1985,,,,354.71830004535144
477627779,690155762,Accelerometer,ETCheck,06/02/2024,05/08/2023,05/08/2023,15:48:09.881,07:48:09.881,1209138,Tobii I-VT (Attention),,,,,,,,,,,,,,,,,,,,,,,,,1920.0,1080.0,Saccade,60.0,1404.0,,,,,,-1.0,,,,0.0,-10.2051,-0.4053,354.72455904535144
