Recording timestamp,Computer timestamp,Sensor,Project name,Export date,Recording date,Recording date UTC,Recording start time,Recording start time UTC,Recording duration,Recording Fixation filter name,Event,Event value,Gaze point X,Gaze point Y,Gaze point 3D X,Gaze point 3D Y,Gaze point 3D Z,Gaze direction left X,Gaze direction left Y,Gaze direction left Z,Gaze direction right X,Gaze direction right Y,Gaze direction right Z,Pupil position left X,Pupil position left Y,Pupil position left Z,Pupil position right X,Pupil position right Y,Pupil position right Z,Pupil diameter left,Pupil diameter right,Pupil diameter filtered,Validity left,Validity right,Recording media width,Recording media height,Eye movement type,Gaze event duration,Eye movement type index,Fixation point X,Fixation point Y,Environment,Vehicle,Ungrouped,AOI hit [P07_normal_cali - Polygon],Gyro X,Gyro Y,Gyro Z,Accelerometer X,Accelerometer Y,Accelerometer Z,Relative time
758814996,1313718139,Accelerometer,ETCheck,06/02/2024,05/22/2023,05/22/2023,15:47:49.985,07:47:49.985,1309483,Tobii I-VT (Attention),,,,,,,,,,,,,,,,,,,,,,,,,1920.0,1080.0,Fixation,899.0,1501.0,1132.0,494.0,,,,,,,,-1.2945,-9.6917,-1.5098,609.278488063492
758815955,1313719098,Gyroscope,ETCheck,06/02/2024,05/22/2023,05/22/2023,15:47:49.985,07:47:49.985,1309483,Tobii I-VT (Attention),,,,,,,,,,,,,,,,,,,,,,,,,1920.0,1080.0,Fixation,899.0,1501.0,1132.0,494.0,,,,,28.84,-12.7576,-4.2397,,,,609.2794470634921
758820723,1313723866,Eye Tracker,ETCheck,06/02/2024,05/22/2023,05/22/2023,15:47:49.985,07:47:49.985,1309483,Tobii I-VT (Attention),,,1092.0,573.0,-47.9222,4.2667,458.2426,-0.16503,0.0665,0.98404,,,,32.91,-28.3,-23.73,,,,2.468,,2.468,Valid,Invalid,1920.0,1080.0,Fixation,899.0,1501.0,1132.0,494.0,,,,,,,,,,,609.2842150634921
758824604,1313727747,Accelerometer,ETCheck,06/02/2024,05/22/2023,05/22/2023,15:47:49.985,07:47:49.985,1309483,Tobii I-VT (Attention),,,,,,,,,,,,,,,,,,,,,,,,,1920.0,1080.0,Fixation,899.0,1501.0,1132.0,494.0,,,,,,,,-1.216,-9.8349,-1.3757,609.288096063492
758826419,1313729562,Gyroscope,ETCheck,06/02/2024,05/22/2023,05/22/2023,15:47:49.985,07:47:49.985,1309483,Tobii I-VT (Attention),,,,,,,,,,,,,,,,,,,,,,,,,1920.0,1080.0,Fixation,899.0,1501.0,1132.0,494.0,,,,,30.66,-11.1559,-4.4549,,,,609.289911063492
758834212,1313737355,Accelerometer,ETCheck,06/02/2024,05/22/2023,05/22/2023,15:47:49.985,07:47:49.985,1309483,Tobii I-VT (Attention),,,,,,,,,,,,,,,,,,,,,,,,,1920.0,1080.0,Fixation,899.0,1501.0,1132.0,494.0,,,,,,,,-1.1376,-9.9257,-1.312,609.297704063492
758836883,1313740026,Gyroscope,ETCheck,06/02/2024,05/22/2023,05/22/2023,15:47:49.985,07:47:49.985,1309483,Tobii I-VT (Attention),,,,,,,,,,,,,,,,,,,,,,,,,1920.0,1080.0,Fixation,899.0,1501.0,1132.0,494.0,,,,,31.57,-10.2476,-4.3658,,,,609.300375063492
758840710,1313743853,Eye Tracker,ETCheck,06/02/2024,05/22/2023,05/22/2023,15:47:49.985,07:47:49.985,1309483,Tobii I-VT (Attention),,,1106.0,538.0,-75.6734,25.9266,651.2354,-0.15837,0.07881,0.98423,-0.05808,0.07916,0.99517,32.93,-28.25,-23.73,-36.41,-27.47,-21.59,2.469,2.486,2.477,Valid,Valid,1920.0,1080.0,Fixation,899.0,1501.0,1132.0,494.0,,,,,,,,,,,609.304202063492
758843820,1313746963,Accelerometer,ETCheck,06/02/2024,05/22/2023,05/22/2023,15:47:49.985,07:47:49.985,1309483,Tobii I-VT (Attention),,,,,,,,,,,,,,,,,,,,,,,,,1920.0,1080.0,Fixation,899.0,1501.0,1132.0,494.0,,,,,,,,-1.0983,-9.9712,-1.2802,609.3073120634921
758847347,1313750490,Gyroscope,ETCheck,06/02/2024,05/22/2023,05/22/2023,15:47:49.985,07:47:49.985,1309483,Tobii I-VT (Attention),,,,,,,,,,,,,,,,,,,,,,,,,1920.0,1080.0,Fixation,899.0,1501.0,1132.0,494.0,,,,,31.29,-9.5704,-4.1753,,,,609.310839063492
