Recording timestamp,Computer timestamp,Sensor,Project name,Export date,Recording date,Recording date UTC,Recording start time,Recording start time UTC,Recording duration,Recording Fixation filter name,Event,Event value,Gaze point X,Gaze point Y,Gaze point 3D X,Gaze point 3D Y,Gaze point 3D Z,Gaze direction left X,Gaze direction left Y,Gaze direction left Z,Gaze direction right X,Gaze direction right Y,Gaze direction right Z,Pupil position left X,Pupil position left Y,Pupil position left Z,Pupil position right X,Pupil position right Y,Pupil position right Z,Pupil diameter left,Pupil diameter right,Pupil diameter filtered,Validity left,Validity right,Recording media width,Recording media height,Eye movement type,Gaze event duration,Eye movement type index,Fixation point X,Fixation point Y,Environment,Vehicle,Ungrouped,AOI hit [P07_normal_cali - Polygon],Gyro X,Gyro Y,Gyro Z,Accelerometer X,Accelerometer Y,Accelerometer Z,Relative time
420802328,1089244888,Accelerometer,ETCheck,06/02/2024,06/21/2023,06/21/2023,15:29:18.899,07:29:18.899,1104114,Tobii I-VT (Attention),,,,,,,,,,,,,,,,,,,,,,,,,1920.0,1080.0,Fixation,1259.0,747.0,934.0,386.0,,,,,,,,-0.7453,-9.7532,-2.5164,328.13148899773245
420809258,1089251818,Gyroscope,ETCheck,06/02/2024,06/21/2023,06/21/2023,15:29:18.899,07:29:18.899,1104114,Tobii I-VT (Attention),,,,,,,,,,,,,,,,,,,,,,,,,1920.0,1080.0,Fixation,1259.0,747.0,934.0,386.0,,,,,4.2,-20.8553,25.963,,,,328.13841899773246
420811987,1089254547,Accelerometer,ETCheck,06/02/2024,06/21/2023,06/21/2023,15:29:18.899,07:29:18.899,1104114,Tobii I-VT (Attention),,,,,,,,,,,,,,,,,,,,,,,,,1920.0,1080.0,Fixation,1259.0,747.0,934.0,386.0,,,,,,,,-0.9414,-9.8623,-2.5755,328.14114799773245
420819672,1089262232,Gyroscope,ETCheck,06/02/2024,06/21/2023,06/21/2023,15:29:18.899,07:29:18.899,1104114,Tobii I-VT (Attention),,,,,,,,,,,,,,,,,,,,,,,,,1920.0,1080.0,Fixation,1259.0,747.0,934.0,386.0,,,,,4.27,-20.6569,23.2258,,,,328.1488329977325
420820102,1089262662,Eye Tracker,ETCheck,06/02/2024,06/21/2023,06/21/2023,15:29:18.899,07:29:18.899,1104114,Tobii I-VT (Attention),,,905.0,393.0,70.3932,193.3176,1160.9685,0.03332,0.17589,0.98385,,,,30.02,-19.82,-31.25,,,,2.387,,2.45,Valid,Invalid,1920.0,1080.0,Fixation,1259.0,747.0,934.0,386.0,,,,,,,,,,,328.1492629977325
420821646,1089264206,Accelerometer,ETCheck,06/02/2024,06/21/2023,06/21/2023,15:29:18.899,07:29:18.899,1104114,Tobii I-VT (Attention),,,,,,,,,,,,,,,,,,,,,,,,,1920.0,1080.0,Fixation,1259.0,747.0,934.0,386.0,,,,,,,,-1.0983,-10.0736,-2.7322,328.15080699773245
420830086,1089272646,Gyroscope,ETCheck,06/02/2024,06/21/2023,06/21/2023,15:29:18.899,07:29:18.899,1104114,Tobii I-VT (Attention),,,,,,,,,,,,,,,,,,,,,,,,,1920.0,1080.0,Fixation,1259.0,747.0,934.0,386.0,,,,,3.92,-19.9071,20.5859,,,,328.15924699773245
420831305,1089273865,Accelerometer,ETCheck,06/02/2024,06/21/2023,06/21/2023,15:29:18.899,07:29:18.899,1104114,Tobii I-VT (Attention),,,,,,,,,,,,,,,,,,,,,,,,,1920.0,1080.0,Fixation,1259.0,747.0,934.0,386.0,,,,,,,,-1.216,-10.4167,-2.5936,328.16046599773244
420840082,1089282642,Eye Tracker,ETCheck,06/02/2024,06/21/2023,06/21/2023,15:29:18.899,07:29:18.899,1104114,Tobii I-VT (Attention),,,912.0,388.0,89.4345,278.4511,1627.5103,0.04131,0.18521,0.98183,0.06594,0.16756,0.98365,30.06,-19.85,-31.24,-32.11,-18.31,-29.19,2.437,2.513,2.475,Valid,Valid,1920.0,1080.0,Fixation,1259.0,747.0,934.0,386.0,,,,,,,,,,,328.16924299773245
420840500,1089283060,Gyroscope,ETCheck,06/02/2024,06/21/2023,06/21/2023,15:29:18.899,07:29:18.899,1104114,Tobii I-VT (Attention),,,,,,,,,,,,,,,,,,,,,,,,,1920.0,1080.0,Fixation,1259.0,747.0,934.0,386.0,,,,,3.36,-18.9222,17.4188,,,,328.1696609977325
