Recording timestamp,Computer timestamp,Sensor,Project name,Export date,Recording date,Recording date UTC,Recording start time,Recording start time UTC,Recording duration,Recording Fixation filter name,Event,Event value,Gaze point X,Gaze point Y,Gaze point 3D X,Gaze point 3D Y,Gaze point 3D Z,Gaze direction left X,Gaze direction left Y,Gaze direction left Z,Gaze direction right X,Gaze direction right Y,Gaze direction right Z,Pupil position left X,Pupil position left Y,Pupil position left Z,Pupil position right X,Pupil position right Y,Pupil position right Z,Pupil diameter left,Pupil diameter right,Pupil diameter filtered,Validity left,Validity right,Recording media width,Recording media height,Eye movement type,Gaze event duration,Eye movement type index,Fixation point X,Fixation point Y,Environment,Vehicle,Ungrouped,AOI hit [P07_normal_cali - Polygon],Gyro X,Gyro Y,Gyro Z,Accelerometer X,Accelerometer Y,Accelerometer Z,Relative time
787843650,1342746793,Eye Tracker,ETCheck,06/02/2024,05/22/2023,05/22/2023,15:47:49.985,07:47:49.985,1309483,Tobii I-VT (Attention),,,681.0,552.0,304.1959,28.7456,1187.9309,0.27854,0.01564,0.9603,0.20815,0.07465,0.97524,34.54,-28.16,-23.26,-34.81,-27.28,-21.52,2.521,2.508,2.515,Valid,Valid,1920.0,1080.0,Fixation,939.0,1548.0,703.0,562.0,,,,,,,,,,,638.307142063492
787845213,1342748356,Accelerometer,ETCheck,06/02/2024,05/22/2023,05/22/2023,15:47:49.985,07:47:49.985,1309483,Tobii I-VT (Attention),,,,,,,,,,,,,,,,,,,,,,,,,1920.0,1080.0,Fixation,939.0,1548.0,703.0,562.0,,,,,,,,-1.3729,-9.7031,-1.6711,638.308705063492
787851190,1342754333,Gyroscope,ETCheck,06/02/2024,05/22/2023,05/22/2023,15:47:49.985,07:47:49.985,1309483,Tobii I-VT (Attention),,,,,,,,,,,,,,,,,,,,,,,,,1920.0,1080.0,Fixation,939.0,1548.0,703.0,562.0,,,,,-9.24,11.1879,1.0487,,,,638.314682063492
787854697,1342757840,Accelerometer,ETCheck,06/02/2024,05/22/2023,05/22/2023,15:47:49.985,07:47:49.985,1309483,Tobii I-VT (Attention),,,,,,,,,,,,,,,,,,,,,,,,,1920.0,1080.0,Fixation,939.0,1548.0,703.0,562.0,,,,,,,,-1.2945,-9.7167,-1.5938,638.318189063492
787861838,1342764981,Gyroscope,ETCheck,06/02/2024,05/22/2023,05/22/2023,15:47:49.985,07:47:49.985,1309483,Tobii I-VT (Attention),,,,,,,,,,,,,,,,,,,,,,,,,1920.0,1080.0,Fixation,939.0,1548.0,703.0,562.0,,,,,-8.96,10.1092,0.7163,,,,638.3253300634921
787863640,1342766783,Eye Tracker,ETCheck,06/02/2024,05/22/2023,05/22/2023,15:47:49.985,07:47:49.985,1309483,Tobii I-VT (Attention),,,687.0,555.0,297.7145,26.3251,1188.8059,0.27296,0.01452,0.96191,0.20372,0.072,0.97638,34.54,-28.18,-23.25,-34.83,-27.3,-21.5,2.492,2.478,2.485,Valid,Valid,1920.0,1080.0,Fixation,939.0,1548.0,703.0,562.0,,,,,,,,,,,638.3271320634921
787864181,1342767324,Accelerometer,ETCheck,06/02/2024,05/22/2023,05/22/2023,15:47:49.985,07:47:49.985,1309483,Tobii I-VT (Attention),,,,,,,,,,,,,,,,,,,,,,,,,1920.0,1080.0,Fixation,939.0,1548.0,703.0,562.0,,,,,,,,-1.216,-9.6827,-1.787,638.327673063492
787872486,1342775629,Gyroscope,ETCheck,06/02/2024,05/22/2023,05/22/2023,15:47:49.985,07:47:49.985,1309483,Tobii I-VT (Attention),,,,,,,,,,,,,,,,,,,,,,,,,1920.0,1080.0,Fixation,939.0,1548.0,703.0,562.0,,,,,-8.61,9.0873,0.4651,,,,638.335978063492
787873665,1342776808,Accelerometer,ETCheck,06/02/2024,05/22/2023,05/22/2023,15:47:49.985,07:47:49.985,1309483,Tobii I-VT (Attention),,,,,,,,,,,,,,,,,,,,,,,,,1920.0,1080.0,Fixation,939.0,1548.0,703.0,562.0,,,,,,,,-1.1768,-9.6327,-1.6188,638.337157063492
787883134,1342786277,Gyroscope,ETCheck,06/02/2024,05/22/2023,05/22/2023,15:47:49.985,07:47:49.985,1309483,Tobii I-VT (Attention),,,,,,,,,,,,,,,,,,,,,,,,,1920.0,1080.0,Fixation,939.0,1548.0,703.0,562.0,,,,,-8.19,7.6153,0.3477,,,,638.3466260634921
787883149,1342786292,Accelerometer,ETCheck,06/02/2024,05/22/2023,05/22/2023,15:47:49.985,07:47:49.985,1309483,Tobii I-VT (Attention),,,,,,,,,,,,,,,,,,,,,,,,,1920.0,1080.0,Fixation,939.0,1548.0,703.0,562.0,,,,,,,,-1.216,-9.5486,-1.6438,638.346641063492
787883619,1342786762,Eye Tracker,ETCheck,06/02/2024,05/22/2023,05/22/2023,15:47:49.985,07:47:49.985,1309483,Tobii I-VT (Attention),,,693.0,556.0,291.9226,24.95,1189.4421,0.26817,0.01344,0.96328,0.19957,0.07096,0.97731,34.54,-28.19,-23.25,-34.85,-27.32,-21.49,2.467,2.451,2.459,Valid,Valid,1920.0,1080.0,Fixation,939.0,1548.0,703.0,562.0,,,,,,,,,,,638.347111063492
787892633,1342795776,Accelerometer,ETCheck,06/02/2024,05/22/2023,05/22/2023,15:47:49.985,07:47:49.985,1309483,Tobii I-VT (Attention),,,,,,,,,,,,,,,,,,,,,,,,,1920.0,1080.0,Fixation,939.0,1548.0,703.0,562.0,,,,,,,,-1.2553,-9.5486,-1.6438,638.3561250634921
787893782,1342796925,Gyroscope,ETCheck,06/02/2024,05/22/2023,05/22/2023,15:47:49.985,07:47:49.985,1309483,Tobii I-VT (Attention),,,,,,,,,,,,,,,,,,,,,,,,,1920.0,1080.0,Fixation,939.0,1548.0,703.0,562.0,,,,,-7.21,7.2625,-0.0699,,,,638.357274063492
787902117,1342805260,Accelerometer,ETCheck,06/02/2024,05/22/2023,05/22/2023,15:47:49.985,07:47:49.985,1309483,Tobii I-VT (Attention),,,,,,,,,,,,,,,,,,,,,,,,,1920.0,1080.0,Fixation,939.0,1548.0,703.0,562.0,,,,,,,,-1.3337,-9.5736,-1.7279,638.365609063492
787903635,1342806778,Eye Tracker,ETCheck,06/02/2024,05/22/2023,05/22/2023,15:47:49.985,07:47:49.985,1309483,Tobii I-VT (Attention),,,698.0,558.0,287.1687,22.9602,1189.911,0.26328,0.01257,0.96464,0.19716,0.06871,0.97796,34.54,-28.2,-23.25,-34.87,-27.33,-21.49,2.441,2.429,2.435,Valid,Valid,1920.0,1080.0,Fixation,939.0,1548.0,703.0,562.0,,,,,,,,,,,638.367127063492
787904430,1342807573,Gyroscope,ETCheck,06/02/2024,05/22/2023,05/22/2023,15:47:49.985,07:47:49.985,1309483,Tobii I-VT (Attention),,,,,,,,,,,,,,,,,,,,,,,,,1920.0,1080.0,Fixation,939.0,1548.0,703.0,562.0,,,,,-6.79,7.1975,-0.5079,,,,638.3679220634921
787911601,1342814744,Accelerometer,ETCheck,06/02/2024,05/22/2023,05/22/2023,15:47:49.985,07:47:49.985,1309483,Tobii I-VT (Attention),,,,,,,,,,,,,,,,,,,,,,,,,1920.0,1080.0,Fixation,939.0,1548.0,703.0,562.0,,,,,,,,-1.3337,-9.5872,-1.6507,638.375093063492
787915078,1342818221,Gyroscope,ETCheck,06/02/2024,05/22/2023,05/22/2023,15:47:49.985,07:47:49.985,1309483,Tobii I-VT (Attention),,,,,,,,,,,,,,,,,,,,,,,,,1920.0,1080.0,Fixation,939.0,1548.0,703.0,562.0,,,,,-6.44,7.0272,-0.7512,,,,638.378570063492
787921085,1342824228,Accelerometer,ETCheck,06/02/2024,05/22/2023,05/22/2023,15:47:49.985,07:47:49.985,1309483,Tobii I-VT (Attention),,,,,,,,,,,,,,,,,,,,,,,,,1920.0,1080.0,Fixation,939.0,1548.0,703.0,562.0,,,,,,,,-1.3729,-9.5804,-1.6893,638.384577063492
787923615,1342826758,Eye Tracker,ETCheck,06/02/2024,05/22/2023,05/22/2023,15:47:49.985,07:47:49.985,1309483,Tobii I-VT (Attention),,,701.0,561.0,283.791,19.8593,1190.1407,0.2597,0.01052,0.96563,0.1956,0.06585,0.97847,34.54,-28.21,-23.26,-34.89,-27.33,-21.48,2.423,2.41,2.416,Valid,Valid,1920.0,1080.0,Fixation,939.0,1548.0,703.0,562.0,,,,,,,,,,,638.3871070634921
787925726,1342828869,Gyroscope,ETCheck,06/02/2024,05/22/2023,05/22/2023,15:47:49.985,07:47:49.985,1309483,Tobii I-VT (Attention),,,,,,,,,,,,,,,,,,,,,,,,,1920.0,1080.0,Fixation,939.0,1548.0,703.0,562.0,,,,,-6.23,7.6679,-0.3539,,,,638.3892180634921
787930569,1342833712,Accelerometer,ETCheck,06/02/2024,05/22/2023,05/22/2023,15:47:49.985,07:47:49.985,1309483,Tobii I-VT (Attention),,,,,,,,,,,,,,,,,,,,,,,,,1920.0,1080.0,Fixation,939.0,1548.0,703.0,562.0,,,,,,,,-1.4122,-9.6327,-1.6188,638.394061063492
787936374,1342839517,Gyroscope,ETCheck,06/02/2024,05/22/2023,05/22/2023,15:47:49.985,07:47:49.985,1309483,Tobii I-VT (Attention),,,,,,,,,,,,,,,,,,,,,,,,,1920.0,1080.0,Fixation,939.0,1548.0,703.0,562.0,,,,,-6.23,8.1748,-0.4066,,,,638.399866063492
787940053,1342843196,Accelerometer,ETCheck,06/02/2024,05/22/2023,05/22/2023,15:47:49.985,07:47:49.985,1309483,Tobii I-VT (Attention),,,,,,,,,,,,,,,,,,,,,,,,,1920.0,1080.0,Fixation,939.0,1548.0,703.0,562.0,,,,,,,,-1.4122,-9.6963,-1.7097,638.4035450634921
787943603,1342846746,Eye Tracker,ETCheck,06/02/2024,05/22/2023,05/22/2023,15:47:49.985,07:47:49.985,1309483,Tobii I-VT (Attention),,,703.0,563.0,281.6624,17.2835,1190.0938,0.25769,0.00926,0.96618,0.19445,0.06304,0.97888,34.54,-28.22,-23.26,-34.9,-27.34,-21.48,2.407,2.394,2.401,Valid,Valid,1920.0,1080.0,Fixation,939.0,1548.0,703.0,562.0,,,,,,,,,,,638.4070950634921
787947022,1342850165,Gyroscope,ETCheck,06/02/2024,05/22/2023,05/22/2023,15:47:49.985,07:47:49.985,1309483,Tobii I-VT (Attention),,,,,,,,,,,,,,,,,,,,,,,,,1920.0,1080.0,Fixation,939.0,1548.0,703.0,562.0,,,,,-6.3,8.3248,-0.4513,,,,638.410514063492
787949537,1342852680,Accelerometer,ETCheck,06/02/2024,05/22/2023,05/22/2023,15:47:49.985,07:47:49.985,1309483,Tobii I-VT (Attention),,,,,,,,,,,,,,,,,,,,,,,,,1920.0,1080.0,Fixation,939.0,1548.0,703.0,562.0,,,,,,,,-1.4514,-9.7145,-1.8324,638.413029063492
787957670,1342860813,Gyroscope,ETCheck,06/02/2024,05/22/2023,05/22/2023,15:47:49.985,07:47:49.985,1309483,Tobii I-VT (Attention),,,,,,,,,,,,,,,,,,,,,,,,,1920.0,1080.0,Fixation,939.0,1548.0,703.0,562.0,,,,,-5.95,8.7181,-0.6662,,,,638.421162063492
787959021,1342862164,Accelerometer,ETCheck,06/02/2024,05/22/2023,05/22/2023,15:47:49.985,07:47:49.985,1309483,Tobii I-VT (Attention),,,,,,,,,,,,,,,,,,,,,,,,,1920.0,1080.0,Fixation,939.0,1548.0,703.0,562.0,,,,,,,,-1.4122,-9.6963,-1.7097,638.422513063492
787963584,1342866727,Eye Tracker,ETCheck,06/02/2024,05/22/2023,05/22/2023,15:47:49.985,07:47:49.985,1309483,Tobii I-VT (Attention),,,706.0,567.0,278.461,13.4964,1190.3883,0.25442,0.00697,0.96707,0.19282,0.0593,0.97944,34.54,-28.23,-23.26,-34.91,-27.35,-21.46,2.392,2.375,2.383,Valid,Valid,1920.0,1080.0,Fixation,939.0,1548.0,703.0,562.0,,,,,,,,,,,638.427076063492
787968318,1342871461,Gyroscope,ETCheck,06/02/2024,05/22/2023,05/22/2023,15:47:49.985,07:47:49.985,1309483,Tobii I-VT (Attention),,,,,,,,,,,,,,,,,,,,,,,,,1920.0,1080.0,Fixation,939.0,1548.0,703.0,562.0,,,,,-6.02,8.8195,-0.4351,,,,638.431810063492
787968505,1342871648,Accelerometer,ETCheck,06/02/2024,05/22/2023,05/22/2023,15:47:49.985,07:47:49.985,1309483,Tobii I-VT (Attention),,,,,,,,,,,,,,,,,,,,,,,,,1920.0,1080.0,Fixation,939.0,1548.0,703.0,562.0,,,,,,,,-1.3337,-9.5986,-1.812,638.4319970634921
787978025,1342881168,Accelerometer,ETCheck,06/02/2024,05/22/2023,05/22/2023,15:47:49.985,07:47:49.985,1309483,Tobii I-VT (Attention),,,,,,,,,,,,,,,,,,,,,,,,,1920.0,1080.0,Fixation,939.0,1548.0,703.0,562.0,,,,,,,,-1.2945,-9.535,-1.7211,638.441517063492
787978966,1342882109,Gyroscope,ETCheck,06/02/2024,05/22/2023,05/22/2023,15:47:49.985,07:47:49.985,1309483,Tobii I-VT (Attention),,,,,,,,,,,,,,,,,,,,,,,,,1920.0,1080.0,Fixation,939.0,1548.0,703.0,562.0,,,,,-6.02,8.6574,-0.3216,,,,638.442458063492
787983572,1342886715,Eye Tracker,ETCheck,06/02/2024,05/22/2023,05/22/2023,15:47:49.985,07:47:49.985,1309483,Tobii I-VT (Attention),,,711.0,571.0,273.7487,9.4023,1191.0498,0.25035,0.00411,0.96815,0.18953,0.05563,0.9803,34.54,-28.24,-23.26,-34.92,-27.37,-21.44,2.375,2.356,2.366,Valid,Valid,1920.0,1080.0,Fixation,939.0,1548.0,703.0,562.0,,,,,,,,,,,638.447064063492
787987545,1342890688,Accelerometer,ETCheck,06/02/2024,05/22/2023,05/22/2023,15:47:49.985,07:47:49.985,1309483,Tobii I-VT (Attention),,,,,,,,,,,,,,,,,,,,,,,,,1920.0,1080.0,Fixation,939.0,1548.0,703.0,562.0,,,,,,,,-1.2945,-9.4509,-1.7461,638.451037063492
787989614,1342892757,Gyroscope,ETCheck,06/02/2024,05/22/2023,05/22/2023,15:47:49.985,07:47:49.985,1309483,Tobii I-VT (Attention),,,,,,,,,,,,,,,,,,,,,,,,,1920.0,1080.0,Fixation,939.0,1548.0,703.0,562.0,,,,,-5.67,8.6249,-0.5405,,,,638.453106063492
787997065,1342900208,Accelerometer,ETCheck,06/02/2024,05/22/2023,05/22/2023,15:47:49.985,07:47:49.985,1309483,Tobii I-VT (Attention),,,,,,,,,,,,,,,,,,,,,,,,,1920.0,1080.0,Fixation,939.0,1548.0,703.0,562.0,,,,,,,,-1.2553,-9.5213,-1.7984,638.460557063492
