Recording timestamp,Computer timestamp,Sensor,Project name,Export date,Recording date,Recording date UTC,Recording start time,Recording start time UTC,Recording duration,Recording Fixation filter name,Event,Event value,Gaze point X,Gaze point Y,Gaze point 3D X,Gaze point 3D Y,Gaze point 3D Z,Gaze direction left X,Gaze direction left Y,Gaze direction left Z,Gaze direction right X,Gaze direction right Y,Gaze direction right Z,Pupil position left X,Pupil position left Y,Pupil position left Z,Pupil position right X,Pupil position right Y,Pupil position right Z,Pupil diameter left,Pupil diameter right,Pupil diameter filtered,Validity left,Validity right,Recording media width,Recording media height,Eye movement type,Gaze event duration,Eye movement type index,Fixation point X,Fixation point Y,Environment,Vehicle,Ungrouped,AOI hit [P07_normal_cali - Polygon],Gyro X,Gyro Y,Gyro Z,Accelerometer X,Accelerometer Y,Accelerometer Z,Relative time
547419745,948745768,Gyroscope,ETCheck,06/02/2024,06/07/2023,06/07/2023,15:20:18.981,07:20:18.981,1083789,Tobii I-VT (Attention),,,,,,,,,,,,,,,,,,,,,,,,,1920.0,1080.0,Saccade,160.0,1813.0,,,,,,,17.71,-107.365,-36.4881,,,,303.2387019160998
547419998,948746021,Accelerometer,ETCheck,06/02/2024,06/07/2023,06/07/2023,15:20:18.981,07:20:18.981,1083789,Tobii I-VT (Attention),,,,,,,,,,,,,,,,,,,,,,,,,1920.0,1080.0,Saccade,160.0,1813.0,,,,,,,,,,0.2354,-10.7278,-1.0551,303.2389549160997
547426360,948752383,Eye Tracker,ETCheck,06/02/2024,06/07/2023,06/07/2023,15:20:18.981,07:20:18.981,1083789,Tobii I-VT (Attention),,,1862.0,587.0,-2350.2595,7.6203,3059.0754,-0.61053,0.00817,0.79195,,,,27.49,-24.18,-25.21,,,,2.412,,2.421,Valid,Invalid,1920.0,1080.0,Saccade,160.0,1813.0,,,,,,,,,,,,,303.2453169160998
547429556,948755579,Accelerometer,ETCheck,06/02/2024,06/07/2023,06/07/2023,15:20:18.981,07:20:18.981,1083789,Tobii I-VT (Attention),,,,,,,,,,,,,,,,,,,,,,,,,1920.0,1080.0,Saccade,160.0,1813.0,,,,,,,,,,0.1569,-10.6824,-1.087,303.2485129160998
547430146,948756169,Gyroscope,ETCheck,06/02/2024,06/07/2023,06/07/2023,15:20:18.981,07:20:18.981,1083789,Tobii I-VT (Attention),,,,,,,,,,,,,,,,,,,,,,,,,1920.0,1080.0,Saccade,160.0,1813.0,,,,,,,17.15,-106.0674,-36.1882,,,,303.2491029160998
547439114,948765137,Accelerometer,ETCheck,06/02/2024,06/07/2023,06/07/2023,15:20:18.981,07:20:18.981,1083789,Tobii I-VT (Attention),,,,,,,,,,,,,,,,,,,,,,,,,1920.0,1080.0,Unclassified,20.0,805.0,,,,,,,,,,0.0785,-10.6051,-1.0733,303.25807091609977
547440547,948766570,Gyroscope,ETCheck,06/02/2024,06/07/2023,06/07/2023,15:20:18.981,07:20:18.981,1083789,Tobii I-VT (Attention),,,,,,,,,,,,,,,,,,,,,,,,,1920.0,1080.0,Unclassified,20.0,805.0,,,,,,,16.52,-103.9262,-35.0288,,,,303.2595039160998
547446347,948772370,Eye Tracker,ETCheck,06/02/2024,06/07/2023,06/07/2023,15:20:18.981,07:20:18.981,1083789,Tobii I-VT (Attention),,,1871.0,599.0,-2363.9021,-22.6768,3048.6865,-0.61403,0.0004,0.78928,,,,27.47,-24.24,-25.21,,,,2.386,,2.421,Valid,Invalid,1920.0,1080.0,Unclassified,20.0,805.0,,,,,,,,,,,,,303.2653039160997
547448672,948774695,Accelerometer,ETCheck,06/02/2024,06/07/2023,06/07/2023,15:20:18.981,07:20:18.981,1083789,Tobii I-VT (Attention),,,,,,,,,,,,,,,,,,,,,,,,,1920.0,1080.0,Unclassified,20.0,805.0,,,,,,,,,,-0.1177,-10.6506,-1.0415,303.26762891609974
547450948,948776971,Gyroscope,ETCheck,06/02/2024,06/07/2023,06/07/2023,15:20:18.981,07:20:18.981,1083789,Tobii I-VT (Attention),,,,,,,,,,,,,,,,,,,,,,,,,1920.0,1080.0,Unclassified,20.0,805.0,,,,,,,15.68,-100.4346,-33.0626,,,,303.2699049160998
