Recording timestamp,Computer timestamp,Sensor,Project name,Export date,Recording date,Recording date UTC,Recording start time,Recording start time UTC,Recording duration,Recording Fixation filter name,Event,Event value,Gaze point X,Gaze point Y,Gaze point 3D X,Gaze point 3D Y,Gaze point 3D Z,Gaze direction left X,Gaze direction left Y,Gaze direction left Z,Gaze direction right X,Gaze direction right Y,Gaze direction right Z,Pupil position left X,Pupil position left Y,Pupil position left Z,Pupil position right X,Pupil position right Y,Pupil position right Z,Pupil diameter left,Pupil diameter right,Pupil diameter filtered,Validity left,Validity right,Recording media width,Recording media height,Eye movement type,Gaze event duration,Eye movement type index,Fixation point X,Fixation point Y,Environment,Vehicle,Ungrouped,AOI hit [P07_normal_cali - Polygon],Gyro X,Gyro Y,Gyro Z,Accelerometer X,Accelerometer Y,Accelerometer Z,Relative time
887949074,1442852217,Accelerometer,ETCheck,06/02/2024,05/22/2023,05/22/2023,15:47:49.985,07:47:49.985,1309483,Tobii I-VT (Attention),,,,,,,,,,,,,,,,,,,,,,,,,1920.0,1080.0,Fixation,260.0,1787.0,1268.0,476.0,,,,,,,,-0.7061,-9.9985,-1.8028,738.412566063492
887950796,1442853939,Gyroscope,ETCheck,06/02/2024,05/22/2023,05/22/2023,15:47:49.985,07:47:49.985,1309483,Tobii I-VT (Attention),,,,,,,,,,,,,,,,,,,,,,,,,1920.0,1080.0,Fixation,260.0,1787.0,1268.0,476.0,,,,,-2.73,-22.5456,1.2845,,,,738.414288063492
887958667,1442861810,Accelerometer,ETCheck,06/02/2024,05/22/2023,05/22/2023,15:47:49.985,07:47:49.985,1309483,Tobii I-VT (Attention),,,,,,,,,,,,,,,,,,,,,,,,,1920.0,1080.0,Saccade,20.0,2634.0,,,,,,,,,,-0.7061,-9.9781,-1.9187,738.422159063492
887961488,1442864631,Gyroscope,ETCheck,06/02/2024,05/22/2023,05/22/2023,15:47:49.985,07:47:49.985,1309483,Tobii I-VT (Attention),,,,,,,,,,,,,,,,,,,,,,,,,1920.0,1080.0,Saccade,20.0,2634.0,,,,,,,-3.99,-19.6381,1.7261,,,,738.4249800634921
887964660,1442867803,Eye Tracker,ETCheck,06/02/2024,05/22/2023,05/22/2023,15:47:49.985,07:47:49.985,1309483,Tobii I-VT (Attention),,,1298.0,432.0,-731.6782,346.8022,2590.7266,-0.27783,0.13635,0.9509,,,,32.25,-28.1,-23.89,,,,2.309,,2.376,Valid,Invalid,1920.0,1080.0,Saccade,20.0,2634.0,,,,,,,,,,,,,738.428152063492
887968260,1442871403,Accelerometer,ETCheck,06/02/2024,05/22/2023,05/22/2023,15:47:49.985,07:47:49.985,1309483,Tobii I-VT (Attention),,,,,,,,,,,,,,,,,,,,,,,,,1920.0,1080.0,Saccade,20.0,2634.0,,,,,,,,,,-0.6669,-10.0167,-1.9255,738.431752063492
887972180,1442875323,Gyroscope,ETCheck,06/02/2024,05/22/2023,05/22/2023,15:47:49.985,07:47:49.985,1309483,Tobii I-VT (Attention),,,,,,,,,,,,,,,,,,,,,,,,,1920.0,1080.0,Saccade,20.0,2634.0,,,,,,,-5.25,-17.1321,2.0258,,,,738.435672063492
887977853,1442880996,Accelerometer,ETCheck,06/02/2024,05/22/2023,05/22/2023,15:47:49.985,07:47:49.985,1309483,Tobii I-VT (Attention),,,,,,,,,,,,,,,,,,,,,,,,,1920.0,1080.0,Fixation,160.0,1788.0,1352.0,426.0,,,,,,,,-0.6276,-10.0417,-2.0096,738.441345063492
887982872,1442886015,Gyroscope,ETCheck,06/02/2024,05/22/2023,05/22/2023,15:47:49.985,07:47:49.985,1309483,Tobii I-VT (Attention),,,,,,,,,,,,,,,,,,,,,,,,,1920.0,1080.0,Fixation,160.0,1788.0,1352.0,426.0,,,,,-6.16,-14.995,2.4026,,,,738.4463640634921
887984671,1442887814,Eye Tracker,ETCheck,06/02/2024,05/22/2023,05/22/2023,15:47:49.985,07:47:49.985,1309483,Tobii I-VT (Attention),,,1341.0,407.0,-815.6099,399.6673,2556.6677,-0.30834,0.15561,0.93846,,,,32.2,-28.19,-23.74,,,,2.331,,2.365,Valid,Invalid,1920.0,1080.0,Fixation,160.0,1788.0,1352.0,426.0,,,,,,,,,,,738.4481630634921
887987446,1442890589,Accelerometer,ETCheck,06/02/2024,05/22/2023,05/22/2023,15:47:49.985,07:47:49.985,1309483,Tobii I-VT (Attention),,,,,,,,,,,,,,,,,,,,,,,,,1920.0,1080.0,Fixation,160.0,1788.0,1352.0,426.0,,,,,,,,-0.5884,-10.0667,-2.0937,738.450938063492
887993564,1442896707,Gyroscope,ETCheck,06/02/2024,05/22/2023,05/22/2023,15:47:49.985,07:47:49.985,1309483,Tobii I-VT (Attention),,,,,,,,,,,,,,,,,,,,,,,,,1920.0,1080.0,Fixation,160.0,1788.0,1352.0,426.0,,,,,-7.35,-12.9877,3.112,,,,738.457056063492
887997039,1442900182,Accelerometer,ETCheck,06/02/2024,05/22/2023,05/22/2023,15:47:49.985,07:47:49.985,1309483,Tobii I-VT (Attention),,,,,,,,,,,,,,,,,,,,,,,,,1920.0,1080.0,Fixation,160.0,1788.0,1352.0,426.0,,,,,,,,-0.5492,-10.0417,-2.0096,738.460531063492
888004256,1442907399,Gyroscope,ETCheck,06/02/2024,05/22/2023,05/22/2023,15:47:49.985,07:47:49.985,1309483,Tobii I-VT (Attention),,,,,,,,,,,,,,,,,,,,,,,,,1920.0,1080.0,Fixation,160.0,1788.0,1352.0,426.0,,,,,-8.26,-11.4062,3.8173,,,,738.4677480634921
888004655,1442907798,Eye Tracker,ETCheck,06/02/2024,05/22/2023,05/22/2023,15:47:49.985,07:47:49.985,1309483,Tobii I-VT (Attention),,,1342.0,453.0,-233.5614,84.3156,730.0649,-0.31574,0.15914,0.93541,-0.26397,0.12219,0.95676,32.15,-28.19,-23.74,-37.49,-27.4,-21.21,2.351,2.367,2.359,Valid,Valid,1920.0,1080.0,Fixation,160.0,1788.0,1352.0,426.0,,,,,,,,,,,738.468147063492
888006632,1442909775,Accelerometer,ETCheck,06/02/2024,05/22/2023,05/22/2023,15:47:49.985,07:47:49.985,1309483,Tobii I-VT (Attention),,,,,,,,,,,,,,,,,,,,,,,,,1920.0,1080.0,Fixation,160.0,1788.0,1352.0,426.0,,,,,,,,-0.5492,-9.9645,-1.996,738.470124063492
888014948,1442918091,Gyroscope,ETCheck,06/02/2024,05/22/2023,05/22/2023,15:47:49.985,07:47:49.985,1309483,Tobii I-VT (Attention),,,,,,,,,,,,,,,,,,,,,,,,,1920.0,1080.0,Fixation,160.0,1788.0,1352.0,426.0,,,,,-8.89,-10.2707,4.2308,,,,738.478440063492
888016225,1442919368,Accelerometer,ETCheck,06/02/2024,05/22/2023,05/22/2023,15:47:49.985,07:47:49.985,1309483,Tobii I-VT (Attention),,,,,,,,,,,,,,,,,,,,,,,,,1920.0,1080.0,Fixation,160.0,1788.0,1352.0,426.0,,,,,,,,-0.5884,-9.8758,-1.821,738.479717063492
