condition,start_time,finish_time,start_timestamp,finish_timestamp,duration
Baseline,2023-06-06 15:39:38.226000,2023-06-06 15:40:38.226000,1.686037178e+18,1.686037238e+18,60.0
EAS,2023-06-06 15:43:05.201466,2023-06-06 15:43:22.166603,1.6860373852014664e+18,1.686037402166603e+18,16.965137
EMS,2023-06-06 15:43:56.186549,2023-06-06 15:44:11.222622,1.6860374361865492e+18,1.6860374512226217e+18,15.036073
UT,2023-06-06 15:45:18.285618,2023-06-06 15:46:00.353290,1.6860375182856182e+18,1.68603756035329e+18,42.067672
SD,2023-06-06 15:46:00.353290,2023-06-06 15:46:42.362456,1.68603756035329e+18,1.6860376023624563e+18,42.009166
RT-P1,2023-06-06 15:46:42.362456,2023-06-06 15:47:04.378455,1.6860376023624563e+18,1.6860376243784548e+18,22.015999
RT-P2,2023-06-06 15:47:35.430067,2023-06-06 15:48:11.492800,1.6860376554300667e+18,1.6860376914927995e+18,36.062733
LT-1,2023-06-06 15:48:50.482510,2023-06-06 15:49:03.400831,1.6860377304825096e+18,1.6860377434008312e+18,12.918321
LT-2,2023-06-06 15:49:20.558326,2023-06-06 15:49:46.574353,1.6860377605583258e+18,1.6860377865743534e+18,26.016027
RT-1,2023-06-06 15:50:34.630424,2023-06-06 15:50:50.640359,1.6860378346304243e+18,1.6860378506403594e+18,16.009935
RT-2,2023-06-06 15:51:05.666392,2023-06-06 15:51:19.682355,1.6860378656663923e+18,1.6860378796823547e+18,14.015963
RT-3,2023-06-06 15:51:54.745912,2023-06-06 15:52:07.755954,1.6860379147459123e+18,1.6860379277559542e+18,13.010042
RT-4,2023-06-06 15:52:23.773925,2023-06-06 15:52:36.811961,1.6860379437739254e+18,1.6860379568119608e+18,13.038036
LT-3,2023-06-06 15:53:25.819957,2023-06-06 15:53:44.849983,1.6860380058199567e+18,1.686038024849983e+18,19.030026
