condition,start_time,finish_time,start_timestamp,finish_timestamp,duration
Baseline,2023-05-06 15:36:41.682000,2023-05-06 15:37:41.682000,1.683358601e+18,1.683358661e+18,60.0
EAS,2023-05-06 15:39:37.685258,2023-05-06 15:39:57.714451,1.6833587776852585e+18,1.6833587977144512e+18,20.029193
EMS,2023-05-06 15:40:33.791825,2023-05-06 15:40:44.790035,1.6833588337918254e+18,1.6833588447900357e+18,10.99821
UT,2023-05-06 15:41:08.815145,2023-05-06 15:41:34.833096,1.683358868815145e+18,1.6833588948330957e+18,26.017951
SD,2023-05-06 15:41:34.833096,2023-05-06 15:42:11.865092,1.6833588948330957e+18,1.6833589318650918e+18,37.031996
RT-P1,2023-05-06 15:42:11.865092,2023-05-06 15:42:24.881102,1.6833589318650918e+18,1.6833589448811023e+18,13.01601
RT-P2,2023-05-06 15:43:16.935251,2023-05-06 15:43:34.959177,1.6833589969352517e+18,1.6833590149591777e+18,18.023926
LT-1,2023-05-06 15:44:14.003092,2023-05-06 15:44:27.018463,1.6833590540030917e+18,1.6833590670184635e+18,13.015371
LT-2,2023-05-06 15:44:39.034371,2023-05-06 15:44:47.038392,1.6833590790343706e+18,1.683359087038392e+18,8.004021
RT-1,2023-05-06 15:45:23.086480,2023-05-06 15:45:35.101422,1.68335912308648e+18,1.6833591351014216e+18,12.014942
RT-2,2023-05-06 15:45:46.111492,2023-05-06 15:45:54.121445,1.6833591461114924e+18,1.683359154121445e+18,8.009953
RT-3,2023-05-06 15:46:22.158653,2023-05-06 15:46:32.164541,1.683359182158653e+18,1.6833591921645414e+18,10.005888
RT-4,2023-05-06 15:46:53.202772,2023-05-06 15:47:07.222760,1.6833592132027717e+18,1.6833592272227602e+18,14.019988
LT-3,2023-05-06 15:47:45.248666,2023-05-06 15:48:03.275629,1.683359265248666e+18,1.683359283275629e+18,18.026963
