ID,dissociative driving style,anxious driving style,risky driving style,angry driving style,high-velocity driving style,distress-reduction driving style,patient driving style,careful driving style,
N01,Novice,8,11,11,10,27,13,15,14
E01,Expert,11,9,6,8,23,18,19,19
N02,Novice,13,14,7,5,21,13,20,20
N03,Novice,9,9,17,17,31,17,15,15
E02,Expert,13,13,6,9,33,15,20,15
E03,Expert,8,8,8,14,26,19,20,18
E04,Expert,8,12,19,13,26,9,15,15
E05,Expert,16,11,15,15,33,13,15,14
E01,Expert,8,11,6,5,27,13,17,16
E07,Expert,12,15,12,5,19,9,19,16
E08,Expert,9,10,8,20,25,11,18,20
E09,Expert,9,10,8,20,30,11,18,20
E10,Expert,15,14,12,10,28,10,15,12
N04,Novice,10,20,12,10,35,16,15,13
N05,Novice,8,11,22,20,43,19,15,14
N06,Novice,11,11,26,14,44,20,20,18
N07,Novice,8,7,26,13,45,20,20,16
N08,Novice,12,11,21,11,34,16,11,16
N09,Novice,12,13,7,11,37,14,19,16
N10,Novice,15,16,21,11,34,11,15,17
