condition,start_time,finish_time,start_timestamp,finish_timestamp,duration,relative_time
Baseline,2023-05-07 16:08:40.144000,2023-05-07 16:09:40.144000,1.68344692e+18,1.68344698e+18,60.0,15.0
EAS,2023-05-07 16:12:22.037006,2023-05-07 16:12:35.087268,1.6834471420370063e+18,1.6834471550872684e+18,13.050262,236.893006
EMS,2023-05-07 16:12:59.085252,2023-05-07 16:13:08.091220,1.683447179085252e+18,1.6834471880912197e+18,9.005968,273.941252
UT,2023-05-07 16:13:28.115706,2023-05-07 16:13:47.151720,1.683447208115706e+18,1.68344722715172e+18,19.036014,302.971706
SD,2023-05-07 16:13:47.151720,2023-05-07 16:14:11.173639,1.68344722715172e+18,1.683447251173639e+18,24.021919,322.00772
RT-P1,2023-05-07 16:14:11.173639,2023-05-07 16:14:31.207109,1.683447251173639e+18,1.6834472712071089e+18,20.03347,346.029639
RT-P2,2023-05-07 16:15:02.244321,2023-05-07 16:15:20.264269,1.6834473022443205e+18,1.6834473202642683e+18,18.019948,397.100321
LT-1,2023-05-07 16:15:55.299738,2023-05-07 16:16:07.315715,1.683447355299738e+18,1.6834473673157146e+18,12.015977,450.155738
LT-2,2023-05-07 16:16:17.329694,2023-05-07 16:16:26.349750,1.683447377329694e+18,1.6834473863497498e+18,9.020056,472.185694
RT-1,2023-05-07 16:17:02.381730,2023-05-07 16:17:14.397716,1.68344742238173e+18,1.6834474343977157e+18,12.015986,517.23773
RT-2,2023-05-07 16:17:25.373604,2023-05-07 16:17:36.418785,1.683447445373604e+18,1.683447456418785e+18,11.045181,540.229604
RT-3,2023-05-07 16:18:07.409626,2023-05-07 16:18:22.481333,1.6834474874096264e+18,1.6834475024813335e+18,15.071707,582.265626
RT-4,2023-05-07 16:18:39.487315,2023-05-07 16:18:51.492409,1.6834475194873147e+18,1.683447531492409e+18,12.005094,614.343315
LT-3,2023-05-07 16:19:24.546553,2023-05-07 16:19:38.558548,1.683447564546553e+18,1.683447578558548e+18,14.011995,659.402553
