condition,start_time,finish_time,start_timestamp,finish_timestamp,duration
Baseline,2023-05-26 15:59:25.545000,2023-05-26 16:00:25.545000,1.685087965e+18,1.685088025e+18,60.0
EAS,2023-05-26 16:04:12.464911,2023-05-26 16:04:35.503213,1.685088252464911e+18,1.685088275503213e+18,23.038302
EMS,2023-05-26 16:05:20.591951,2023-05-26 16:05:34.132537,1.6850883205919514e+18,1.685088334132537e+18,13.540586
UT,2023-05-26 16:05:59.600055,2023-05-26 16:06:33.620987,1.6850883596000548e+18,1.6850883936209866e+18,34.020932
SD,2023-05-26 16:06:33.620987,2023-05-26 16:07:04.653157,1.6850883936209866e+18,1.6850884246531566e+18,31.03217
RT-P1,2023-05-26 16:07:04.653157,2023-05-26 16:07:18.683565,1.6850884246531566e+18,1.6850884386835643e+18,14.030408
RT-P2,2023-05-26 16:07:45.701096,2023-05-26 16:07:58.817140,1.6850884657010957e+18,1.6850884788171397e+18,13.116044
LT-1,2023-05-26 16:08:41.765769,2023-05-26 16:08:55.777171,1.6850885217657687e+18,1.685088535777171e+18,14.011402
LT-2,2023-05-26 16:09:07.792054,2023-05-26 16:09:19.806043,1.6850885477920538e+18,1.6850885598060426e+18,12.013989
RT-1,2023-05-26 16:09:57.847971,2023-05-26 16:10:13.872445,1.6850885978479708e+18,1.685088613872445e+18,16.024474
RT-2,2023-05-26 16:10:27.881704,2023-05-26 16:10:49.923892,1.685088627881704e+18,1.6850886499238917e+18,22.042188
RT-3,2023-05-26 16:11:23.962906,2023-05-26 16:11:35.978268,1.6850886839629056e+18,1.6850886959782682e+18,12.015362
RT-4,2023-05-26 16:11:50.997133,2023-05-26 16:12:03.992125,1.6850887109971336e+18,1.6850887239921252e+18,12.994992
LT-3,2023-05-26 16:12:47.048037,2023-05-26 16:13:04.068685,1.6850887670480369e+18,1.685088784068685e+18,17.020648
