condition,start_time,finish_time,start_timestamp,finish_timestamp,duration
Baseline,2023-06-13 15:36:55.542000,2023-06-13 15:37:55.542000,1.686641815e+18,1.686641875e+18,60.0
EAS,2023-06-13 15:39:57.858028,2023-06-13 15:40:23.848463,1.686641997858028e+18,1.686642023848463e+18,25.990435
EMS,2023-06-13 15:41:21.936169,2023-06-13 15:41:38.956835,1.6866420819361692e+18,1.6866420989568346e+18,17.020666
UT,2023-06-13 15:42:03.947033,2023-06-13 15:42:45.995836,1.686642123947033e+18,1.6866421659958364e+18,42.048803
SD,2023-06-13 15:42:45.995836,2023-06-13 15:43:13.019785,1.6866421659958364e+18,1.6866421930197847e+18,27.023949
RT-P1,2023-06-13 15:43:13.019785,2023-06-13 15:43:27.055271,1.6866421930197847e+18,1.6866422070552714e+18,14.035486
RT-P2,2023-06-13 15:43:52.074482,2023-06-13 15:44:06.751544,1.686642232074482e+18,1.6866422467515446e+18,14.677062
LT-1,2023-06-13 15:44:54.163044,2023-06-13 15:45:10.175087,1.686642294163044e+18,1.6866423101750874e+18,16.012043
LT-2,2023-06-13 15:45:27.201180,2023-06-13 15:45:41.215077,1.6866423272011796e+18,1.686642341215077e+18,14.013897
RT-1,2023-06-13 15:46:24.263922,2023-06-13 15:46:40.267947,1.6866423842639222e+18,1.686642400267947e+18,16.004025
RT-2,2023-06-13 15:46:53.293869,2023-06-13 15:47:01.291869,1.6866424132938696e+18,1.6866424212918692e+18,7.998
RT-3,2023-06-13 15:47:32.331908,2023-06-13 15:47:42.348108,1.6866424523319084e+18,1.6866424623481078e+18,10.0162
RT-4,2023-06-13 15:47:57.366047,2023-06-13 15:48:13.564562,1.6866424773660472e+18,1.6866424935645617e+18,16.198515
LT-3,2023-06-13 15:48:55.418554,2023-06-13 15:49:11.444500,1.6866425354185536e+18,1.6866425514444997e+18,16.025946
