condition,start_time,finish_time,start_timestamp,finish_timestamp,duration
Baseline,2023-06-08 15:33:26.987000,2023-06-08 15:34:26.987000,1.686209606e+18,1.686209666e+18,60.0
EAS,2023-06-08 15:36:25.096575,2023-06-08 15:36:39.115330,1.6862097850965745e+18,1.6862097991153303e+18,14.018755
EMS,2023-06-08 15:37:05.146984,2023-06-08 15:37:16.151289,1.6862098251469844e+18,1.686209836151289e+18,11.004305
UT,2023-06-08 15:38:11.211057,2023-06-08 15:38:43.258281,1.6862098912110574e+18,1.6862099232582812e+18,32.047224
SD,2023-06-08 15:38:43.258281,2023-06-08 15:39:10.286779,1.6862099232582812e+18,1.6862099502867794e+18,27.028498
RT-P1,2023-06-08 15:39:10.286779,2023-06-08 15:39:22.298287,1.6862099502867794e+18,1.6862099622982866e+18,12.011508
RT-P2,2023-06-08 15:39:44.337492,2023-06-08 15:39:57.359175,1.6862099843374917e+18,1.6862099973591752e+18,13.021683
LT-1,2023-06-08 15:40:28.396843,2023-06-08 15:40:40.424342,1.686210028396843e+18,1.686210040424342e+18,12.027499
LT-2,2023-06-08 15:40:51.392335,2023-06-08 15:41:02.416350,1.6862100513923348e+18,1.68621006241635e+18,11.024015
RT-1,2023-06-08 15:41:41.456582,2023-06-08 15:41:58.471896,1.6862101014565824e+18,1.6862101184718963e+18,17.015314
RT-2,2023-06-08 15:42:08.477401,2023-06-08 15:42:26.512004,1.6862101284774016e+18,1.6862101465120036e+18,18.034603
RT-3,2023-06-08 15:42:50.530144,2023-06-08 15:43:05.531630,1.6862101705301445e+18,1.6862101855316296e+18,15.001486
RT-4,2023-06-08 15:43:21.562343,2023-06-08 15:43:36.606920,1.6862102015623432e+18,1.6862102166069197e+18,15.044577
LT-3,2023-06-08 15:44:12.623264,2023-06-08 15:44:30.654571,1.686210252623264e+18,1.6862102706545705e+18,18.031307
