Recording timestamp,Computer timestamp,Sensor,Project name,Export date,Recording date,Recording date UTC,Recording start time,Recording start time UTC,Recording duration,Recording Fixation filter name,Event,Event value,Gaze point X,Gaze point Y,Gaze point 3D X,Gaze point 3D Y,Gaze point 3D Z,Gaze direction left X,Gaze direction left Y,Gaze direction left Z,Gaze direction right X,Gaze direction right Y,Gaze direction right Z,Pupil position left X,Pupil position left Y,Pupil position left Z,Pupil position right X,Pupil position right Y,Pupil position right Z,Pupil diameter left,Pupil diameter right,Pupil diameter filtered,Validity left,Validity right,Recording media width,Recording media height,Eye movement type,Gaze event duration,Eye movement type index,Fixation point X,Fixation point Y,Environment,Vehicle,Ungrouped,AOI hit [P07_normal_cali - Polygon],Gyro X,Gyro Y,Gyro Z,Accelerometer X,Accelerometer Y,Accelerometer Z,Relative time
29605425,510950017,Gyroscope,ETCheck,06/02/2024,05/23/2023,05/23/2023,15:22:27.241,07:22:27.241,1079142,Tobii I-VT (Attention),,,,,,,,,,,,,,,,,,,,,,,,,1920.0,1080.0,Fixation,160.0,67.0,845.0,316.0,,,,,2.38,3.5601,-1.6468,,,,15.000073526077095
29613662,510958254,Accelerometer,ETCheck,06/02/2024,05/23/2023,05/23/2023,15:22:27.241,07:22:27.241,1079142,Tobii I-VT (Attention),,,,,,,,,,,,,,,,,,,,,,,,,1920.0,1080.0,Fixation,160.0,67.0,845.0,316.0,,,,,,,,-0.5099,-9.9416,-0.9962,15.008310526077098
29615851,510960443,Gyroscope,ETCheck,06/02/2024,05/23/2023,05/23/2023,15:22:27.241,07:22:27.241,1079142,Tobii I-VT (Attention),,,,,,,,,,,,,,,,,,,,,,,,,1920.0,1080.0,Fixation,160.0,67.0,845.0,316.0,,,,,3.57,4.002,-2.1375,,,,15.010499526077096
29623046,510967638,Eye Tracker,ETCheck,06/02/2024,05/23/2023,05/23/2023,15:22:27.241,07:22:27.241,1079142,Tobii I-VT (Attention),,,842.0,312.0,113.735,230.098,968.5248,0.11113,0.28228,0.95288,0.10831,0.21538,0.97051,35.19,-27.39,-25.33,-34.33,-26.33,-23.87,2.835,2.845,2.84,Valid,Valid,1920.0,1080.0,Fixation,160.0,67.0,845.0,316.0,,,,,,,,,,,15.017694526077095
29623248,510967840,Accelerometer,ETCheck,06/02/2024,05/23/2023,05/23/2023,15:22:27.241,07:22:27.241,1079142,Tobii I-VT (Attention),,,,,,,,,,,,,,,,,,,,,,,,,1920.0,1080.0,Fixation,160.0,67.0,845.0,316.0,,,,,,,,-0.5492,-10.0393,-0.8939,15.017896526077095
29626277,510970869,Gyroscope,ETCheck,06/02/2024,05/23/2023,05/23/2023,15:22:27.241,07:22:27.241,1079142,Tobii I-VT (Attention),,,,,,,,,,,,,,,,,,,,,,,,,1920.0,1080.0,Fixation,160.0,67.0,845.0,316.0,,,,,3.78,4.7278,-2.2228,,,,15.020925526077098
29632834,510977426,Accelerometer,ETCheck,06/02/2024,05/23/2023,05/23/2023,15:22:27.241,07:22:27.241,1079142,Tobii I-VT (Attention),,,,,,,,,,,,,,,,,,,,,,,,,1920.0,1080.0,Fixation,160.0,67.0,845.0,316.0,,,,,,,,-0.5492,-10.0779,-0.9007,15.027482526077096
29636703,510981295,Gyroscope,ETCheck,06/02/2024,05/23/2023,05/23/2023,15:22:27.241,07:22:27.241,1079142,Tobii I-VT (Attention),,,,,,,,,,,,,,,,,,,,,,,,,1920.0,1080.0,Fixation,160.0,67.0,845.0,316.0,,,,,4.27,5.5023,-2.5838,,,,15.031351526077096
29642420,510987012,Accelerometer,ETCheck,06/02/2024,05/23/2023,05/23/2023,15:22:27.241,07:22:27.241,1079142,Tobii I-VT (Attention),,,,,,,,,,,,,,,,,,,,,,,,,1920.0,1080.0,Fixation,160.0,67.0,845.0,316.0,,,,,,,,-0.5492,-10.0847,-0.8621,15.037068526077098
29643053,510987645,Eye Tracker,ETCheck,06/02/2024,05/23/2023,05/23/2023,15:22:27.241,07:22:27.241,1079142,Tobii I-VT (Attention),,,843.0,311.0,113.0711,231.3656,968.2736,0.11121,0.28288,0.95269,0.10696,0.21726,0.97024,35.19,-27.4,-25.32,-34.33,-26.34,-23.85,2.837,2.85,2.844,Valid,Valid,1920.0,1080.0,Fixation,160.0,67.0,845.0,316.0,,,,,,,,,,,15.037701526077097
