Recording timestamp,Computer timestamp,Sensor,Project name,Export date,Recording date,Recording date UTC,Recording start time,Recording start time UTC,Recording duration,Recording Fixation filter name,Event,Event value,Gaze point X,Gaze point Y,Gaze point 3D X,Gaze point 3D Y,Gaze point 3D Z,Gaze direction left X,Gaze direction left Y,Gaze direction left Z,Gaze direction right X,Gaze direction right Y,Gaze direction right Z,Pupil position left X,Pupil position left Y,Pupil position left Z,Pupil position right X,Pupil position right Y,Pupil position right Z,Pupil diameter left,Pupil diameter right,Pupil diameter filtered,Validity left,Validity right,Recording media width,Recording media height,Eye movement type,Gaze event duration,Eye movement type index,Fixation point X,Fixation point Y,Environment,Vehicle,Ungrouped,AOI hit [P07_normal_cali - Polygon],Gyro X,Gyro Y,Gyro Z,Accelerometer X,Accelerometer Y,Accelerometer Z,Relative time
996078889,1550982032,Gyroscope,ETCheck,06/02/2024,05/22/2023,05/22/2023,15:47:49.985,07:47:49.985,1309483,Tobii I-VT (Attention),,,,,,,,,,,,,,,,,,,,,,,,,1920.0,1080.0,Unclassified,20.0,966.0,,,,,,,3.29,-120.1607,-23.1778,,,,846.542381063492
996080742,1550983885,Eye Tracker,ETCheck,06/02/2024,05/22/2023,05/22/2023,15:47:49.985,07:47:49.985,1309483,Tobii I-VT (Attention),,,1727.0,406.0,-1531.7996,372.8579,2337.105,-0.54652,0.1402,0.82563,,,,31.02,-28.05,-23.87,,,,2.784,,2.765,Valid,Invalid,1920.0,1080.0,Unclassified,20.0,966.0,,,,,,,,,,,,,846.544234063492
996082170,1550985313,Accelerometer,ETCheck,06/02/2024,05/22/2023,05/22/2023,15:47:49.985,07:47:49.985,1309483,Tobii I-VT (Attention),,,,,,,,,,,,,,,,,,,,,,,,,1920.0,1080.0,Unclassified,20.0,966.0,,,,,,,,,,-1.3337,-9.9257,-1.312,846.545662063492
996089348,1550992491,Gyroscope,ETCheck,06/02/2024,05/22/2023,05/22/2023,15:47:49.985,07:47:49.985,1309483,Tobii I-VT (Attention),,,,,,,,,,,,,,,,,,,,,,,,,1920.0,1080.0,Unclassified,20.0,966.0,,,,,,,3.57,-112.5859,-22.1976,,,,846.552840063492
996091730,1550994873,Accelerometer,ETCheck,06/02/2024,05/22/2023,05/22/2023,15:47:49.985,07:47:49.985,1309483,Tobii I-VT (Attention),,,,,,,,,,,,,,,,,,,,,,,,,1920.0,1080.0,Saccade,20.0,3028.0,,,,,,,,,,-1.4122,-9.9508,-1.3961,846.555222063492
996099807,1551002950,Gyroscope,ETCheck,06/02/2024,05/22/2023,05/22/2023,15:47:49.985,07:47:49.985,1309483,Tobii I-VT (Attention),,,,,,,,,,,,,,,,,,,,,,,,,1920.0,1080.0,Saccade,20.0,3028.0,,,,,,,3.01,-105.5583,-20.5319,,,,846.5632990634921
996100730,1551003873,Eye Tracker,ETCheck,06/02/2024,05/22/2023,05/22/2023,15:47:49.985,07:47:49.985,1309483,Tobii I-VT (Attention),,,1646.0,430.0,-1411.7087,332.2646,2418.6008,-0.50454,0.12595,0.85415,,,,31.08,-27.91,-23.93,,,,2.769,,2.765,Valid,Invalid,1920.0,1080.0,Saccade,20.0,3028.0,,,,,,,,,,,,,846.564222063492
996101290,1551004433,Accelerometer,ETCheck,06/02/2024,05/22/2023,05/22/2023,15:47:49.985,07:47:49.985,1309483,Tobii I-VT (Attention),,,,,,,,,,,,,,,,,,,,,,,,,1920.0,1080.0,Saccade,20.0,3028.0,,,,,,,,,,-1.3729,-9.9894,-1.4029,846.564782063492
996110266,1551013409,Gyroscope,ETCheck,06/02/2024,05/22/2023,05/22/2023,15:47:49.985,07:47:49.985,1309483,Tobii I-VT (Attention),,,,,,,,,,,,,,,,,,,,,,,,,1920.0,1080.0,Saccade,20.0,3028.0,,,,,,,2.8,-98.5916,-18.5216,,,,846.573758063492
996110850,1551013993,Accelerometer,ETCheck,06/02/2024,05/22/2023,05/22/2023,15:47:49.985,07:47:49.985,1309483,Tobii I-VT (Attention),,,,,,,,,,,,,,,,,,,,,,,,,1920.0,1080.0,Fixation,140.0,2044.0,1546.0,363.0,,,,,,,,-1.2553,-10.028,-1.4097,846.574342063492
