Recording timestamp,Computer timestamp,Sensor,Project name,Export date,Recording date,Recording date UTC,Recording start time,Recording start time UTC,Recording duration,Recording Fixation filter name,Event,Event value,Gaze point X,Gaze point Y,Gaze point 3D X,Gaze point 3D Y,Gaze point 3D Z,Gaze direction left X,Gaze direction left Y,Gaze direction left Z,Gaze direction right X,Gaze direction right Y,Gaze direction right Z,Pupil position left X,Pupil position left Y,Pupil position left Z,Pupil position right X,Pupil position right Y,Pupil position right Z,Pupil diameter left,Pupil diameter right,Pupil diameter filtered,Validity left,Validity right,Recording media width,Recording media height,Eye movement type,Gaze event duration,Eye movement type index,Fixation point X,Fixation point Y,Environment,Vehicle,Ungrouped,AOI hit [P07_normal_cali - Polygon],Gyro X,Gyro Y,Gyro Z,Accelerometer X,Accelerometer Y,Accelerometer Z,Relative time
876800031,1278126054,Gyroscope,ETCheck,06/02/2024,06/07/2023,06/07/2023,15:20:18.981,07:20:18.981,1083789,Tobii I-VT (Attention),,,,,,,,,,,,,,,,,,,,,,,,,1920.0,1080.0,Fixation,460.0,1795.0,1048.0,495.0,,,,,-0.56,8.2675,-4.1575,,,,632.6189879160997
876801225,1278127248,Accelerometer,ETCheck,06/02/2024,06/07/2023,06/07/2023,15:20:18.981,07:20:18.981,1083789,Tobii I-VT (Attention),,,,,,,,,,,,,,,,,,,,,,,,,1920.0,1080.0,Fixation,460.0,1795.0,1048.0,495.0,,,,,,,,-0.1177,-9.9075,-0.5122,632.6201819160998
876810566,1278136589,Gyroscope,ETCheck,06/02/2024,06/07/2023,06/07/2023,15:20:18.981,07:20:18.981,1083789,Tobii I-VT (Attention),,,,,,,,,,,,,,,,,,,,,,,,,1920.0,1080.0,EyesNotFound,20.0,1722.0,,,,,,,-0.84,7.5822,-4.7048,,,,632.6295229160997
876810871,1278136894,Accelerometer,ETCheck,06/02/2024,06/07/2023,06/07/2023,15:20:18.981,07:20:18.981,1083789,Tobii I-VT (Attention),,,,,,,,,,,,,,,,,,,,,,,,,1920.0,1080.0,EyesNotFound,20.0,1722.0,,,,,,,,,,-0.0785,-9.8666,-0.744,632.6298279160998
876814682,1278140705,Eye Tracker,ETCheck,06/02/2024,06/07/2023,06/07/2023,15:20:18.981,07:20:18.981,1083789,Tobii I-VT (Attention),,,,,,,,,,,,,,,,,,,,,,2.456,Invalid,Invalid,1920.0,1080.0,EyesNotFound,20.0,1722.0,,,,,,,,,,,,,632.6336389160997
876820517,1278146540,Accelerometer,ETCheck,06/02/2024,06/07/2023,06/07/2023,15:20:18.981,07:20:18.981,1083789,Tobii I-VT (Attention),,,,,,,,,,,,,,,,,,,,,,,,,1920.0,1080.0,EyesNotFound,20.0,1722.0,,,,,,,,,,-0.0785,-9.887,-0.6281,632.6394739160997
876821101,1278147124,Gyroscope,ETCheck,06/02/2024,06/07/2023,06/07/2023,15:20:18.981,07:20:18.981,1083789,Tobii I-VT (Attention),,,,,,,,,,,,,,,,,,,,,,,,,1920.0,1080.0,EyesNotFound,20.0,1722.0,,,,,,,-1.4,7.0672,-5.0089,,,,632.6400579160997
876830163,1278156186,Accelerometer,ETCheck,06/02/2024,06/07/2023,06/07/2023,15:20:18.981,07:20:18.981,1083789,Tobii I-VT (Attention),,,,,,,,,,,,,,,,,,,,,,,,,1920.0,1080.0,Fixation,660.0,1796.0,1072.0,511.0,,,,,,,,-0.0392,-9.8416,-0.6599,632.6491199160997
876831636,1278157659,Gyroscope,ETCheck,06/02/2024,06/07/2023,06/07/2023,15:20:18.981,07:20:18.981,1083789,Tobii I-VT (Attention),,,,,,,,,,,,,,,,,,,,,,,,,1920.0,1080.0,Fixation,660.0,1796.0,1072.0,511.0,,,,,-2.03,6.321,-5.2115,,,,632.6505929160998
876834690,1278160713,Eye Tracker,ETCheck,06/02/2024,06/07/2023,06/07/2023,15:20:18.981,07:20:18.981,1083789,Tobii I-VT (Attention),,,1033.0,496.0,-401.4018,589.4272,7717.2344,-0.05555,0.07884,0.99534,,,,30.65,-23.77,-24.36,,,,2.45,,2.45,Valid,Invalid,1920.0,1080.0,Fixation,660.0,1796.0,1072.0,511.0,,,,,,,,,,,632.6536469160998
876839809,1278165832,Accelerometer,ETCheck,06/02/2024,06/07/2023,06/07/2023,15:20:18.981,07:20:18.981,1083789,Tobii I-VT (Attention),,,,,,,,,,,,,,,,,,,,,,,,,1920.0,1080.0,Fixation,660.0,1796.0,1072.0,511.0,,,,,,,,-0.0392,-9.8984,-0.7894,632.6587659160997
876842171,1278168194,Gyroscope,ETCheck,06/02/2024,06/07/2023,06/07/2023,15:20:18.981,07:20:18.981,1083789,Tobii I-VT (Attention),,,,,,,,,,,,,,,,,,,,,,,,,1920.0,1080.0,Fixation,660.0,1796.0,1072.0,511.0,,,,,-2.66,5.1005,-5.1424,,,,632.6611279160998
876849455,1278175478,Accelerometer,ETCheck,06/02/2024,06/07/2023,06/07/2023,15:20:18.981,07:20:18.981,1083789,Tobii I-VT (Attention),,,,,,,,,,,,,,,,,,,,,,,,,1920.0,1080.0,Fixation,660.0,1796.0,1072.0,511.0,,,,,,,,-0.0392,-9.9757,-0.803,632.6684119160998
876852706,1278178729,Gyroscope,ETCheck,06/02/2024,06/07/2023,06/07/2023,15:20:18.981,07:20:18.981,1083789,Tobii I-VT (Attention),,,,,,,,,,,,,,,,,,,,,,,,,1920.0,1080.0,Fixation,660.0,1796.0,1072.0,511.0,,,,,-2.73,4.3989,-5.1951,,,,632.6716629160998
876854677,1278180700,Eye Tracker,ETCheck,06/02/2024,06/07/2023,06/07/2023,15:20:18.981,07:20:18.981,1083789,Tobii I-VT (Attention),,,1034.0,497.0,-409.2794,585.3435,7717.1187,-0.05656,0.07831,0.99532,,,,30.64,-23.77,-24.36,,,,2.44,,2.44,Valid,Invalid,1920.0,1080.0,Fixation,660.0,1796.0,1072.0,511.0,,,,,,,,,,,632.6736339160998
876859101,1278185124,Accelerometer,ETCheck,06/02/2024,06/07/2023,06/07/2023,15:20:18.981,07:20:18.981,1083789,Tobii I-VT (Attention),,,,,,,,,,,,,,,,,,,,,,,,,1920.0,1080.0,Fixation,660.0,1796.0,1072.0,511.0,,,,,,,,0.0,-10.087,-0.6235,632.6780579160998
876863241,1278189264,Gyroscope,ETCheck,06/02/2024,06/07/2023,06/07/2023,15:20:18.981,07:20:18.981,1083789,Tobii I-VT (Attention),,,,,,,,,,,,,,,,,,,,,,,,,1920.0,1080.0,Fixation,660.0,1796.0,1072.0,511.0,,,,,-3.36,3.9407,-5.418,,,,632.6821979160998
876868747,1278194770,Accelerometer,ETCheck,06/02/2024,06/07/2023,06/07/2023,15:20:18.981,07:20:18.981,1083789,Tobii I-VT (Attention),,,,,,,,,,,,,,,,,,,,,,,,,1920.0,1080.0,Fixation,660.0,1796.0,1072.0,511.0,,,,,,,,0.0,-10.1484,-0.953,632.6877039160997
876873776,1278199799,Gyroscope,ETCheck,06/02/2024,06/07/2023,06/07/2023,15:20:18.981,07:20:18.981,1083789,Tobii I-VT (Attention),,,,,,,,,,,,,,,,,,,,,,,,,1920.0,1080.0,Fixation,660.0,1796.0,1072.0,511.0,,,,,-4.13,3.1338,-5.276,,,,632.6927329160998
876874659,1278200682,Eye Tracker,ETCheck,06/02/2024,06/07/2023,06/07/2023,15:20:18.981,07:20:18.981,1083789,Tobii I-VT (Attention),,,1035.0,497.0,-415.5429,582.4011,7716.9946,-0.05736,0.07794,0.99531,,,,30.63,-23.78,-24.36,,,,2.434,,2.434,Valid,Invalid,1920.0,1080.0,Fixation,660.0,1796.0,1072.0,511.0,,,,,,,,,,,632.6936159160997
876878393,1278204416,Accelerometer,ETCheck,06/02/2024,06/07/2023,06/07/2023,15:20:18.981,07:20:18.981,1083789,Tobii I-VT (Attention),,,,,,,,,,,,,,,,,,,,,,,,,1920.0,1080.0,Fixation,660.0,1796.0,1072.0,511.0,,,,,,,,-0.0392,-10.1484,-0.953,632.6973499160997
876884311,1278210334,Gyroscope,ETCheck,06/02/2024,06/07/2023,06/07/2023,15:20:18.981,07:20:18.981,1083789,Tobii I-VT (Attention),,,,,,,,,,,,,,,,,,,,,,,,,1920.0,1080.0,Fixation,660.0,1796.0,1072.0,511.0,,,,,-4.69,2.6148,-5.1543,,,,632.7032679160998
876888039,1278214062,Accelerometer,ETCheck,06/02/2024,06/07/2023,06/07/2023,15:20:18.981,07:20:18.981,1083789,Tobii I-VT (Attention),,,,,,,,,,,,,,,,,,,,,,,,,1920.0,1080.0,Fixation,660.0,1796.0,1072.0,511.0,,,,,,,,-0.0392,-10.1348,-1.0302,632.7069959160998
876894647,1278220670,Eye Tracker,ETCheck,06/02/2024,06/07/2023,06/07/2023,15:20:18.981,07:20:18.981,1083789,Tobii I-VT (Attention),,,1036.0,498.0,-421.3798,577.4917,7717.041,-0.05811,0.07731,0.99531,,,,30.63,-23.79,-24.35,,,,2.428,,2.428,Valid,Invalid,1920.0,1080.0,Fixation,660.0,1796.0,1072.0,511.0,,,,,,,,,,,632.7136039160997
876894846,1278220869,Gyroscope,ETCheck,06/02/2024,06/07/2023,06/07/2023,15:20:18.981,07:20:18.981,1083789,Tobii I-VT (Attention),,,,,,,,,,,,,,,,,,,,,,,,,1920.0,1080.0,Fixation,660.0,1796.0,1072.0,511.0,,,,,-4.9,2.0511,-5.1826,,,,632.7138029160998
