Recording timestamp,Computer timestamp,Sensor,Project name,Export date,Recording date,Recording date UTC,Recording start time,Recording start time UTC,Recording duration,Recording Fixation filter name,Event,Event value,Gaze point X,Gaze point Y,Gaze point 3D X,Gaze point 3D Y,Gaze point 3D Z,Gaze direction left X,Gaze direction left Y,Gaze direction left Z,Gaze direction right X,Gaze direction right Y,Gaze direction right Z,Pupil position left X,Pupil position left Y,Pupil position left Z,Pupil position right X,Pupil position right Y,Pupil position right Z,Pupil diameter left,Pupil diameter right,Pupil diameter filtered,Validity left,Validity right,Recording media width,Recording media height,Eye movement type,Gaze event duration,Eye movement type index,Fixation point X,Fixation point Y,Environment,Vehicle,Ungrouped,AOI hit [P07_normal_cali - Polygon],Gyro X,Gyro Y,Gyro Z,Accelerometer X,Accelerometer Y,Accelerometer Z,Relative time
553600843,1108503986,Eye Tracker,ETCheck,06/02/2024,05/22/2023,05/22/2023,15:47:49.985,07:47:49.985,1309483,Tobii I-VT (Attention),,,,,,,,,,,,,,,,,,,,,,2.434,Invalid,Invalid,1920.0,1080.0,EyesNotFound,80.0,503.0,,,,,,,,,,,,,404.0643350634921
553602018,1108505161,Gyroscope,ETCheck,06/02/2024,05/22/2023,05/22/2023,15:47:49.985,07:47:49.985,1309483,Tobii I-VT (Attention),,,,,,,,,,,,,,,,,,,,,,,,,1920.0,1080.0,EyesNotFound,80.0,503.0,,,,,,,14.98,-101.4093,-15.038,,,,404.06551006349207
553603012,1108506155,Accelerometer,ETCheck,06/02/2024,05/22/2023,05/22/2023,15:47:49.985,07:47:49.985,1309483,Tobii I-VT (Attention),,,,,,,,,,,,,,,,,,,,,,,,,1920.0,1080.0,EyesNotFound,80.0,503.0,,,,,,,,,,1.4122,-10.4053,-1.7551,404.06650406349206
553612444,1108515587,Gyroscope,ETCheck,06/02/2024,05/22/2023,05/22/2023,15:47:49.985,07:47:49.985,1309483,Tobii I-VT (Attention),,,,,,,,,,,,,,,,,,,,,,,,,1920.0,1080.0,EyesNotFound,80.0,503.0,,,,,,,14.35,-104.3453,-16.1243,,,,404.075936063492
553612632,1108515775,Accelerometer,ETCheck,06/02/2024,05/22/2023,05/22/2023,15:47:49.985,07:47:49.985,1309483,Tobii I-VT (Attention),,,,,,,,,,,,,,,,,,,,,,,,,1920.0,1080.0,EyesNotFound,80.0,503.0,,,,,,,,,,1.216,-10.6507,-1.7187,404.076124063492
553620820,1108523963,Eye Tracker,ETCheck,06/02/2024,05/22/2023,05/22/2023,15:47:49.985,07:47:49.985,1309483,Tobii I-VT (Attention),,,,,,,,,,,,,,,,,,,,,,2.499,Invalid,Invalid,1920.0,1080.0,EyesNotFound,80.0,503.0,,,,,,,,,,,,,404.084312063492
553622252,1108525395,Accelerometer,ETCheck,06/02/2024,05/22/2023,05/22/2023,15:47:49.985,07:47:49.985,1309483,Tobii I-VT (Attention),,,,,,,,,,,,,,,,,,,,,,,,,1920.0,1080.0,EyesNotFound,80.0,503.0,,,,,,,,,,1.0983,-10.7552,-1.5778,404.085744063492
553622870,1108526013,Gyroscope,ETCheck,06/02/2024,05/22/2023,05/22/2023,15:47:49.985,07:47:49.985,1309483,Tobii I-VT (Attention),,,,,,,,,,,,,,,,,,,,,,,,,1920.0,1080.0,EyesNotFound,80.0,503.0,,,,,,,12.95,-105.9551,-16.266,,,,404.08636206349206
553631872,1108535015,Accelerometer,ETCheck,06/02/2024,05/22/2023,05/22/2023,15:47:49.985,07:47:49.985,1309483,Tobii I-VT (Attention),,,,,,,,,,,,,,,,,,,,,,,,,1920.0,1080.0,Saccade,60.0,1531.0,,,,,,,,,,1.0591,-10.7029,-1.6482,404.09536406349207
553633296,1108536439,Gyroscope,ETCheck,06/02/2024,05/22/2023,05/22/2023,15:47:49.985,07:47:49.985,1309483,Tobii I-VT (Attention),,,,,,,,,,,,,,,,,,,,,,,,,1920.0,1080.0,Saccade,60.0,1531.0,,,,,,,11.13,-106.6565,-15.1103,,,,404.096788063492
553640807,1108543950,Eye Tracker,ETCheck,06/02/2024,05/22/2023,05/22/2023,15:47:49.985,07:47:49.985,1309483,Tobii I-VT (Attention),,,1274.0,581.0,-161.6252,2.3691,616.6152,-0.28905,0.04502,0.95625,,,,32.14,-27.81,-24.4,,,,2.563,,2.563,Valid,Invalid,1920.0,1080.0,Saccade,60.0,1531.0,,,,,,,,,,,,,404.104299063492
553641492,1108544635,Accelerometer,ETCheck,06/02/2024,05/22/2023,05/22/2023,15:47:49.985,07:47:49.985,1309483,Tobii I-VT (Attention),,,,,,,,,,,,,,,,,,,,,,,,,1920.0,1080.0,Saccade,60.0,1531.0,,,,,,,,,,1.0983,-10.6597,-1.4414,404.104984063492
553643722,1108546865,Gyroscope,ETCheck,06/02/2024,05/22/2023,05/22/2023,15:47:49.985,07:47:49.985,1309483,Tobii I-VT (Attention),,,,,,,,,,,,,,,,,,,,,,,,,1920.0,1080.0,Saccade,60.0,1531.0,,,,,,,10.15,-107.6579,-13.8652,,,,404.1072140634921
553651112,1108554255,Accelerometer,ETCheck,06/02/2024,05/22/2023,05/22/2023,15:47:49.985,07:47:49.985,1309483,Tobii I-VT (Attention),,,,,,,,,,,,,,,,,,,,,,,,,1920.0,1080.0,Saccade,60.0,1531.0,,,,,,,,,,1.0591,-10.5166,-1.5755,404.114604063492
553654148,1108557291,Gyroscope,ETCheck,06/02/2024,05/22/2023,05/22/2023,15:47:49.985,07:47:49.985,1309483,Tobii I-VT (Attention),,,,,,,,,,,,,,,,,,,,,,,,,1920.0,1080.0,Saccade,60.0,1531.0,,,,,,,9.24,-109.4054,-12.8229,,,,404.117640063492
553660740,1108563883,Accelerometer,ETCheck,06/02/2024,05/22/2023,05/22/2023,15:47:49.985,07:47:49.985,1309483,Tobii I-VT (Attention),,,,,,,,,,,,,,,,,,,,,,,,,1920.0,1080.0,Saccade,60.0,1531.0,,,,,,,,,,1.0199,-10.4143,-1.4778,404.12423206349206
553660789,1108563932,Eye Tracker,ETCheck,06/02/2024,05/22/2023,05/22/2023,15:47:49.985,07:47:49.985,1309483,Tobii I-VT (Attention),,,1496.0,588.0,-261.3748,-0.1565,578.0126,-0.43658,0.04151,0.89871,,,,31.28,-27.99,-24.43,,,,2.718,,2.718,Valid,Invalid,1920.0,1080.0,Saccade,60.0,1531.0,,,,,,,,,,,,,404.1242810634921
553664574,1108567717,Gyroscope,ETCheck,06/02/2024,05/22/2023,05/22/2023,15:47:49.985,07:47:49.985,1309483,Tobii I-VT (Attention),,,,,,,,,,,,,,,,,,,,,,,,,1920.0,1080.0,Saccade,60.0,1531.0,,,,,,,8.26,-111.0314,-12.4699,,,,404.128066063492
553670368,1108573511,Accelerometer,ETCheck,06/02/2024,05/22/2023,05/22/2023,15:47:49.985,07:47:49.985,1309483,Tobii I-VT (Attention),,,,,,,,,,,,,,,,,,,,,,,,,1920.0,1080.0,Saccade,60.0,1531.0,,,,,,,,,,0.863,-10.2302,-1.1666,404.1338600634921
553675000,1108578143,Gyroscope,ETCheck,06/02/2024,05/22/2023,05/22/2023,15:47:49.985,07:47:49.985,1309483,Tobii I-VT (Attention),,,,,,,,,,,,,,,,,,,,,,,,,1920.0,1080.0,Saccade,60.0,1531.0,,,,,,,7.84,-111.5869,-12.1413,,,,404.138492063492
553679996,1108583139,Accelerometer,ETCheck,06/02/2024,05/22/2023,05/22/2023,15:47:49.985,07:47:49.985,1309483,Tobii I-VT (Attention),,,,,,,,,,,,,,,,,,,,,,,,,1920.0,1080.0,Saccade,60.0,1531.0,,,,,,,,,,0.6276,-10.0507,-1.0552,404.143488063492
553680807,1108583950,Eye Tracker,ETCheck,06/02/2024,05/22/2023,05/22/2023,15:47:49.985,07:47:49.985,1309483,Tobii I-VT (Attention),,,1566.0,532.0,-288.4935,27.1706,562.4473,-0.47687,0.08267,0.87508,,,,31.17,-28.25,-24.15,,,,2.782,,2.752,Valid,Invalid,1920.0,1080.0,Saccade,60.0,1531.0,,,,,,,,,,,,,404.144299063492
