Recording timestamp,Computer timestamp,Sensor,Project name,Export date,Recording date,Recording date UTC,Recording start time,Recording start time UTC,Recording duration,Recording Fixation filter name,Event,Event value,Gaze point X,Gaze point Y,Gaze point 3D X,Gaze point 3D Y,Gaze point 3D Z,Gaze direction left X,Gaze direction left Y,Gaze direction left Z,Gaze direction right X,Gaze direction right Y,Gaze direction right Z,Pupil position left X,Pupil position left Y,Pupil position left Z,Pupil position right X,Pupil position right Y,Pupil position right Z,Pupil diameter left,Pupil diameter right,Pupil diameter filtered,Validity left,Validity right,Recording media width,Recording media height,Eye movement type,Gaze event duration,Eye movement type index,Fixation point X,Fixation point Y,Environment,Vehicle,Ungrouped,AOI hit [P07_normal_cali - Polygon],Gyro X,Gyro Y,Gyro Z,Accelerometer X,Accelerometer Y,Accelerometer Z,Relative time
411284998,812611021,Eye Tracker,ETCheck,06/02/2024,06/07/2023,06/07/2023,15:20:18.981,07:20:18.981,1083789,Tobii I-VT (Attention),,,720.0,579.0,1554.8311,8.5274,7027.6382,,,,0.21954,0.00445,0.97559,,,,-32.15,-23.65,-24.51,,2.549,2.549,Invalid,Valid,1920.0,1080.0,Fixation,420.0,800.0,721.0,563.0,,,,,,,,,,,167.10395491609972
411285138,812611161,Accelerometer,ETCheck,06/02/2024,06/07/2023,06/07/2023,15:20:18.981,07:20:18.981,1083789,Tobii I-VT (Attention),,,,,,,,,,,,,,,,,,,,,,,,,1920.0,1080.0,Fixation,420.0,800.0,721.0,563.0,,,,,,,,-0.0785,-9.7214,-2.4709,167.10409491609977
411293886,812619909,Gyroscope,ETCheck,06/02/2024,06/07/2023,06/07/2023,15:20:18.981,07:20:18.981,1083789,Tobii I-VT (Attention),,,,,,,,,,,,,,,,,,,,,,,,,1920.0,1080.0,Fixation,420.0,800.0,721.0,563.0,,,,,10.01,0.6249,3.3088,,,,167.11284291609974
411294718,812620741,Accelerometer,ETCheck,06/02/2024,06/07/2023,06/07/2023,15:20:18.981,07:20:18.981,1083789,Tobii I-VT (Attention),,,,,,,,,,,,,,,,,,,,,,,,,1920.0,1080.0,Fixation,420.0,800.0,721.0,563.0,,,,,,,,-0.1177,-9.7668,-2.4391,167.11367491609974
411304298,812630321,Accelerometer,ETCheck,06/02/2024,06/07/2023,06/07/2023,15:20:18.981,07:20:18.981,1083789,Tobii I-VT (Attention),,,,,,,,,,,,,,,,,,,,,,,,,1920.0,1080.0,Fixation,420.0,800.0,721.0,563.0,,,,,,,,-0.1569,-9.7941,-2.2846,167.12325491609977
411304344,812630367,Gyroscope,ETCheck,06/02/2024,06/07/2023,06/07/2023,15:20:18.981,07:20:18.981,1083789,Tobii I-VT (Attention),,,,,,,,,,,,,,,,,,,,,,,,,1920.0,1080.0,Fixation,420.0,800.0,721.0,563.0,,,,,10.57,-0.036,3.832,,,,167.12330091609977
411304979,812631002,Eye Tracker,ETCheck,06/02/2024,06/07/2023,06/07/2023,15:20:18.981,07:20:18.981,1083789,Tobii I-VT (Attention),,,721.0,577.0,1551.6688,20.3496,7028.2793,,,,0.21911,0.00608,0.97568,,,,-32.16,-23.63,-24.52,,2.538,2.538,Invalid,Valid,1920.0,1080.0,Fixation,420.0,800.0,721.0,563.0,,,,,,,,,,,167.12393591609975
411313878,812639901,Accelerometer,ETCheck,06/02/2024,06/07/2023,06/07/2023,15:20:18.981,07:20:18.981,1083789,Tobii I-VT (Attention),,,,,,,,,,,,,,,,,,,,,,,,,1920.0,1080.0,Fixation,420.0,800.0,721.0,563.0,,,,,,,,-0.1961,-9.9032,-2.3437,167.13283491609974
411314802,812640825,Gyroscope,ETCheck,06/02/2024,06/07/2023,06/07/2023,15:20:18.981,07:20:18.981,1083789,Tobii I-VT (Attention),,,,,,,,,,,,,,,,,,,,,,,,,1920.0,1080.0,Fixation,420.0,800.0,721.0,563.0,,,,,11.13,-1.0537,4.3633,,,,167.13375891609974
411323458,812649481,Accelerometer,ETCheck,06/02/2024,06/07/2023,06/07/2023,15:20:18.981,07:20:18.981,1083789,Tobii I-VT (Attention),,,,,,,,,,,,,,,,,,,,,,,,,1920.0,1080.0,Saccade,20.0,1330.0,,,,,,,,,,-0.2354,-10.0077,-2.2028,167.14241491609977
