Recording timestamp,Computer timestamp,Sensor,Project name,Export date,Recording date,Recording date UTC,Recording start time,Recording start time UTC,Recording duration,Recording Fixation filter name,Event,Event value,Gaze point X,Gaze point Y,Gaze point 3D X,Gaze point 3D Y,Gaze point 3D Z,Gaze direction left X,Gaze direction left Y,Gaze direction left Z,Gaze direction right X,Gaze direction right Y,Gaze direction right Z,Pupil position left X,Pupil position left Y,Pupil position left Z,Pupil position right X,Pupil position right Y,Pupil position right Z,Pupil diameter left,Pupil diameter right,Pupil diameter filtered,Validity left,Validity right,Recording media width,Recording media height,Eye movement type,Gaze event duration,Eye movement type index,Fixation point X,Fixation point Y,Environment,Vehicle,Ungrouped,AOI hit [P07_normal_cali - Polygon],Gyro X,Gyro Y,Gyro Z,Accelerometer X,Accelerometer Y,Accelerometer Z,Relative time
607626261,1162529404,Accelerometer,ETCheck,06/02/2024,05/22/2023,05/22/2023,15:47:49.985,07:47:49.985,1309483,Tobii I-VT (Attention),,,,,,,,,,,,,,,,,,,,,,,,,1920.0,1080.0,Saccade,80.0,1709.0,,,,,,,,,,0.2746,-9.7167,-1.5938,458.089753063492
607629304,1162532447,Eye Tracker,ETCheck,06/02/2024,05/22/2023,05/22/2023,15:47:49.985,07:47:49.985,1309483,Tobii I-VT (Attention),,,497.0,422.0,335.8675,110.1423,800.644,0.33805,0.15604,0.9281,,,,35.52,-28.5,-23.95,,,,2.228,,2.154,Valid,Invalid,1920.0,1080.0,Saccade,80.0,1709.0,,,,,,,,,,,,,458.0927960634921
607631160,1162534303,Gyroscope,ETCheck,06/02/2024,05/22/2023,05/22/2023,15:47:49.985,07:47:49.985,1309483,Tobii I-VT (Attention),,,,,,,,,,,,,,,,,,,,,,,,,1920.0,1080.0,Saccade,80.0,1709.0,,,,,,,22.96,78.2286,-1.8438,,,,458.0946520634921
607635831,1162538974,Accelerometer,ETCheck,06/02/2024,05/22/2023,05/22/2023,15:47:49.985,07:47:49.985,1309483,Tobii I-VT (Attention),,,,,,,,,,,,,,,,,,,,,,,,,1920.0,1080.0,Saccade,80.0,1709.0,,,,,,,,,,0.4315,-9.819,-1.6915,458.0993230634921
607641621,1162544764,Gyroscope,ETCheck,06/02/2024,05/22/2023,05/22/2023,15:47:49.985,07:47:49.985,1309483,Tobii I-VT (Attention),,,,,,,,,,,,,,,,,,,,,,,,,1920.0,1080.0,Fixation,100.0,1176.0,533.0,399.0,,,,,23.24,79.5992,-1.9575,,,,458.105113063492
607645401,1162548544,Accelerometer,ETCheck,06/02/2024,05/22/2023,05/22/2023,15:47:49.985,07:47:49.985,1309483,Tobii I-VT (Attention),,,,,,,,,,,,,,,,,,,,,,,,,1920.0,1080.0,Fixation,100.0,1176.0,533.0,399.0,,,,,,,,0.5492,-9.9689,-1.5188,458.108893063492
607649292,1162552435,Eye Tracker,ETCheck,06/02/2024,05/22/2023,05/22/2023,15:47:49.985,07:47:49.985,1309483,Tobii I-VT (Attention),,,525.0,386.0,317.5135,135.8359,802.6174,0.31717,0.18515,0.93012,,,,35.71,-28.66,-23.77,,,,2.21,,2.16,Valid,Invalid,1920.0,1080.0,Fixation,100.0,1176.0,533.0,399.0,,,,,,,,,,,458.112784063492
607652082,1162555225,Gyroscope,ETCheck,06/02/2024,05/22/2023,05/22/2023,15:47:49.985,07:47:49.985,1309483,Tobii I-VT (Attention),,,,,,,,,,,,,,,,,,,,,,,,,1920.0,1080.0,Fixation,100.0,1176.0,533.0,399.0,,,,,23.87,80.1953,-1.7102,,,,458.115574063492
607654971,1162558114,Accelerometer,ETCheck,06/02/2024,05/22/2023,05/22/2023,15:47:49.985,07:47:49.985,1309483,Tobii I-VT (Attention),,,,,,,,,,,,,,,,,,,,,,,,,1920.0,1080.0,Fixation,100.0,1176.0,533.0,399.0,,,,,,,,0.7061,-10.0394,-1.5711,458.1184630634921
607662543,1162565686,Gyroscope,ETCheck,06/02/2024,05/22/2023,05/22/2023,15:47:49.985,07:47:49.985,1309483,Tobii I-VT (Attention),,,,,,,,,,,,,,,,,,,,,,,,,1920.0,1080.0,Fixation,100.0,1176.0,533.0,399.0,,,,,23.8,79.5101,-1.0492,,,,458.12603506349205
607664541,1162567684,Accelerometer,ETCheck,06/02/2024,05/22/2023,05/22/2023,15:47:49.985,07:47:49.985,1309483,Tobii I-VT (Attention),,,,,,,,,,,,,,,,,,,,,,,,,1920.0,1080.0,Fixation,100.0,1176.0,533.0,399.0,,,,,,,,0.863,-10.1349,-1.7074,458.128033063492
607669270,1162572413,Eye Tracker,ETCheck,06/02/2024,05/22/2023,05/22/2023,15:47:49.985,07:47:49.985,1309483,Tobii I-VT (Attention),,,497.0,363.0,334.1696,150.2044,793.6342,0.33586,0.20123,0.92017,,,,35.77,-28.58,-23.91,,,,2.342,,2.212,Valid,Invalid,1920.0,1080.0,Fixation,100.0,1176.0,533.0,399.0,,,,,,,,,,,458.132762063492
607673004,1162576147,Gyroscope,ETCheck,06/02/2024,05/22/2023,05/22/2023,15:47:49.985,07:47:49.985,1309483,Tobii I-VT (Attention),,,,,,,,,,,,,,,,,,,,,,,,,1920.0,1080.0,Fixation,100.0,1176.0,533.0,399.0,,,,,23.45,77.9937,-0.1082,,,,458.136496063492
607674111,1162577254,Accelerometer,ETCheck,06/02/2024,05/22/2023,05/22/2023,15:47:49.985,07:47:49.985,1309483,Tobii I-VT (Attention),,,,,,,,,,,,,,,,,,,,,,,,,1920.0,1080.0,Fixation,100.0,1176.0,533.0,399.0,,,,,,,,0.9807,-10.2257,-1.6437,458.13760306349207
607683465,1162586608,Gyroscope,ETCheck,06/02/2024,05/22/2023,05/22/2023,15:47:49.985,07:47:49.985,1309483,Tobii I-VT (Attention),,,,,,,,,,,,,,,,,,,,,,,,,1920.0,1080.0,Fixation,100.0,1176.0,533.0,399.0,,,,,22.82,76.3354,1.2343,,,,458.146957063492
607683681,1162586824,Accelerometer,ETCheck,06/02/2024,05/22/2023,05/22/2023,15:47:49.985,07:47:49.985,1309483,Tobii I-VT (Attention),,,,,,,,,,,,,,,,,,,,,,,,,1920.0,1080.0,Fixation,100.0,1176.0,533.0,399.0,,,,,,,,1.0591,-10.1667,-1.7528,458.147173063492
607689257,1162592400,Eye Tracker,ETCheck,06/02/2024,05/22/2023,05/22/2023,15:47:49.985,07:47:49.985,1309483,Tobii I-VT (Attention),,,552.0,441.0,299.8638,97.8317,809.0184,,,,0.36938,0.13815,0.91895,,,,-34.04,-27.05,-21.69,,2.105,2.221,Invalid,Valid,1920.0,1080.0,Fixation,100.0,1176.0,533.0,399.0,,,,,,,,,,,458.152749063492
607693251,1162596394,Accelerometer,ETCheck,06/02/2024,05/22/2023,05/22/2023,15:47:49.985,07:47:49.985,1309483,Tobii I-VT (Attention),,,,,,,,,,,,,,,,,,,,,,,,,1920.0,1080.0,Fixation,100.0,1176.0,533.0,399.0,,,,,,,,1.1376,-10.1553,-1.5915,458.15674306349206
