Recording timestamp,Computer timestamp,Sensor,Project name,Export date,Recording date,Recording date UTC,Recording start time,Recording start time UTC,Recording duration,Recording Fixation filter name,Event,Event value,Gaze point X,Gaze point Y,Gaze point 3D X,Gaze point 3D Y,Gaze point 3D Z,Gaze direction left X,Gaze direction left Y,Gaze direction left Z,Gaze direction right X,Gaze direction right Y,Gaze direction right Z,Pupil position left X,Pupil position left Y,Pupil position left Z,Pupil position right X,Pupil position right Y,Pupil position right Z,Pupil diameter left,Pupil diameter right,Pupil diameter filtered,Validity left,Validity right,Recording media width,Recording media height,Eye movement type,Gaze event duration,Eye movement type index,Fixation point X,Fixation point Y,Environment,Vehicle,Ungrouped,AOI hit [P07_normal_cali - Polygon],Gyro X,Gyro Y,Gyro Z,Accelerometer X,Accelerometer Y,Accelerometer Z,Relative time
367123260,1044549307,Gyroscope,ETCheck,06/02/2024,06/08/2023,06/08/2023,15:30:56.036,07:30:56.036,1029330,Tobii I-VT (Attention),,,,,,,,,,,,,,,,,,,,,,,,,1920.0,1080.0,Fixation,1199.0,659.0,600.0,471.0,,,,,16.03,68.1207,35.3257,,,,233.1673416326531
367124861,1044550908,Accelerometer,ETCheck,06/02/2024,06/08/2023,06/08/2023,15:30:56.036,07:30:56.036,1029330,Tobii I-VT (Attention),,,,,,,,,,,,,,,,,,,,,,,,,1920.0,1080.0,Fixation,1199.0,659.0,600.0,471.0,,,,,,,,-0.7061,-10.2847,-0.8575,233.16894263265308
367130524,1044556571,Eye Tracker,ETCheck,06/02/2024,06/08/2023,06/08/2023,15:30:56.036,07:30:56.036,1029330,Tobii I-VT (Attention),,,615.0,475.0,880.8165,256.6133,2798.6831,0.29145,0.08906,0.95243,0.2999,0.09892,0.94883,34.25,-23.86,-28.94,-31.09,-21.98,-27.19,3.007,2.894,2.944,Valid,Valid,1920.0,1080.0,Fixation,1199.0,659.0,600.0,471.0,,,,,,,,,,,233.17460563265303
367133673,1044559720,Gyroscope,ETCheck,06/02/2024,06/08/2023,06/08/2023,15:30:56.036,07:30:56.036,1029330,Tobii I-VT (Attention),,,,,,,,,,,,,,,,,,,,,,,,,1920.0,1080.0,Fixation,1199.0,659.0,600.0,471.0,,,,,15.19,65.6348,34.1055,,,,233.17775463265303
367134489,1044560536,Accelerometer,ETCheck,06/02/2024,06/08/2023,06/08/2023,15:30:56.036,07:30:56.036,1029330,Tobii I-VT (Attention),,,,,,,,,,,,,,,,,,,,,,,,,1920.0,1080.0,Fixation,1199.0,659.0,600.0,471.0,,,,,,,,-0.5492,-10.3165,-0.903,233.17857063265305
367144086,1044570133,Gyroscope,ETCheck,06/02/2024,06/08/2023,06/08/2023,15:30:56.036,07:30:56.036,1029330,Tobii I-VT (Attention),,,,,,,,,,,,,,,,,,,,,,,,,1920.0,1080.0,Fixation,1199.0,659.0,600.0,471.0,,,,,14.77,62.0702,32.5529,,,,233.1881676326531
367144117,1044570164,Accelerometer,ETCheck,06/02/2024,06/08/2023,06/08/2023,15:30:56.036,07:30:56.036,1029330,Tobii I-VT (Attention),,,,,,,,,,,,,,,,,,,,,,,,,1920.0,1080.0,Fixation,1199.0,659.0,600.0,471.0,,,,,,,,-0.4315,-10.3029,-0.9802,233.18819863265307
367150512,1044576559,Eye Tracker,ETCheck,06/02/2024,06/08/2023,06/08/2023,15:30:56.036,07:30:56.036,1029330,Tobii I-VT (Attention),,,632.0,474.0,1322.8687,407.2049,4401.5298,0.27904,0.09047,0.95601,0.29014,0.09482,0.95227,34.32,-23.88,-28.99,-31.11,-21.97,-27.19,3.021,2.884,2.95,Valid,Valid,1920.0,1080.0,Fixation,1199.0,659.0,600.0,471.0,,,,,,,,,,,233.19459363265307
367153752,1044579799,Accelerometer,ETCheck,06/02/2024,06/08/2023,06/08/2023,15:30:56.036,07:30:56.036,1029330,Tobii I-VT (Attention),,,,,,,,,,,,,,,,,,,,,,,,,1920.0,1080.0,Fixation,1199.0,659.0,600.0,471.0,,,,,,,,-0.3138,-10.2234,-1.2052,233.19783363265307
367154499,1044580546,Gyroscope,ETCheck,06/02/2024,06/08/2023,06/08/2023,15:30:56.036,07:30:56.036,1029330,Tobii I-VT (Attention),,,,,,,,,,,,,,,,,,,,,,,,,1920.0,1080.0,Fixation,1199.0,659.0,600.0,471.0,,,,,14.35,57.5487,31.187,,,,233.19858063265303
367163387,1044589434,Accelerometer,ETCheck,06/02/2024,06/08/2023,06/08/2023,15:30:56.036,07:30:56.036,1029330,Tobii I-VT (Attention),,,,,,,,,,,,,,,,,,,,,,,,,1920.0,1080.0,Fixation,1199.0,659.0,600.0,471.0,,,,,,,,-0.2354,-10.1552,-0.9143,233.20746863265308
367164912,1044590959,Gyroscope,ETCheck,06/02/2024,06/08/2023,06/08/2023,15:30:56.036,07:30:56.036,1029330,Tobii I-VT (Attention),,,,,,,,,,,,,,,,,,,,,,,,,1920.0,1080.0,Fixation,1199.0,659.0,600.0,471.0,,,,,13.79,51.612,29.7848,,,,233.2089936326531
367170492,1044596539,Eye Tracker,ETCheck,06/02/2024,06/08/2023,06/08/2023,15:30:56.036,07:30:56.036,1029330,Tobii I-VT (Attention),,,643.0,477.0,1231.9346,382.2358,4235.708,0.26941,0.09231,0.95859,0.28276,0.08952,0.95501,34.31,-23.9,-28.94,-31.17,-21.93,-27.18,3.021,2.878,2.948,Valid,Valid,1920.0,1080.0,Fixation,1199.0,659.0,600.0,471.0,,,,,,,,,,,233.2145736326531
