Recording timestamp,Computer timestamp,Sensor,Project name,Export date,Recording date,Recording date UTC,Recording start time,Recording start time UTC,Recording duration,Recording Fixation filter name,Event,Event value,Gaze point X,Gaze point Y,Gaze point 3D X,Gaze point 3D Y,Gaze point 3D Z,Gaze direction left X,Gaze direction left Y,Gaze direction left Z,Gaze direction right X,Gaze direction right Y,Gaze direction right Z,Pupil position left X,Pupil position left Y,Pupil position left Z,Pupil position right X,Pupil position right Y,Pupil position right Z,Pupil diameter left,Pupil diameter right,Pupil diameter filtered,Validity left,Validity right,Recording media width,Recording media height,Eye movement type,Gaze event duration,Eye movement type index,Fixation point X,Fixation point Y,Environment,Vehicle,Ungrouped,AOI hit [P07_normal_cali - Polygon],Gyro X,Gyro Y,Gyro Z,Accelerometer X,Accelerometer Y,Accelerometer Z,Relative time
393936518,731755153,Accelerometer,ETCheck,06/02/2024,05/12/2023,05/12/2023,15:53:38.943,07:53:38.943,1108832,Tobii I-VT (Attention),,,,,,,,,,,,,,,,,,,,,,,,,1920.0,1080.0,Saccade,20.0,1347.0,,,,,,,,,,0.4315,-10.2163,0.7877,299.59384226303854
393937070,731755705,Gyroscope,ETCheck,06/02/2024,05/12/2023,05/12/2023,15:53:38.943,07:53:38.943,1108832,Tobii I-VT (Attention),,,,,,,,,,,,,,,,,,,,,,,,,1920.0,1080.0,Saccade,20.0,1347.0,,,,,,,4.76,2.6839,-3.9337,,,,299.59439426303857
393937971,731756606,Eye Tracker,ETCheck,06/02/2024,05/12/2023,05/12/2023,15:53:38.943,07:53:38.943,1108832,Tobii I-VT (Attention),,,1120.0,283.0,-49.3811,102.9934,389.9332,-0.11787,0.27932,0.95294,-0.10352,0.32243,0.94092,31.87,-27.85,-22.69,-34.31,-27.58,-20.87,2.179,2.292,2.252,Valid,Valid,1920.0,1080.0,Saccade,20.0,1347.0,,,,,,,,,,,,,299.59529526303857
393946131,731764766,Accelerometer,ETCheck,06/02/2024,05/12/2023,05/12/2023,15:53:38.943,07:53:38.943,1108832,Tobii I-VT (Attention),,,,,,,,,,,,,,,,,,,,,,,,,1920.0,1080.0,Saccade,20.0,1347.0,,,,,,,,,,0.4707,-10.2231,0.8263,299.60345526303854
393947593,731766228,Gyroscope,ETCheck,06/02/2024,05/12/2023,05/12/2023,15:53:38.943,07:53:38.943,1108832,Tobii I-VT (Attention),,,,,,,,,,,,,,,,,,,,,,,,,1920.0,1080.0,Saccade,20.0,1347.0,,,,,,,4.48,3.1664,-3.8486,,,,299.60491726303854
393955744,731774379,Accelerometer,ETCheck,06/02/2024,05/12/2023,05/12/2023,15:53:38.943,07:53:38.943,1108832,Tobii I-VT (Attention),,,,,,,,,,,,,,,,,,,,,,,,,1920.0,1080.0,Fixation,260.0,837.0,1063.0,266.0,,,,,,,,0.4707,-10.2299,0.8649,299.61306826303854
393957986,731776621,Eye Tracker,ETCheck,06/02/2024,05/12/2023,05/12/2023,15:53:38.943,07:53:38.943,1108832,Tobii I-VT (Attention),,,1100.0,260.0,-71.4501,186.6467,656.0462,-0.10875,0.28121,0.95346,-0.08789,0.31879,0.94374,31.96,-27.8,-22.72,-34.26,-27.49,-20.9,2.197,2.31,2.253,Valid,Valid,1920.0,1080.0,Fixation,260.0,837.0,1063.0,266.0,,,,,,,,,,,299.61531026303857
393958116,731776751,Gyroscope,ETCheck,06/02/2024,05/12/2023,05/12/2023,15:53:38.943,07:53:38.943,1108832,Tobii I-VT (Attention),,,,,,,,,,,,,,,,,,,,,,,,,1920.0,1080.0,Fixation,260.0,837.0,1063.0,266.0,,,,,4.06,3.6611,-3.8325,,,,299.6154402630386
393965357,731783992,Accelerometer,ETCheck,06/02/2024,05/12/2023,05/12/2023,15:53:38.943,07:53:38.943,1108832,Tobii I-VT (Attention),,,,,,,,,,,,,,,,,,,,,,,,,1920.0,1080.0,Fixation,260.0,837.0,1063.0,266.0,,,,,,,,0.5099,-10.2686,0.8581,299.62268126303854
393968639,731787274,Gyroscope,ETCheck,06/02/2024,05/12/2023,05/12/2023,15:53:38.943,07:53:38.943,1108832,Tobii I-VT (Attention),,,,,,,,,,,,,,,,,,,,,,,,,1920.0,1080.0,Fixation,260.0,837.0,1063.0,266.0,,,,,3.71,4.1761,-3.5284,,,,299.62596326303856
