Recording timestamp,Computer timestamp,Sensor,Project name,Export date,Recording date,Recording date UTC,Recording start time,Recording start time UTC,Recording duration,Recording Fixation filter name,Event,Event value,Gaze point X,Gaze point Y,Gaze point 3D X,Gaze point 3D Y,Gaze point 3D Z,Gaze direction left X,Gaze direction left Y,Gaze direction left Z,Gaze direction right X,Gaze direction right Y,Gaze direction right Z,Pupil position left X,Pupil position left Y,Pupil position left Z,Pupil position right X,Pupil position right Y,Pupil position right Z,Pupil diameter left,Pupil diameter right,Pupil diameter filtered,Validity left,Validity right,Recording media width,Recording media height,Eye movement type,Gaze event duration,Eye movement type index,Fixation point X,Fixation point Y,Environment,Vehicle,Ungrouped,AOI hit [P07_normal_cali - Polygon],Gyro X,Gyro Y,Gyro Z,Accelerometer X,Accelerometer Y,Accelerometer Z,Relative time
443987183,781805818,Gyroscope,ETCheck,06/02/2024,05/12/2023,05/12/2023,15:53:38.943,07:53:38.943,1108832,Tobii I-VT (Attention),,,,,,,,,,,,,,,,,,,,,,,,,1920.0,1080.0,Fixation,500.0,980.0,939.0,265.0,,,,,15.26,2.0756,-4.112,,,,349.6445072630386
443989596,781808231,Eye Tracker,ETCheck,06/02/2024,05/12/2023,05/12/2023,15:53:38.943,07:53:38.943,1108832,Tobii I-VT (Attention),,,959.0,240.0,40.7379,822.7092,2724.0425,0.02871,0.29506,0.95505,-9e-05,0.29647,0.95504,32.66,-27.88,-22.57,-33.48,-27.35,-20.84,2.466,2.567,2.517,Valid,Valid,1920.0,1080.0,Fixation,500.0,980.0,939.0,265.0,,,,,,,,,,,349.64692026303857
443994579,781813214,Accelerometer,ETCheck,06/02/2024,05/12/2023,05/12/2023,15:53:38.943,07:53:38.943,1108832,Tobii I-VT (Attention),,,,,,,,,,,,,,,,,,,,,,,,,1920.0,1080.0,Fixation,500.0,980.0,939.0,265.0,,,,,,,,0.863,-10.4845,0.5014,349.65190326303855
443997579,781816214,Gyroscope,ETCheck,06/02/2024,05/12/2023,05/12/2023,15:53:38.943,07:53:38.943,1108832,Tobii I-VT (Attention),,,,,,,,,,,,,,,,,,,,,,,,,1920.0,1080.0,Fixation,500.0,980.0,939.0,265.0,,,,,15.61,2.392,-3.4876,,,,349.65490326303853
444004166,781822801,Accelerometer,ETCheck,06/02/2024,05/12/2023,05/12/2023,15:53:38.943,07:53:38.943,1108832,Tobii I-VT (Attention),,,,,,,,,,,,,,,,,,,,,,,,,1920.0,1080.0,Fixation,500.0,980.0,939.0,265.0,,,,,,,,0.863,-10.8572,0.356,349.66149026303856
444007975,781826610,Gyroscope,ETCheck,06/02/2024,05/12/2023,05/12/2023,15:53:38.943,07:53:38.943,1108832,Tobii I-VT (Attention),,,,,,,,,,,,,,,,,,,,,,,,,1920.0,1080.0,Fixation,500.0,980.0,939.0,265.0,,,,,14.0,2.3678,-2.1414,,,,349.66529926303855
444009580,781828215,Eye Tracker,ETCheck,06/02/2024,05/12/2023,05/12/2023,15:53:38.943,07:53:38.943,1108832,Tobii I-VT (Attention),,,959.0,236.0,40.6054,830.3674,2721.5339,0.0291,0.29814,0.95408,-0.00057,0.29873,0.95434,32.67,-27.85,-22.57,-33.48,-27.35,-20.85,2.463,2.567,2.515,Valid,Valid,1920.0,1080.0,Fixation,500.0,980.0,939.0,265.0,,,,,,,,,,,349.6669042630386
444013753,781832388,Accelerometer,ETCheck,06/02/2024,05/12/2023,05/12/2023,15:53:38.943,07:53:38.943,1108832,Tobii I-VT (Attention),,,,,,,,,,,,,,,,,,,,,,,,,1920.0,1080.0,Fixation,500.0,980.0,939.0,265.0,,,,,,,,0.8238,-11.2481,0.0879,349.67107726303857
444018371,781837006,Gyroscope,ETCheck,06/02/2024,05/12/2023,05/12/2023,15:53:38.943,07:53:38.943,1108832,Tobii I-VT (Attention),,,,,,,,,,,,,,,,,,,,,,,,,1920.0,1080.0,Fixation,500.0,980.0,939.0,265.0,,,,,11.97,1.5288,0.1985,,,,349.67569526303856
444023340,781841975,Accelerometer,ETCheck,06/02/2024,05/12/2023,05/12/2023,15:53:38.943,07:53:38.943,1108832,Tobii I-VT (Attention),,,,,,,,,,,,,,,,,,,,,,,,,1920.0,1080.0,Fixation,500.0,980.0,939.0,265.0,,,,,,,,0.7845,-11.5162,-0.1984,349.6806642630386
444028767,781847402,Gyroscope,ETCheck,06/02/2024,05/12/2023,05/12/2023,15:53:38.943,07:53:38.943,1108832,Tobii I-VT (Attention),,,,,,,,,,,,,,,,,,,,,,,,,1920.0,1080.0,Fixation,500.0,980.0,939.0,265.0,,,,,9.03,0.7708,2.4815,,,,349.6860912630386
444029560,781848195,Eye Tracker,ETCheck,06/02/2024,05/12/2023,05/12/2023,15:53:38.943,07:53:38.943,1108832,Tobii I-VT (Attention),,,961.0,230.0,34.834,844.2549,2716.9539,0.02975,0.3,0.95348,-0.00524,0.30655,0.95184,32.67,-27.84,-22.56,-33.45,-27.34,-20.86,2.459,2.567,2.513,Valid,Valid,1920.0,1080.0,Fixation,500.0,980.0,939.0,265.0,,,,,,,,,,,349.68688426303856
444032927,781851562,Accelerometer,ETCheck,06/02/2024,05/12/2023,05/12/2023,15:53:38.943,07:53:38.943,1108832,Tobii I-VT (Attention),,,,,,,,,,,,,,,,,,,,,,,,,1920.0,1080.0,Fixation,500.0,980.0,939.0,265.0,,,,,,,,0.7453,-11.6049,-0.3733,349.69025126303853
