Recording timestamp,Computer timestamp,Sensor,Project name,Export date,Recording date,Recording date UTC,Recording start time,Recording start time UTC,Recording duration,Recording Fixation filter name,Event,Event value,Gaze point X,Gaze point Y,Gaze point 3D X,Gaze point 3D Y,Gaze point 3D Z,Gaze direction left X,Gaze direction left Y,Gaze direction left Z,Gaze direction right X,Gaze direction right Y,Gaze direction right Z,Pupil position left X,Pupil position left Y,Pupil position left Z,Pupil position right X,Pupil position right Y,Pupil position right Z,Pupil diameter left,Pupil diameter right,Pupil diameter filtered,Validity left,Validity right,Recording media width,Recording media height,Eye movement type,Gaze event duration,Eye movement type index,Fixation point X,Fixation point Y,Environment,Vehicle,Ungrouped,AOI hit [P07_normal_cali - Polygon],Gyro X,Gyro Y,Gyro Z,Accelerometer X,Accelerometer Y,Accelerometer Z,Relative time
465230321,1142656368,Accelerometer,ETCheck,06/02/2024,06/08/2023,06/08/2023,15:30:56.036,07:30:56.036,1029330,Tobii I-VT (Attention),,,,,,,,,,,,,,,,,,,,,,,,,1920.0,1080.0,Fixation,1119.0,819.0,1035.0,497.0,,,,,,,,-1.8044,-9.3217,-3.8344,331.27440263265305
465232509,1142658556,Gyroscope,ETCheck,06/02/2024,06/08/2023,06/08/2023,15:30:56.036,07:30:56.036,1029330,Tobii I-VT (Attention),,,,,,,,,,,,,,,,,,,,,,,,,1920.0,1080.0,Fixation,1119.0,819.0,1035.0,497.0,,,,,1.54,-0.3105,12.2421,,,,331.2765906326531
465234200,1142660247,Eye Tracker,ETCheck,06/02/2024,06/08/2023,06/08/2023,15:30:56.036,07:30:56.036,1029330,Tobii I-VT (Attention),,,993.0,535.0,-41.0002,95.5716,2295.3577,-0.03172,0.05124,0.99818,-0.00335,0.05069,0.99871,32.83,-23.87,-27.8,-33.21,-22.13,-26.82,3.228,3.131,3.18,Valid,Valid,1920.0,1080.0,Fixation,1119.0,819.0,1035.0,497.0,,,,,,,,,,,331.27828163265303
465239941,1142665988,Accelerometer,ETCheck,06/02/2024,06/08/2023,06/08/2023,15:30:56.036,07:30:56.036,1029330,Tobii I-VT (Attention),,,,,,,,,,,,,,,,,,,,,,,,,1920.0,1080.0,Fixation,1119.0,819.0,1035.0,497.0,,,,,,,,-1.8044,-9.2308,-3.898,331.2840226326531
465242915,1142668962,Gyroscope,ETCheck,06/02/2024,06/08/2023,06/08/2023,15:30:56.036,07:30:56.036,1029330,Tobii I-VT (Attention),,,,,,,,,,,,,,,,,,,,,,,,,1920.0,1080.0,Fixation,1119.0,819.0,1035.0,497.0,,,,,1.19,-0.8783,11.4311,,,,331.2869966326531
465249561,1142675608,Accelerometer,ETCheck,06/02/2024,06/08/2023,06/08/2023,15:30:56.036,07:30:56.036,1029330,Tobii I-VT (Attention),,,,,,,,,,,,,,,,,,,,,,,,,1920.0,1080.0,Fixation,1119.0,819.0,1035.0,497.0,,,,,,,,-1.8044,-9.2171,-3.9753,331.29364263265313
465253321,1142679368,Gyroscope,ETCheck,06/02/2024,06/08/2023,06/08/2023,15:30:56.036,07:30:56.036,1029330,Tobii I-VT (Attention),,,,,,,,,,,,,,,,,,,,,,,,,1920.0,1080.0,Fixation,1119.0,819.0,1035.0,497.0,,,,,0.91,-0.919,10.8553,,,,331.2974026326531
465254189,1142680236,Eye Tracker,ETCheck,06/02/2024,06/08/2023,06/08/2023,15:30:56.036,07:30:56.036,1029330,Tobii I-VT (Attention),,,993.0,535.0,-39.5255,94.337,2250.0669,-0.0317,0.05138,0.99818,-0.00277,0.05149,0.99867,32.83,-23.86,-27.8,-33.21,-22.12,-26.83,3.225,3.13,3.178,Valid,Valid,1920.0,1080.0,Fixation,1119.0,819.0,1035.0,497.0,,,,,,,,,,,331.29827063265304
465259181,1142685228,Accelerometer,ETCheck,06/02/2024,06/08/2023,06/08/2023,15:30:56.036,07:30:56.036,1029330,Tobii I-VT (Attention),,,,,,,,,,,,,,,,,,,,,,,,,1920.0,1080.0,Fixation,1119.0,819.0,1035.0,497.0,,,,,,,,-1.8044,-9.224,-3.9367,331.30326263265306
465263727,1142689774,Gyroscope,ETCheck,06/02/2024,06/08/2023,06/08/2023,15:30:56.036,07:30:56.036,1029330,Tobii I-VT (Attention),,,,,,,,,,,,,,,,,,,,,,,,,1920.0,1080.0,Fixation,1119.0,819.0,1035.0,497.0,,,,,0.91,-1.1299,10.0363,,,,331.30780863265306
