Recording timestamp,Computer timestamp,Sensor,Project name,Export date,Recording date,Recording date UTC,Recording start time,Recording start time UTC,Recording duration,Recording Fixation filter name,Event,Event value,Gaze point X,Gaze point Y,Gaze point 3D X,Gaze point 3D Y,Gaze point 3D Z,Gaze direction left X,Gaze direction left Y,Gaze direction left Z,Gaze direction right X,Gaze direction right Y,Gaze direction right Z,Pupil position left X,Pupil position left Y,Pupil position left Z,Pupil position right X,Pupil position right Y,Pupil position right Z,Pupil diameter left,Pupil diameter right,Pupil diameter filtered,Validity left,Validity right,Recording media width,Recording media height,Eye movement type,Gaze event duration,Eye movement type index,Fixation point X,Fixation point Y,Environment,Vehicle,Ungrouped,AOI hit [P07_normal_cali - Polygon],Gyro X,Gyro Y,Gyro Z,Accelerometer X,Accelerometer Y,Accelerometer Z,Relative time
471026476,808845111,Gyroscope,ETCheck,06/02/2024,05/12/2023,05/12/2023,15:53:38.943,07:53:38.943,1108832,Tobii I-VT (Attention),,,,,,,,,,,,,,,,,,,,,,,,,1920.0,1080.0,Fixation,280.0,1033.0,1137.0,628.0,,,,,7.21,-13.6864,-5.8251,,,,376.68380026303856
471028644,808847279,Accelerometer,ETCheck,06/02/2024,05/12/2023,05/12/2023,15:53:38.943,07:53:38.943,1108832,Tobii I-VT (Attention),,,,,,,,,,,,,,,,,,,,,,,,,1920.0,1080.0,Fixation,280.0,1033.0,1137.0,628.0,,,,,,,,-0.1961,-10.2503,1.658,376.68596826303855
471034246,808852881,Eye Tracker,ETCheck,06/02/2024,05/12/2023,05/12/2023,15:53:38.943,07:53:38.943,1108832,Tobii I-VT (Attention),,,1138.0,670.0,-45.8446,-23.5435,316.1876,-0.13017,0.03542,0.99086,-0.13488,-0.00638,0.99084,31.73,-28.88,-22.23,-33.07,-28.1,-20.86,2.339,2.41,2.379,Valid,Valid,1920.0,1080.0,Fixation,280.0,1033.0,1137.0,628.0,,,,,,,,,,,376.69157026303856
471036922,808855557,Gyroscope,ETCheck,06/02/2024,05/12/2023,05/12/2023,15:53:38.943,07:53:38.943,1108832,Tobii I-VT (Attention),,,,,,,,,,,,,,,,,,,,,,,,,1920.0,1080.0,Fixation,280.0,1033.0,1137.0,628.0,,,,,7.98,-12.3928,-5.0995,,,,376.69424626303856
471038233,808856868,Accelerometer,ETCheck,06/02/2024,05/12/2023,05/12/2023,15:53:38.943,07:53:38.943,1108832,Tobii I-VT (Attention),,,,,,,,,,,,,,,,,,,,,,,,,1920.0,1080.0,Fixation,280.0,1033.0,1137.0,628.0,,,,,,,,-0.1961,-10.4389,1.8239,376.69555726303855
471047368,808866003,Gyroscope,ETCheck,06/02/2024,05/12/2023,05/12/2023,15:53:38.943,07:53:38.943,1108832,Tobii I-VT (Attention),,,,,,,,,,,,,,,,,,,,,,,,,1920.0,1080.0,Fixation,280.0,1033.0,1137.0,628.0,,,,,7.91,-10.8802,-4.4063,,,,376.70469226303857
471047822,808866457,Accelerometer,ETCheck,06/02/2024,05/12/2023,05/12/2023,15:53:38.943,07:53:38.943,1108832,Tobii I-VT (Attention),,,,,,,,,,,,,,,,,,,,,,,,,1920.0,1080.0,Fixation,280.0,1033.0,1137.0,628.0,,,,,,,,-0.1569,-10.4571,1.7012,376.70514626303856
471054227,808872862,Eye Tracker,ETCheck,06/02/2024,05/12/2023,05/12/2023,15:53:38.943,07:53:38.943,1108832,Tobii I-VT (Attention),,,1128.0,633.0,-73.426,-22.9898,541.7993,-0.13948,0.03283,0.98968,-0.11595,-0.01391,0.99316,31.67,-28.91,-22.23,-33.24,-28.05,-21.02,2.336,2.432,2.374,Valid,Valid,1920.0,1080.0,Fixation,280.0,1033.0,1137.0,628.0,,,,,,,,,,,376.7115512630386
471057411,808876046,Accelerometer,ETCheck,06/02/2024,05/12/2023,05/12/2023,15:53:38.943,07:53:38.943,1108832,Tobii I-VT (Attention),,,,,,,,,,,,,,,,,,,,,,,,,1920.0,1080.0,Fixation,280.0,1033.0,1137.0,628.0,,,,,,,,-0.1177,-10.4184,1.708,376.71473526303856
471057814,808876449,Gyroscope,ETCheck,06/02/2024,05/12/2023,05/12/2023,15:53:38.943,07:53:38.943,1108832,Tobii I-VT (Attention),,,,,,,,,,,,,,,,,,,,,,,,,1920.0,1080.0,Fixation,280.0,1033.0,1137.0,628.0,,,,,7.7,-9.3269,-3.1373,,,,376.71513826303857
