Recording timestamp,Computer timestamp,Sensor,Project name,Export date,Recording date,Recording date UTC,Recording start time,Recording start time UTC,Recording duration,Recording Fixation filter name,Event,Event value,Gaze point X,Gaze point Y,Gaze point 3D X,Gaze point 3D Y,Gaze point 3D Z,Gaze direction left X,Gaze direction left Y,Gaze direction left Z,Gaze direction right X,Gaze direction right Y,Gaze direction right Z,Pupil position left X,Pupil position left Y,Pupil position left Z,Pupil position right X,Pupil position right Y,Pupil position right Z,Pupil diameter left,Pupil diameter right,Pupil diameter filtered,Validity left,Validity right,Recording media width,Recording media height,Eye movement type,Gaze event duration,Eye movement type index,Fixation point X,Fixation point Y,Environment,Vehicle,Ungrouped,AOI hit [P07_normal_cali - Polygon],Gyro X,Gyro Y,Gyro Z,Accelerometer X,Accelerometer Y,Accelerometer Z,Relative time
600730494,813258477,Accelerometer,ETCheck,06/02/2024,05/08/2023,05/08/2023,15:48:09.881,07:48:09.881,1209138,Tobii I-VT (Attention),,,,,,,,,,,,,,,,,,,,,,,,,1920.0,1080.0,Fixation,540.0,1194.0,786.0,557.0,,,,-1.0,,,,-0.1177,-10.1439,-1.4302,477.8272740453515
600730995,813258978,Gyroscope,ETCheck,06/02/2024,05/08/2023,05/08/2023,15:48:09.881,07:48:09.881,1209138,Tobii I-VT (Attention),,,,,,,,,,,,,,,,,,,,,,,,,1920.0,1080.0,Fixation,540.0,1194.0,786.0,557.0,,,,-1.0,3.36,3.3043,-3.8243,,,,477.8277750453515
600737776,813265759,Eye Tracker,ETCheck,06/02/2024,05/08/2023,05/08/2023,15:48:09.881,07:48:09.881,1209138,Tobii I-VT (Attention),,,794.0,542.0,120.3677,26.3199,764.1669,0.15142,0.07645,0.98551,0.14949,0.0502,0.98749,32.87,-25.99,-29.05,-33.63,-23.01,-26.1,2.45,2.533,2.491,Valid,Valid,1920.0,1080.0,Fixation,540.0,1194.0,786.0,557.0,,,,-1.0,,,,,,,477.8345560453515
600740080,813268063,Accelerometer,ETCheck,06/02/2024,05/08/2023,05/08/2023,15:48:09.881,07:48:09.881,1209138,Tobii I-VT (Attention),,,,,,,,,,,,,,,,,,,,,,,,,1920.0,1080.0,Fixation,540.0,1194.0,786.0,557.0,,,,-1.0,,,,-0.0785,-10.0735,-1.3779,477.8368600453515
600741469,813269452,Gyroscope,ETCheck,06/02/2024,05/08/2023,05/08/2023,15:48:09.881,07:48:09.881,1209138,Tobii I-VT (Attention),,,,,,,,,,,,,,,,,,,,,,,,,1920.0,1080.0,Fixation,540.0,1194.0,786.0,557.0,,,,-1.0,3.57,4.2208,-3.3784,,,,477.8382490453515
600749666,813277649,Accelerometer,ETCheck,06/02/2024,05/08/2023,05/08/2023,15:48:09.881,07:48:09.881,1209138,Tobii I-VT (Attention),,,,,,,,,,,,,,,,,,,,,,,,,1920.0,1080.0,Fixation,540.0,1194.0,786.0,557.0,,,,-1.0,,,,-0.0392,-10.0939,-1.262,477.8464460453515
600751943,813279926,Gyroscope,ETCheck,06/02/2024,05/08/2023,05/08/2023,15:48:09.881,07:48:09.881,1209138,Tobii I-VT (Attention),,,,,,,,,,,,,,,,,,,,,,,,,1920.0,1080.0,Fixation,540.0,1194.0,786.0,557.0,,,,-1.0,3.99,5.3481,-3.3218,,,,477.84872304535145
600757756,813285739,Eye Tracker,ETCheck,06/02/2024,05/08/2023,05/08/2023,15:48:09.881,07:48:09.881,1209138,Tobii I-VT (Attention),,,783.0,544.0,127.6535,24.5919,763.7665,0.16017,0.07519,0.98422,0.15844,0.04705,0.98625,32.95,-25.99,-29.06,-33.55,-23.01,-26.09,2.443,2.557,2.5,Valid,Valid,1920.0,1080.0,Fixation,540.0,1194.0,786.0,557.0,,,,-1.0,,,,,,,477.8545360453514
600759252,813287235,Accelerometer,ETCheck,06/02/2024,05/08/2023,05/08/2023,15:48:09.881,07:48:09.881,1209138,Tobii I-VT (Attention),,,,,,,,,,,,,,,,,,,,,,,,,1920.0,1080.0,Fixation,540.0,1194.0,786.0,557.0,,,,-1.0,,,,-0.0392,-10.1075,-1.1848,477.8560320453514
600762417,813290400,Gyroscope,ETCheck,06/02/2024,05/08/2023,05/08/2023,15:48:09.881,07:48:09.881,1209138,Tobii I-VT (Attention),,,,,,,,,,,,,,,,,,,,,,,,,1920.0,1080.0,Fixation,540.0,1194.0,786.0,557.0,,,,-1.0,3.99,5.4819,-2.8717,,,,477.8591970453515
600768838,813296821,Accelerometer,ETCheck,06/02/2024,05/08/2023,05/08/2023,15:48:09.881,07:48:09.881,1209138,Tobii I-VT (Attention),,,,,,,,,,,,,,,,,,,,,,,,,1920.0,1080.0,Fixation,540.0,1194.0,786.0,557.0,,,,-1.0,,,,0.0392,-10.1007,-1.2234,477.8656180453514
600772891,813300874,Gyroscope,ETCheck,06/02/2024,05/08/2023,05/08/2023,15:48:09.881,07:48:09.881,1209138,Tobii I-VT (Attention),,,,,,,,,,,,,,,,,,,,,,,,,1920.0,1080.0,Fixation,540.0,1194.0,786.0,557.0,,,,-1.0,3.99,5.6523,-2.6284,,,,477.8696710453514
600777742,813305725,Eye Tracker,ETCheck,06/02/2024,05/08/2023,05/08/2023,15:48:09.881,07:48:09.881,1209138,Tobii I-VT (Attention),,,780.0,546.0,129.3399,23.5157,764.1765,0.16262,0.07454,0.98387,0.15985,0.04492,0.98612,32.99,-25.99,-29.06,-33.51,-23.0,-26.08,2.439,2.565,2.502,Valid,Valid,1920.0,1080.0,Fixation,540.0,1194.0,786.0,557.0,,,,-1.0,,,,,,,477.87452204535145
600778424,813306407,Accelerometer,ETCheck,06/02/2024,05/08/2023,05/08/2023,15:48:09.881,07:48:09.881,1209138,Tobii I-VT (Attention),,,,,,,,,,,,,,,,,,,,,,,,,1920.0,1080.0,Fixation,540.0,1194.0,786.0,557.0,,,,-1.0,,,,0.0785,-10.1393,-1.2302,477.8752040453514
600783365,813311348,Gyroscope,ETCheck,06/02/2024,05/08/2023,05/08/2023,15:48:09.881,07:48:09.881,1209138,Tobii I-VT (Attention),,,,,,,,,,,,,,,,,,,,,,,,,1920.0,1080.0,Fixation,540.0,1194.0,786.0,557.0,,,,-1.0,3.78,6.0416,-2.4176,,,,477.8801450453514
600787987,813315970,Accelerometer,ETCheck,06/02/2024,05/08/2023,05/08/2023,15:48:09.881,07:48:09.881,1209138,Tobii I-VT (Attention),,,,,,,,,,,,,,,,,,,,,,,,,1920.0,1080.0,Fixation,540.0,1194.0,786.0,557.0,,,,-1.0,,,,0.0785,-10.1712,-1.2756,477.8847670453515
600793839,813321822,Gyroscope,ETCheck,06/02/2024,05/08/2023,05/08/2023,15:48:09.881,07:48:09.881,1209138,Tobii I-VT (Attention),,,,,,,,,,,,,,,,,,,,,,,,,1920.0,1080.0,Fixation,540.0,1194.0,786.0,557.0,,,,-1.0,2.94,5.8754,-1.8783,,,,477.8906190453515
600797550,813325533,Accelerometer,ETCheck,06/02/2024,05/08/2023,05/08/2023,15:48:09.881,07:48:09.881,1209138,Tobii I-VT (Attention),,,,,,,,,,,,,,,,,,,,,,,,,1920.0,1080.0,Fixation,540.0,1194.0,786.0,557.0,,,,-1.0,,,,0.0785,-10.2302,-1.1666,477.89433004535147
600797721,813325704,Eye Tracker,ETCheck,06/02/2024,05/08/2023,05/08/2023,15:48:09.881,07:48:09.881,1209138,Tobii I-VT (Attention),,,781.0,547.0,128.9219,22.7562,764.8903,0.16325,0.07455,0.98376,0.15791,0.04292,0.98652,33.01,-25.99,-29.05,-33.51,-22.98,-26.07,2.439,2.57,2.505,Valid,Valid,1920.0,1080.0,Fixation,540.0,1194.0,786.0,557.0,,,,-1.0,,,,,,,477.8945010453515
600804289,813332272,Gyroscope,ETCheck,06/02/2024,05/08/2023,05/08/2023,15:48:09.881,07:48:09.881,1209138,Tobii I-VT (Attention),,,,,,,,,,,,,,,,,,,,,,,,,1920.0,1080.0,Fixation,540.0,1194.0,786.0,557.0,,,,-1.0,2.52,5.7296,-1.051,,,,477.9010690453515
600807113,813335096,Accelerometer,ETCheck,06/02/2024,05/08/2023,05/08/2023,15:48:09.881,07:48:09.881,1209138,Tobii I-VT (Attention),,,,,,,,,,,,,,,,,,,,,,,,,1920.0,1080.0,Fixation,540.0,1194.0,786.0,557.0,,,,-1.0,,,,0.0785,-10.203,-1.3211,477.9038930453514
600814739,813342722,Gyroscope,ETCheck,06/02/2024,05/08/2023,05/08/2023,15:48:09.881,07:48:09.881,1209138,Tobii I-VT (Attention),,,,,,,,,,,,,,,,,,,,,,,,,1920.0,1080.0,Fixation,540.0,1194.0,786.0,557.0,,,,-1.0,1.12,4.9106,0.3683,,,,477.9115190453515
600816676,813344659,Accelerometer,ETCheck,06/02/2024,05/08/2023,05/08/2023,15:48:09.881,07:48:09.881,1209138,Tobii I-VT (Attention),,,,,,,,,,,,,,,,,,,,,,,,,1920.0,1080.0,Fixation,540.0,1194.0,786.0,557.0,,,,-1.0,,,,0.0785,-10.178,-1.237,477.9134560453515
600817709,813345692,Eye Tracker,ETCheck,06/02/2024,05/08/2023,05/08/2023,15:48:09.881,07:48:09.881,1209138,Tobii I-VT (Attention),,,783.0,548.0,127.9954,22.1357,765.6644,0.16267,0.07457,0.98386,0.15594,0.04125,0.9869,33.02,-25.99,-29.04,-33.51,-22.97,-26.06,2.439,2.575,2.507,Valid,Valid,1920.0,1080.0,Fixation,540.0,1194.0,786.0,557.0,,,,-1.0,,,,,,,477.9144890453515
600825189,813353172,Gyroscope,ETCheck,06/02/2024,05/08/2023,05/08/2023,15:48:09.881,07:48:09.881,1209138,Tobii I-VT (Attention),,,,,,,,,,,,,,,,,,,,,,,,,1920.0,1080.0,Fixation,540.0,1194.0,786.0,557.0,,,,-1.0,0.0,4.0471,1.6377,,,,477.9219690453515
600826239,813354222,Accelerometer,ETCheck,06/02/2024,05/08/2023,05/08/2023,15:48:09.881,07:48:09.881,1209138,Tobii I-VT (Attention),,,,,,,,,,,,,,,,,,,,,,,,,1920.0,1080.0,Fixation,540.0,1194.0,786.0,557.0,,,,-1.0,,,,0.0392,-10.1598,-1.1143,477.92301904535145
600835639,813363622,Gyroscope,ETCheck,06/02/2024,05/08/2023,05/08/2023,15:48:09.881,07:48:09.881,1209138,Tobii I-VT (Attention),,,,,,,,,,,,,,,,,,,,,,,,,1920.0,1080.0,Fixation,540.0,1194.0,786.0,557.0,,,,-1.0,-1.19,3.4107,3.2314,,,,477.9324190453515
600835802,813363785,Accelerometer,ETCheck,06/02/2024,05/08/2023,05/08/2023,15:48:09.881,07:48:09.881,1209138,Tobii I-VT (Attention),,,,,,,,,,,,,,,,,,,,,,,,,1920.0,1080.0,Fixation,540.0,1194.0,786.0,557.0,,,,-1.0,,,,0.0,-10.1916,-1.1597,477.9325820453514
600837720,813365703,Eye Tracker,ETCheck,06/02/2024,05/08/2023,05/08/2023,15:48:09.881,07:48:09.881,1209138,Tobii I-VT (Attention),,,784.0,548.0,127.3683,21.7778,766.3715,0.16201,0.07422,0.98399,0.15482,0.04062,0.98711,33.02,-25.99,-29.03,-33.51,-22.96,-26.05,2.439,2.579,2.509,Valid,Valid,1920.0,1080.0,Fixation,540.0,1194.0,786.0,557.0,,,,-1.0,,,,,,,477.93450004535146
600845365,813373348,Accelerometer,ETCheck,06/02/2024,05/08/2023,05/08/2023,15:48:09.881,07:48:09.881,1209138,Tobii I-VT (Attention),,,,,,,,,,,,,,,,,,,,,,,,,1920.0,1080.0,Fixation,540.0,1194.0,786.0,557.0,,,,-1.0,,,,-0.0392,-10.1916,-1.1597,477.9421450453515
600846089,813374072,Gyroscope,ETCheck,06/02/2024,05/08/2023,05/08/2023,15:48:09.881,07:48:09.881,1209138,Tobii I-VT (Attention),,,,,,,,,,,,,,,,,,,,,,,,,1920.0,1080.0,Fixation,540.0,1194.0,786.0,557.0,,,,-1.0,-2.31,2.9162,4.4236,,,,477.9428690453515
600854928,813382911,Accelerometer,ETCheck,06/02/2024,05/08/2023,05/08/2023,15:48:09.881,07:48:09.881,1209138,Tobii I-VT (Attention),,,,,,,,,,,,,,,,,,,,,,,,,1920.0,1080.0,Fixation,540.0,1194.0,786.0,557.0,,,,-1.0,,,,-0.0785,-10.1848,-1.1984,477.9517080453514
600856539,813384522,Gyroscope,ETCheck,06/02/2024,05/08/2023,05/08/2023,15:48:09.881,07:48:09.881,1209138,Tobii I-VT (Attention),,,,,,,,,,,,,,,,,,,,,,,,,1920.0,1080.0,Fixation,540.0,1194.0,786.0,557.0,,,,-1.0,-3.01,2.3405,5.6726,,,,477.95331904535146
600857707,813385690,Eye Tracker,ETCheck,06/02/2024,05/08/2023,05/08/2023,15:48:09.881,07:48:09.881,1209138,Tobii I-VT (Attention),,,786.0,550.0,126.2627,20.5514,767.1837,0.16146,0.07396,0.9841,0.15242,0.03776,0.98759,33.02,-25.99,-29.03,-33.52,-22.96,-26.03,2.441,2.58,2.51,Valid,Valid,1920.0,1080.0,Fixation,540.0,1194.0,786.0,557.0,,,,-1.0,,,,,,,477.9544870453514
600864491,813392474,Accelerometer,ETCheck,06/02/2024,05/08/2023,05/08/2023,15:48:09.881,07:48:09.881,1209138,Tobii I-VT (Attention),,,,,,,,,,,,,,,,,,,,,,,,,1920.0,1080.0,Fixation,540.0,1194.0,786.0,557.0,,,,-1.0,,,,-0.1569,-10.178,-1.237,477.9612710453515
