Recording timestamp,Computer timestamp,Sensor,Project name,Export date,Recording date,Recording date UTC,Recording start time,Recording start time UTC,Recording duration,Recording Fixation filter name,Event,Event value,Gaze point X,Gaze point Y,Gaze point 3D X,Gaze point 3D Y,Gaze point 3D Z,Gaze direction left X,Gaze direction left Y,Gaze direction left Z,Gaze direction right X,Gaze direction right Y,Gaze direction right Z,Pupil position left X,Pupil position left Y,Pupil position left Z,Pupil position right X,Pupil position right Y,Pupil position right Z,Pupil diameter left,Pupil diameter right,Pupil diameter filtered,Validity left,Validity right,Recording media width,Recording media height,Eye movement type,Gaze event duration,Eye movement type index,Fixation point X,Fixation point Y,Environment,Vehicle,Ungrouped,AOI hit [P07_normal_cali - Polygon],Gyro X,Gyro Y,Gyro Z,Accelerometer X,Accelerometer Y,Accelerometer Z,Relative time
536856445,1018201037,Gyroscope,ETCheck,06/02/2024,05/23/2023,05/23/2023,15:22:27.241,07:22:27.241,1079142,Tobii I-VT (Attention),,,,,,,,,,,,,,,,,,,,,,,,,1920.0,1080.0,Fixation,540.0,1272.0,1178.0,434.0,,,,,-0.42,3.1124,-12.8142,,,,522.251093526077
536859099,1018203691,Accelerometer,ETCheck,06/02/2024,05/23/2023,05/23/2023,15:22:27.241,07:22:27.241,1079142,Tobii I-VT (Attention),,,,,,,,,,,,,,,,,,,,,,,,,1920.0,1080.0,Fixation,540.0,1272.0,1178.0,434.0,,,,,,,,0.0,-9.8143,-0.8144,522.2537475260771
536867033,1018211625,Gyroscope,ETCheck,06/02/2024,05/23/2023,05/23/2023,15:22:27.241,07:22:27.241,1079142,Tobii I-VT (Attention),,,,,,,,,,,,,,,,,,,,,,,,,1920.0,1080.0,Fixation,540.0,1272.0,1178.0,434.0,,,,,-1.19,3.2382,-12.721,,,,522.261681526077
536868616,1018213208,Accelerometer,ETCheck,06/02/2024,05/23/2023,05/23/2023,15:22:27.241,07:22:27.241,1079142,Tobii I-VT (Attention),,,,,,,,,,,,,,,,,,,,,,,,,1920.0,1080.0,Fixation,540.0,1272.0,1178.0,434.0,,,,,,,,0.0392,-9.7234,-0.878,522.263264526077
536869269,1018213861,Eye Tracker,ETCheck,06/02/2024,05/23/2023,05/23/2023,15:22:27.241,07:22:27.241,1079142,Tobii I-VT (Attention),,,1047.0,435.0,-101.7178,206.152,1579.8986,-0.08335,0.14342,0.98615,,,,33.97,-27.34,-25.57,,,,2.467,,2.503,Valid,Invalid,1920.0,1080.0,Fixation,540.0,1272.0,1178.0,434.0,,,,,,,,,,,522.2639175260771
536877621,1018222213,Gyroscope,ETCheck,06/02/2024,05/23/2023,05/23/2023,15:22:27.241,07:22:27.241,1079142,Tobii I-VT (Attention),,,,,,,,,,,,,,,,,,,,,,,,,1920.0,1080.0,Fixation,540.0,1272.0,1178.0,434.0,,,,,-2.1,3.6275,-12.5102,,,,522.272269526077
536878133,1018222725,Accelerometer,ETCheck,06/02/2024,05/23/2023,05/23/2023,15:22:27.241,07:22:27.241,1079142,Tobii I-VT (Attention),,,,,,,,,,,,,,,,,,,,,,,,,1920.0,1080.0,Fixation,540.0,1272.0,1178.0,434.0,,,,,,,,0.0785,-9.6916,-0.8326,522.2727815260771
536887650,1018232242,Accelerometer,ETCheck,06/02/2024,05/23/2023,05/23/2023,15:22:27.241,07:22:27.241,1079142,Tobii I-VT (Attention),,,,,,,,,,,,,,,,,,,,,,,,,1920.0,1080.0,Fixation,540.0,1272.0,1178.0,434.0,,,,,,,,0.0785,-9.678,-0.9099,522.282298526077
536888209,1018232801,Gyroscope,ETCheck,06/02/2024,05/23/2023,05/23/2023,15:22:27.241,07:22:27.241,1079142,Tobii I-VT (Attention),,,,,,,,,,,,,,,,,,,,,,,,,1920.0,1080.0,Fixation,540.0,1272.0,1178.0,434.0,,,,,-2.52,4.6372,-12.1899,,,,522.282857526077
536889257,1018233849,Eye Tracker,ETCheck,06/02/2024,05/23/2023,05/23/2023,15:22:27.241,07:22:27.241,1079142,Tobii I-VT (Attention),,,1071.0,461.0,-134.7853,170.6177,1581.4615,-0.0747,0.137,0.98775,-0.09047,0.10622,0.99022,34.05,-27.35,-25.62,-35.29,-26.53,-24.8,2.435,2.532,2.483,Valid,Valid,1920.0,1080.0,Fixation,540.0,1272.0,1178.0,434.0,,,,,,,,,,,522.2839055260771
536897167,1018241759,Accelerometer,ETCheck,06/02/2024,05/23/2023,05/23/2023,15:22:27.241,07:22:27.241,1079142,Tobii I-VT (Attention),,,,,,,,,,,,,,,,,,,,,,,,,1920.0,1080.0,Fixation,540.0,1272.0,1178.0,434.0,,,,,,,,0.0785,-9.6258,-0.9803,522.291815526077
536898797,1018243389,Gyroscope,ETCheck,06/02/2024,05/23/2023,05/23/2023,15:22:27.241,07:22:27.241,1079142,Tobii I-VT (Attention),,,,,,,,,,,,,,,,,,,,,,,,,1920.0,1080.0,Fixation,540.0,1272.0,1178.0,434.0,,,,,-3.01,5.0955,-11.967,,,,522.293445526077
536906684,1018251276,Accelerometer,ETCheck,06/02/2024,05/23/2023,05/23/2023,15:22:27.241,07:22:27.241,1079142,Tobii I-VT (Attention),,,,,,,,,,,,,,,,,,,,,,,,,1920.0,1080.0,Saccade,40.0,1928.0,,,,,,,,,,0.0785,-9.5553,-0.9281,522.3013325260771
