Recording timestamp,Computer timestamp,Sensor,Project name,Export date,Recording date,Recording date UTC,Recording start time,Recording start time UTC,Recording duration,Recording Fixation filter name,Event,Event value,Gaze point X,Gaze point Y,Gaze point 3D X,Gaze point 3D Y,Gaze point 3D Z,Gaze direction left X,Gaze direction left Y,Gaze direction left Z,Gaze direction right X,Gaze direction right Y,Gaze direction right Z,Pupil position left X,Pupil position left Y,Pupil position left Z,Pupil position right X,Pupil position right Y,Pupil position right Z,Pupil diameter left,Pupil diameter right,Pupil diameter filtered,Validity left,Validity right,Recording media width,Recording media height,Eye movement type,Gaze event duration,Eye movement type index,Fixation point X,Fixation point Y,Environment,Vehicle,Ungrouped,AOI hit [P07_normal_cali - Polygon],Gyro X,Gyro Y,Gyro Z,Accelerometer X,Accelerometer Y,Accelerometer Z,Relative time
643427261,1320853308,Gyroscope,ETCheck,06/02/2024,06/08/2023,06/08/2023,15:30:56.036,07:30:56.036,1029330,Tobii I-VT (Attention),,,,,,,,,,,,,,,,,,,,,,,,,1920.0,1080.0,Fixation,160.0,1066.0,1391.0,578.0,,,,,3.22,2.5778,-8.5726,,,,509.4713426326531
643430401,1320856448,Accelerometer,ETCheck,06/02/2024,06/08/2023,06/08/2023,15:30:56.036,07:30:56.036,1029330,Tobii I-VT (Attention),,,,,,,,,,,,,,,,,,,,,,,,,1920.0,1080.0,Fixation,160.0,1066.0,1391.0,578.0,,,,,,,,-0.7453,-9.3827,-1.4553,509.474482632653
643431498,1320857545,Eye Tracker,ETCheck,06/02/2024,06/08/2023,06/08/2023,15:30:56.036,07:30:56.036,1029330,Tobii I-VT (Attention),,,1343.0,584.0,-186.9385,1.0336,582.6788,-0.3363,0.03415,0.94113,-0.2426,0.04261,0.96919,31.43,-24.05,-27.66,-34.63,-22.82,-26.8,3.76,3.734,3.756,Valid,Valid,1920.0,1080.0,Fixation,160.0,1066.0,1391.0,578.0,,,,,,,,,,,509.4755796326531
643437579,1320863626,Gyroscope,ETCheck,06/02/2024,06/08/2023,06/08/2023,15:30:56.036,07:30:56.036,1029330,Tobii I-VT (Attention),,,,,,,,,,,,,,,,,,,,,,,,,1920.0,1080.0,Fixation,160.0,1066.0,1391.0,578.0,,,,,5.25,2.8535,-8.524,,,,509.4816606326531
643439946,1320865993,Accelerometer,ETCheck,06/02/2024,06/08/2023,06/08/2023,15:30:56.036,07:30:56.036,1029330,Tobii I-VT (Attention),,,,,,,,,,,,,,,,,,,,,,,,,1920.0,1080.0,Fixation,160.0,1066.0,1391.0,578.0,,,,,,,,-0.7061,-9.2168,-1.2667,509.484027632653
643447897,1320873944,Gyroscope,ETCheck,06/02/2024,06/08/2023,06/08/2023,15:30:56.036,07:30:56.036,1029330,Tobii I-VT (Attention),,,,,,,,,,,,,,,,,,,,,,,,,1920.0,1080.0,Saccade,60.0,1444.0,,,,,,,6.16,2.8211,-8.743,,,,509.49197863265306
643449491,1320875538,Accelerometer,ETCheck,06/02/2024,06/08/2023,06/08/2023,15:30:56.036,07:30:56.036,1029330,Tobii I-VT (Attention),,,,,,,,,,,,,,,,,,,,,,,,,1920.0,1080.0,Saccade,60.0,1444.0,,,,,,,,,,-0.6669,-9.0554,-1.2781,509.493572632653
643451477,1320877524,Eye Tracker,ETCheck,06/02/2024,06/08/2023,06/08/2023,15:30:56.036,07:30:56.036,1029330,Tobii I-VT (Attention),,,1224.0,590.0,-172.1438,-3.2856,786.9547,-0.23564,0.00926,0.9718,-0.1742,0.03913,0.98393,31.8,-24.04,-27.83,-34.3,-22.63,-27.08,3.703,3.821,3.79,Valid,Valid,1920.0,1080.0,Saccade,60.0,1444.0,,,,,,,,,,,,,509.495558632653
643458215,1320884262,Gyroscope,ETCheck,06/02/2024,06/08/2023,06/08/2023,15:30:56.036,07:30:56.036,1029330,Tobii I-VT (Attention),,,,,,,,,,,,,,,,,,,,,,,,,1920.0,1080.0,Saccade,60.0,1444.0,,,,,,,6.86,2.3102,-8.2644,,,,509.502296632653
643459036,1320885083,Accelerometer,ETCheck,06/02/2024,06/08/2023,06/08/2023,15:30:56.036,07:30:56.036,1029330,Tobii I-VT (Attention),,,,,,,,,,,,,,,,,,,,,,,,,1920.0,1080.0,Saccade,60.0,1444.0,,,,,,,,,,-0.6669,-9.0622,-1.2394,509.503117632653
643468533,1320894580,Gyroscope,ETCheck,06/02/2024,06/08/2023,06/08/2023,15:30:56.036,07:30:56.036,1029330,Tobii I-VT (Attention),,,,,,,,,,,,,,,,,,,,,,,,,1920.0,1080.0,Saccade,60.0,1444.0,,,,,,,7.21,1.5804,-7.7534,,,,509.512614632653
643468581,1320894628,Accelerometer,ETCheck,06/02/2024,06/08/2023,06/08/2023,15:30:56.036,07:30:56.036,1029330,Tobii I-VT (Attention),,,,,,,,,,,,,,,,,,,,,,,,,1920.0,1080.0,Saccade,60.0,1444.0,,,,,,,,,,-0.6276,-9.0963,-1.0463,509.512662632653
643471465,1320897512,Eye Tracker,ETCheck,06/02/2024,06/08/2023,06/08/2023,15:30:56.036,07:30:56.036,1029330,Tobii I-VT (Attention),,,1107.0,619.0,-91.8078,-24.2745,779.1057,-0.11714,-0.01399,0.99302,-0.10709,0.01178,0.99418,32.21,-24.09,-27.97,-33.74,-22.56,-27.16,3.735,3.823,3.791,Valid,Valid,1920.0,1080.0,Saccade,60.0,1444.0,,,,,,,,,,,,,509.515546632653
643478126,1320904173,Accelerometer,ETCheck,06/02/2024,06/08/2023,06/08/2023,15:30:56.036,07:30:56.036,1029330,Tobii I-VT (Attention),,,,,,,,,,,,,,,,,,,,,,,,,1920.0,1080.0,Saccade,60.0,1444.0,,,,,,,,,,-0.6276,-9.1213,-1.1304,509.522207632653
643478851,1320904898,Gyroscope,ETCheck,06/02/2024,06/08/2023,06/08/2023,15:30:56.036,07:30:56.036,1029330,Tobii I-VT (Attention),,,,,,,,,,,,,,,,,,,,,,,,,1920.0,1080.0,Saccade,60.0,1444.0,,,,,,,7.14,0.9683,-6.2975,,,,509.522932632653
643487671,1320913718,Accelerometer,ETCheck,06/02/2024,06/08/2023,06/08/2023,15:30:56.036,07:30:56.036,1029330,Tobii I-VT (Attention),,,,,,,,,,,,,,,,,,,,,,,,,1920.0,1080.0,Saccade,60.0,1444.0,,,,,,,,,,-0.6669,-9.244,-1.1122,509.531752632653
643489169,1320915216,Gyroscope,ETCheck,06/02/2024,06/08/2023,06/08/2023,15:30:56.036,07:30:56.036,1029330,Tobii I-VT (Attention),,,,,,,,,,,,,,,,,,,,,,,,,1920.0,1080.0,Saccade,60.0,1444.0,,,,,,,6.58,-0.3332,-4.9633,,,,509.533250632653
643491446,1320917493,Eye Tracker,ETCheck,06/02/2024,06/08/2023,06/08/2023,15:30:56.036,07:30:56.036,1029330,Tobii I-VT (Attention),,,1056.0,646.0,-34.3139,-25.6643,466.6133,-0.07715,-0.02633,0.99667,-0.0593,0.01758,0.99809,32.46,-24.12,-28.05,-33.44,-22.75,-26.99,3.783,3.838,3.809,Valid,Valid,1920.0,1080.0,Saccade,60.0,1444.0,,,,,,,,,,,,,509.535527632653
