condition,start_time,finish_time,start_timestamp,finish_timestamp,duration
Baseline,2023-05-12 15:55:29.457000,2023-05-12 15:56:29.457000,1.683878129e+18,1.683878189e+18,60.0
EAS,2023-05-12 15:58:11.952908,2023-05-12 15:58:28.729590,1.6838782919529075e+18,1.6838783087295903e+18,16.776682
EMS,2023-05-12 15:59:22.987736,2023-05-12 15:59:34.092650,1.6838783629877363e+18,1.6838783740926502e+18,11.104914
UT,2023-05-12 16:00:14.050737,2023-05-12 16:01:04.100490,1.6838784140507372e+18,1.6838784641004897e+18,50.049753
SD,2023-05-12 16:01:04.100490,2023-05-12 16:01:31.134576,1.6838784641004897e+18,1.6838784911345756e+18,27.034086
RT-P1,2023-05-12 16:01:31.134576,2023-05-12 16:01:47.160550,1.6838784911345756e+18,1.68387850716055e+18,16.025974
RT-P2,2023-05-12 16:02:11.241040,2023-05-12 16:02:24.244927,1.6838785312410396e+18,1.683878544244927e+18,13.003887
LT-1,2023-05-12 16:03:05.244986,2023-05-12 16:03:21.265002,1.6838785852449856e+18,1.6838786012650022e+18,16.020016
LT-2,2023-05-12 16:03:38.289762,2023-05-12 16:03:49.305634,1.6838786182897615e+18,1.6838786293056343e+18,11.015872
RT-1,2023-05-12 16:04:32.340310,2023-05-12 16:04:45.356157,1.68387867234031e+18,1.683878685356157e+18,13.015847
RT-2,2023-05-12 16:04:56.371108,2023-05-12 16:05:15.391118,1.6838786963711084e+18,1.683878715391118e+18,19.02001
RT-3,2023-05-12 16:05:52.457191,2023-05-12 16:06:06.463181,1.683878752457191e+18,1.683878766463181e+18,14.00599
RT-4,2023-05-12 16:06:25.487390,2023-05-12 16:06:41.511415,1.68387878548739e+18,1.6838788015114148e+18,16.024025
LT-3,2023-05-12 16:07:22.551296,2023-05-12 16:07:56.581302,1.683878842551296e+18,1.683878876581302e+18,34.030006
