condition,start_time,finish_time,start_timestamp,finish_timestamp,duration
Baseline,2023-06-09 16:34:53.681000,2023-06-09 16:35:53.681000,1.686299693e+18,1.686299753e+18,60.0
EAS,2023-06-09 16:36:51.452013,2023-06-09 16:37:07.437903,1.6862998114520133e+18,1.6862998274379026e+18,15.98589
EMS,2023-06-09 16:37:41.485500,2023-06-09 16:37:51.499522,1.6862998614855002e+18,1.686299871499522e+18,10.014022
UT,2023-06-09 16:38:43.567258,2023-06-09 16:39:32.608056,1.686299923567258e+18,1.6862999726080563e+18,49.040798
SD,2023-06-09 16:39:32.608056,2023-06-09 16:39:57.668085,1.6862999726080563e+18,1.686299997668085e+18,25.060029
RT-P1,2023-06-09 16:39:57.668085,2023-06-09 16:40:08.672039,1.686299997668085e+18,1.686300008672039e+18,11.003954
RT-P2,2023-06-09 16:40:42.688059,2023-06-09 16:41:08.722002,1.6863000426880594e+18,1.6863000687220017e+18,26.033943
LT-1,2023-06-09 16:41:34.758094,2023-06-09 16:41:45.112539,1.686300094758094e+18,1.686300105112539e+18,10.354445
LT-2,2023-06-09 16:41:57.808609,2023-06-09 16:42:06.822411,1.6863001178086085e+18,1.6863001268224105e+18,9.013802
RT-1,2023-06-09 16:42:38.828487,2023-06-09 16:42:47.842508,1.686300158828487e+18,1.6863001678425075e+18,9.014021
RT-2,2023-06-09 16:42:57.858433,2023-06-09 16:43:06.862457,1.6863001778584333e+18,1.6863001868624566e+18,9.004024
RT-3,2023-06-09 16:43:31.894392,2023-06-09 16:43:41.918501,1.686300211894392e+18,1.6863002219185009e+18,10.024109
RT-4,2023-06-09 16:43:51.922404,2023-06-09 16:44:00.934972,1.6863002319224038e+18,1.686300240934972e+18,9.012568
LT-3,2023-06-09 16:44:32.979602,2023-06-09 16:44:43.901607,1.6863002729796024e+18,1.686300283901607e+18,10.922005
