condition,start_time,finish_time,start_timestamp,finish_timestamp,duration
Baseline,2023-05-18 16:19:27.942000,2023-05-18 16:20:27.942000,1.684397967e+18,1.684398027e+18,60.0
EAS,2023-05-18 16:21:57.154263,2023-05-18 16:22:13.154603,1.6843981171542633e+18,1.684398133154603e+18,16.00034
EMS,2023-05-18 16:23:27.254122,2023-05-18 16:23:45.254436,1.6843982072541225e+18,1.6843982252544358e+18,18.000314
UT,2023-05-18 16:24:11.305317,2023-05-18 16:24:50.346717,1.6843982513053174e+18,1.684398290346717e+18,39.0414
SD,2023-05-18 16:24:50.346717,2023-05-18 16:25:27.388622,1.684398290346717e+18,1.684398327388622e+18,37.041905
RT-P1,2023-05-18 16:25:27.388622,2023-05-18 16:25:44.424572,1.684398327388622e+18,1.6843983444245724e+18,17.03595
RT-P2,2023-05-18 16:26:15.442338,2023-05-18 16:26:34.554135,1.684398375442338e+18,1.684398394554135e+18,19.111797
LT-1,2023-05-18 16:27:20.510572,2023-05-18 16:27:41.303499,1.6843984405105723e+18,1.6843984613034995e+18,20.792927
LT-2,2023-05-18 16:27:57.587689,2023-05-18 16:28:12.599876,1.6843984775876892e+18,1.6843984925998758e+18,15.012187
RT-1,2023-05-18 16:28:59.619300,2023-05-18 16:29:13.639326,1.6843985396193e+18,1.6843985536393257e+18,14.020026
RT-2,2023-05-18 16:29:26.670094,2023-05-18 16:29:48.690016,1.6843985666700946e+18,1.6843985886900165e+18,22.019922
RT-3,2023-05-18 16:30:28.754112,2023-05-18 16:30:45.768072,1.6843986287541115e+18,1.6843986457680722e+18,17.01396
RT-4,2023-05-18 16:31:00.796708,2023-05-18 16:31:15.792903,1.6843986607967076e+18,1.684398675792903e+18,14.996195
LT-3,2023-05-18 16:31:54.818049,2023-05-18 16:32:15.856042,1.6843987148180495e+18,1.684398735856042e+18,21.037993
