condition,start_time,finish_time,start_timestamp,finish_timestamp,duration
Baseline,2023-05-08 15:50:29.016000,2023-05-08 15:51:29.016000,1.683532229e+18,1.683532289e+18,60.0
EAS,2023-05-08 15:54:48.573586,2023-05-08 15:55:02.599538,1.6835324885735862e+18,1.6835325025995382e+18,14.025952
EMS,2023-05-08 15:55:30.627553,2023-05-08 15:55:45.630347,1.683532530627553e+18,1.683532545630347e+18,15.002794
UT,2023-05-08 15:56:08.656646,2023-05-08 15:56:59.708682,1.6835325686566464e+18,1.6835326197086822e+18,51.052036
SD,2023-05-08 15:56:59.708682,2023-05-08 15:57:26.766937,1.6835326197086822e+18,1.683532646766937e+18,27.058255
RT-P1,2023-05-08 15:57:26.766937,2023-05-08 15:57:40.768685,1.683532646766937e+18,1.683532660768685e+18,14.001748
RT-P2,2023-05-08 15:58:11.836706,2023-05-08 15:58:51.425718,1.683532691836706e+18,1.6835327314257175e+18,39.589012
LT-1,2023-05-08 15:59:27.911762,2023-05-08 15:59:41.917099,1.683532767911762e+18,1.6835327819170985e+18,14.005337
LT-2,2023-05-08 16:00:00.942098,2023-05-08 16:00:11.941663,1.6835328009420982e+18,1.6835328119416625e+18,10.999565
RT-1,2023-05-08 16:01:12.051309,2023-05-08 16:01:27.037243,1.6835328720513093e+18,1.6835328870372434e+18,14.985934
RT-2,2023-05-08 16:01:40.057368,2023-05-08 16:01:53.059367,1.6835329000573683e+18,1.683532913059367e+18,13.001999
RT-3,2023-05-08 16:02:34.092607,2023-05-08 16:02:50.132051,1.6835329540926072e+18,1.6835329701320507e+18,16.039444
RT-4,2023-05-08 16:03:08.156079,2023-05-08 16:03:32.160078,1.683532988156079e+18,1.6835330121600778e+18,24.003999
LT-3,2023-05-08 16:04:26.242399,2023-05-08 16:04:42.256523,1.6835330662423995e+18,1.6835330822565228e+18,16.014124
