condition,start_time,finish_time,start_timestamp,finish_timestamp,duration
Baseline,2023-06-05 15:56:50.767000,2023-06-05 15:57:50.767000,1.68595181e+18,1.68595187e+18,60.0
EAS,2023-06-05 15:59:55.303076,2023-06-05 16:00:14.328999,1.6859519953030758e+18,1.685952014328999e+18,19.025923
EMS,2023-06-05 16:00:45.383755,2023-06-05 16:00:57.385744,1.6859520453837553e+18,1.685952057385744e+18,12.001989
UT,2023-06-05 16:01:50.499805,2023-06-05 16:02:26.483418,1.6859521104998047e+18,1.685952146483418e+18,35.983613
SD,2023-06-05 16:02:26.483418,2023-06-05 16:02:58.526986,1.685952146483418e+18,1.685952178526986e+18,32.043568
RT-P1,2023-06-05 16:02:58.526986,2023-06-05 16:03:10.526962,1.685952178526986e+18,1.6859521905269617e+18,11.999976
RT-P2,2023-06-05 16:03:38.587370,2023-06-05 16:03:51.574706,1.6859522185873705e+18,1.6859522315747062e+18,12.987336
LT-1,2023-06-05 16:04:26.621326,2023-06-05 16:04:40.637524,1.6859522666213263e+18,1.6859522806375245e+18,14.016198
LT-2,2023-06-05 16:04:54.649545,2023-06-05 16:05:05.655508,1.6859522946495447e+18,1.6859523056555077e+18,11.005963
RT-1,2023-06-05 16:05:57.714516,2023-06-05 16:06:16.746498,1.6859523577145157e+18,1.6859523767464978e+18,19.031982
RT-2,2023-06-05 16:06:31.772503,2023-06-05 16:06:48.784436,1.6859523917725028e+18,1.6859524087844365e+18,17.011933
RT-3,2023-06-05 16:07:18.828454,2023-06-05 16:07:30.854498,1.6859524388284544e+18,1.6859524508544983e+18,12.026044
RT-4,2023-06-05 16:07:45.850514,2023-06-05 16:08:01.876472,1.685952465850514e+18,1.6859524818764723e+18,16.025958
LT-3,2023-06-05 16:08:45.927210,2023-06-05 16:09:03.947607,1.68595252592721e+18,1.6859525439476073e+18,18.020397
