condition,start_time,finish_time,start_timestamp,finish_timestamp,duration
Baseline,2023-05-11 16:06:41.334000,2023-05-11 16:07:41.334000,1.683792401e+18,1.683792461e+18,60.0
EAS,2023-05-11 16:09:38.442846,2023-05-11 16:09:51.438885,1.6837925784428457e+18,1.6837925914388854e+18,12.996039
EMS,2023-05-11 16:10:25.464134,2023-05-11 16:10:39.476640,1.6837926254641344e+18,1.68379263947664e+18,14.012506
UT,2023-05-11 16:10:59.498831,2023-05-11 16:11:32.542922,1.6837926594988308e+18,1.683792692542922e+18,33.044091
SD,2023-05-11 16:11:32.542922,2023-05-11 16:12:00.568914,1.683792692542922e+18,1.6837927205689144e+18,28.025992
RT-P1,2023-05-11 16:12:00.568914,2023-05-11 16:12:15.593656,1.6837927205689144e+18,1.6837927355936558e+18,15.024742
RT-P2,2023-05-11 16:12:51.636753,2023-05-11 16:13:05.632464,1.6837927716367534e+18,1.6837927856324644e+18,13.995711
LT-1,2023-05-11 16:13:38.699067,2023-05-11 16:13:49.724725,1.6837928186990666e+18,1.6837928297247255e+18,11.025658
LT-2,2023-05-11 16:14:11.735574,2023-05-11 16:14:24.752181,1.6837928517355735e+18,1.6837928647521812e+18,13.016607
RT-1,2023-05-11 16:15:04.792655,2023-05-11 16:15:23.823416,1.6837929047926546e+18,1.6837929238234166e+18,19.030761
RT-2,2023-05-11 16:15:34.838886,2023-05-11 16:15:43.844272,1.683792934838886e+18,1.683792943844272e+18,9.005386
RT-3,2023-05-11 16:16:10.873726,2023-05-11 16:16:27.894088,1.6837929708737265e+18,1.6837929878940882e+18,17.020362
RT-4,2023-05-11 16:16:39.909543,2023-05-11 16:16:50.924933,1.683792999909543e+18,1.683793010924933e+18,11.01539
LT-3,2023-05-11 16:17:24.965964,2023-05-11 16:17:40.981460,1.683793044965964e+18,1.68379306098146e+18,16.015496
