condition,start_time,finish_time,start_timestamp,finish_timestamp,duration
Baseline,2023-05-16 15:47:19.000000,2023-05-16 15:48:19.000000,1.684223239e+18,1.684223299e+18,60.0
EAS,2023-05-16 15:50:17.029654,2023-05-16 15:50:35.099172,1.6842234170296535e+18,1.684223435099172e+18,18.069518
EMS,2023-05-16 15:51:09.045319,2023-05-16 15:51:23.063229,1.684223469045319e+18,1.684223483063229e+18,14.01791
UT,2023-05-16 15:51:57.151033,2023-05-16 15:53:14.209625,1.6842235171510326e+18,1.684223594209625e+18,77.058592
SD,2023-05-16 15:53:14.209625,2023-05-16 15:53:47.249803,1.684223594209625e+18,1.6842236272498025e+18,33.040178
RT-P1,2023-05-16 15:53:47.249803,2023-05-16 15:54:03.254984,1.6842236272498025e+18,1.6842236432549842e+18,16.005181
RT-P2,2023-05-16 15:54:34.291650,2023-05-16 15:54:59.351784,1.6842236742916503e+18,1.6842236993517834e+18,25.060134
LT-1,2023-05-16 15:55:35.360437,2023-05-16 15:55:50.376714,1.6842237353604367e+18,1.6842237503767142e+18,15.016277
LT-2,2023-05-16 15:56:04.396620,2023-05-16 15:56:21.422680,1.6842237643966195e+18,1.68422378142268e+18,17.02606
RT-1,2023-05-16 15:57:12.504573,2023-05-16 15:57:29.503488,1.684223832504573e+18,1.684223849503488e+18,16.998915
RT-2,2023-05-16 15:57:42.535528,2023-05-16 15:57:56.519857,1.6842238625355277e+18,1.6842238765198566e+18,13.984329
RT-3,2023-05-16 15:58:29.556998,2023-05-16 15:58:42.586349,1.684223909556998e+18,1.6842239225863496e+18,13.029351
RT-4,2023-05-16 15:58:57.608213,2023-05-16 15:59:10.610854,1.6842239376082127e+18,1.684223950610854e+18,13.002641
LT-3,2023-05-16 15:59:59.658742,2023-05-16 16:00:22.709730,1.684223999658742e+18,1.6842240227097303e+18,23.050988
