condition,start_time,finish_time,start_timestamp,finish_timestamp,duration
Baseline,2023-06-25 15:24:29.462000,2023-06-25 15:25:29.462000,1.687677869e+18,1.687677929e+18,60.0
EAS,2023-06-25 15:27:46.719543,2023-06-25 15:27:58.737326,1.6876780667195428e+18,1.6876780787373258e+18,12.017783
EMS,2023-06-25 15:28:32.773436,2023-06-25 15:28:46.909598,1.6876781127734362e+18,1.6876781269095982e+18,14.136162
UT,2023-06-25 15:29:56.902127,2023-06-25 15:30:45.954737,1.6876781969021268e+18,1.6876782459547366e+18,49.05261
SD,2023-06-25 15:30:45.954737,2023-06-25 15:31:12.982705,1.6876782459547366e+18,1.6876782729827052e+18,27.027968
RT-P1,2023-06-25 15:31:12.982705,2023-06-25 15:31:22.984736,1.6876782729827052e+18,1.6876782829847365e+18,10.002031
RT-P2,2023-06-25 15:31:45.020710,2023-06-25 15:32:02.023555,1.6876783050207104e+18,1.687678322023555e+18,17.002845
LT-1,2023-06-25 15:32:36.065512,2023-06-25 15:32:50.089929,1.6876783560655117e+18,1.6876783700899287e+18,14.024417
LT-2,2023-06-25 15:33:02.104823,2023-06-25 15:33:14.115084,1.687678382104823e+18,1.687678394115084e+18,12.010261
RT-1,2023-06-25 15:33:54.154851,2023-06-25 15:34:11.181208,1.687678434154851e+18,1.6876784511812078e+18,17.026357
RT-2,2023-06-25 15:34:21.185168,2023-06-25 15:34:32.201169,1.6876784611851676e+18,1.6876784722011694e+18,11.016001
RT-3,2023-06-25 15:35:04.245354,2023-06-25 15:35:14.251548,1.6876785042453545e+18,1.687678514251548e+18,10.006194
RT-4,2023-06-25 15:35:28.271476,2023-06-25 15:35:43.301461,1.6876785282714762e+18,1.687678543301461e+18,15.029985
LT-3,2023-06-25 15:36:30.339880,2023-06-25 15:36:46.365923,1.68767859033988e+18,1.6876786063659233e+18,16.026043
