condition,start_time,finish_time,start_timestamp,finish_timestamp,duration
Baseline,2023-06-20 15:34:02.763000,2023-06-20 15:35:02.763000,1.687246442e+18,1.687246502e+18,60.0
EAS,2023-06-20 15:37:18.593774,2023-06-20 15:37:29.877786,1.687246638593774e+18,1.6872466498777856e+18,11.284012
EMS,2023-06-20 15:37:57.905812,2023-06-20 15:38:08.921793,1.687246677905812e+18,1.687246688921793e+18,11.015981
UT,2023-06-20 15:38:44.959244,2023-06-20 15:39:14.003761,1.6872467249592438e+18,1.6872467540037614e+18,29.044517
SD,2023-06-20 15:39:14.003761,2023-06-20 15:39:39.017804,1.6872467540037614e+18,1.687246779017804e+18,25.014043
RT-P1,2023-06-20 15:39:39.017804,2023-06-20 15:39:50.025850,1.687246779017804e+18,1.68724679002585e+18,11.008046
RT-P2,2023-06-20 15:40:15.969739,2023-06-20 15:40:26.062165,1.687246815969739e+18,1.6872468260621645e+18,10.092426
LT-1,2023-06-20 15:41:01.102951,2023-06-20 15:41:12.118346,1.6872468611029512e+18,1.687246872118346e+18,11.015395
LT-2,2023-06-20 15:41:26.134860,2023-06-20 15:41:56.169110,1.6872468861348598e+18,1.6872469161691098e+18,30.03425
RT-1,2023-06-20 15:42:39.221000,2023-06-20 15:42:53.231922,1.687246959221e+18,1.6872469732319224e+18,14.010922
RT-2,2023-06-20 15:43:09.248502,2023-06-20 15:43:21.262022,1.6872469892485015e+18,1.687247001262022e+18,12.01352
RT-3,2023-06-20 15:43:54.313970,2023-06-20 15:44:06.319966,1.6872470343139697e+18,1.687247046319966e+18,12.005996
RT-4,2023-06-20 15:44:18.335301,2023-06-20 15:44:30.353272,1.687247058335301e+18,1.6872470703532718e+18,12.017971
LT-3,2023-06-20 15:45:10.395668,2023-06-20 15:45:23.407721,1.6872471103956677e+18,1.6872471234077204e+18,13.012053
