condition,start_time,finish_time,start_timestamp,finish_timestamp,duration
Baseline,2023-05-23 15:22:56.090000,2023-05-23 15:23:56.090000,1.684826576e+18,1.684826636e+18,60.0
EAS,2023-05-23 15:26:06.981914,2023-05-23 15:26:23.015901,1.6848267669819144e+18,1.6848267830159007e+18,16.033987
EMS,2023-05-23 15:26:59.048032,2023-05-23 15:27:15.081836,1.6848268190480325e+18,1.6848268350818358e+18,16.033804
UT,2023-05-23 15:27:49.565572,2023-05-23 15:28:28.153706,1.6848268695655718e+18,1.6848269081537055e+18,38.588134
SD,2023-05-23 15:28:28.153706,2023-05-23 15:29:04.179141,1.6848269081537055e+18,1.684826944179141e+18,36.025435
RT-P1,2023-05-23 15:29:04.179141,2023-05-23 15:29:21.197193,1.684826944179141e+18,1.6848269611971927e+18,17.018052
RT-P2,2023-05-23 15:29:52.228674,2023-05-23 15:30:28.295538,1.6848269922286743e+18,1.6848270282955384e+18,36.066864
LT-1,2023-05-23 15:31:23.339622,2023-05-23 15:31:39.365620,1.684827083339622e+18,1.6848270993656197e+18,16.025998
LT-2,2023-05-23 15:31:56.384334,2023-05-23 15:32:13.410404,1.6848271163843343e+18,1.6848271334104038e+18,17.02607
RT-1,2023-05-23 15:33:08.471496,2023-05-23 15:33:34.501576,1.6848271884714957e+18,1.684827214501576e+18,26.03008
RT-2,2023-05-23 15:33:48.511549,2023-05-23 15:34:08.541550,1.6848272285115494e+18,1.6848272485415503e+18,20.030001
RT-3,2023-05-23 15:34:44.592364,2023-05-23 15:34:59.599221,1.6848272845923638e+18,1.6848272995992212e+18,15.006857
RT-4,2023-05-23 15:35:21.623176,2023-05-23 15:35:46.661949,1.6848273216231757e+18,1.684827346661949e+18,25.038773
LT-3,2023-05-23 15:36:38.729612,2023-05-23 15:37:00.723705,1.684827398729612e+18,1.6848274207237048e+18,21.994093
