ID,Driver,Energetic_arousal_pre,Energetic_arousal_post,Task_Interest_pre,Task_Interest_post,Success_Motivation_pre,Success_Motivation_post,Concentration_pre,Concentration_post,Tension_pre,Tension_post,Hedonic_Tone (low)_pre,Hedonic_Tone (low)_post,Confidence-Control(low)_pre,Confidence-Control(low)_post,Self-Focus_pre,Self-Focus_post,Self-Esteem_pre,Self-Esteem_post,CI (task-relevant)_pre,CI (task-relevant)_post,Cl (task-irrelevant)_pre,Cl (task-irrelevant)_post
E01-P01,Expert,6,5,6,4,6,6,2,4,1,2,4,6,6,6,6,6,1,6,1,1,1,1
E01-P02,Expert,6,5,6,6,4,6,2,2,3,1,5,6,4,5,4,5,2,1,2,1,1,1
E02-P01,Expert,4,3,5,4,5,5,1,3,3,1,6,1,5,5,4,5,5,1,4,2,4,1
E02-P02,Expert,6,5,6,6,6,6,1,5,3,1,6,5,6,5,6,5,1,1,1,5,1,1
E03-P01,Expert,7,7,7,7,7,7,1,1,1,1,7,7,7,7,7,7,1,1,1,1,1,1
E03-P02,Expert,5,3,5,3,5,3,1,1,1,1,5,3,5,4,5,3,1,1,1,1,1,1
E04-P01,Expert,7,6,6,6,6,5,1,1,1,1,6,6,6,6,7,6,1,1,0,1,1,1
E04-P02,Expert,6,4,6,5,6,5,1,1,1,1,6,5,5,5,5,5,1,1,1,2,1,4
E05-P01,Expert,7,7,7,7,7,7,1,1,1,1,7,7,7,7,7,7,1,1,1,1,1,7
E05-P02,Expert,6,4,6,6,4,6,1,1,1,1,6,6,6,6,5,6,1,1,1,1,1,1
E06-P01,Expert,7,6,7,6,7,7,2,2,3,1,5,6,6,6,6,7,2,2,1,1,1,1
E06-P02,Expert,6,6,7,6,7,5,1,1,1,1,7,6,7,6,7,5,1,1,7,1,2,1
E07-P01,Expert,6,6,6,2,5,3,1,3,1,2,6,5,6,5,6,5,6,5,4,4,3,1
E07-P02,Expert,7,6,7,6,7,7,1,7,1,1,7,7,7,7,7,7,1,1,1,1,1,1
E08-P01,Expert,5,6,5,3,5,5,2,2,2,2,5,5,5,5,5,5,3,1,1,1,2,3
E08-P02,Expert,7,6,7,5,7,6,1,1,1,1,4,6,5,6,5,5,2,2,1,1,2,2
E09-P01,Expert,6,5,6,7,5,4,2,4,3,3,4,4,3,4,3,5,3,3,3,3,3,3
E09-P02,Expert,3,2,3,3,3,3,3,2,3,1,3,4,3,4,3,3,3,2,3,2,3,2
E10-P01,Expert,5,5,4,2,3,1,7,2,3,1,6,7,5,7,2,4,1,1,1,1,3,3
E10-P02,Expert,7,6,7,7,7,7,1,1,7,1,7,7,7,7,7,7,1,1,1,1,1,1
N01-P01,Novice,5,5,7,7,4,4,1,1,1,1,1,4,4,7,4,5,1,1,1,1,1,5
N01-P02,Novice,7,7,7,7,7,7,7,2,7,2,7,7,7,7,7,7,4,4,0,3,2,2
N02-P01,Novice,6,7,7,3,6,7,1,1,1,1,6,7,7,7,7,1,1,1,1,1,1,1
N02-P02,Novice,7,7,7,7,7,6,1,1,1,1,7,6,7,7,7,6,1,1,1,1,1,1
N03-P01,Novice,6,7,7,7,7,7,1,1,1,1,7,7,7,7,5,7,4,2,2,2,1,2
N03-P02,Novice,4,5,4,5,4,5,1,1,1,1,1,4,4,4,1,1,1,1,1,1,1,1
N04-P01,Novice,1,4,0,3,0,4,1,2,1,2,0,4,1,4,1,4,1,1,1,1,1,1
N04-P02,Novice,3,3,5,3,4,2,3,4,1,2,4,3,4,5,4,5,1,1,3,1,2,1
N05-P01,Novice,5,3,6,3,6,5,1,3,1,1,4,1,4,1,4,2,4,2,1,1,1,1
N05-P02,Novice,4,2,6,3,5,3,2,5,4,1,5,3,5,4,4,4,3,3,2,4,2,4
N06-P01,Novice,7,4,7,4,7,5,1,2,2,1,5,7,5,7,6,7,2,1,1,1,1,1
N06-P02,Novice,6,6,7,6,6,6,1,1,2,2,7,7,7,6,7,4,1,1,1,1,1,1
N07-P01,Novice,6,4,6,5,6,4,1,4,3,1,6,2,6,4,5,4,4,1,3,1,4,4
N07-P02,Novice,5,6,7,6,6,6,3,1,2,4,2,6,5,6,2,6,4,2,1,1,3,3
N08-P01,Novice,5,4,6,5,6,5,1,4,3,4,5,6,5,5,5,6,2,2,3,4,4,4
N08-P02,Novice,6,6,6,6,5,6,1,1,1,1,6,6,6,6,6,6,1,1,2,1,1,1
N09-P01,Novice,4,4,4,4,6,7,2,1,3,1,4,5,4,6,5,6,1,1,1,7,1,7
N09-P02,Novice,5,7,5,7,5,7,2,2,3,2,5,7,5,7,5,7,2,2,2,2,2,2
N10-P01,Novice,5,6,6,7,6,6,3,1,3,1,6,6,6,6,6,6,3,1,1,6,4,1
N10-P02,Novice,6,6,6,6,6,6,1,1,1,3,6,6,6,6,5,6,2,1,2,1,2,1
